delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;4601;679;316;0;0.9544422337115893;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6869;686;333;0;0.9536153893108067;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10733;681;341;0;0.9463176501206945;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6251;674;307;0;0.9512823245679393;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7220;671;334;0;0.9482685607408985;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8295;688;329;0;0.9497453861036317;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7722;691;339;0;0.949930312927401;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9658;681;322;0;0.9524785543373805;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6591;679;312;0;0.9478868969628517;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6553;680;338;0;0.947801655824686;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3195;403;204;0;0.9505657112885858;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4337;412;220;0;0.9562552139023224;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5454;403;220;0;0.9513776298459828;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3490;400;199;0;0.9480980015267886;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4143;399;213;0;0.9463811039255542;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3766;397;208;0;0.9494909616992387;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3964;415;205;0;0.9514826166899124;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4658;405;206;0;0.9503154472030079;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3333;400;198;0;0.9415723315524615;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3838;404;211;0;0.9483702587281115;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2527;293;159;0;0.9485542597545089;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2889;287;163;0;0.9522188176648503;{};NONALIGNING_KNOWN;{}
