delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.01;7548;914;415;0;-1.0;{O_SELECTED=0.2748478701825558, A_FINALIZED=0.14198782961460446, W_Nabellen offertes=0.14198782961460446, O_SENT=0.1328600405679513, A_DECLINED=0.10344827586206896, W_Completeren aanvraag=0.0821501014198783, O_DECLINED=0.04766734279918864, A_PREACCEPTED=0.02738336713995943, A_CANCELLED=0.02028397565922921, O_CANCELLED=0.013184584178498986, W_Afhandelen leads=0.006085192697768763, O_SENT_BACK=0.005070993914807302, W_Beoordelen fraude=0.0030425963488843813};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;16820;1545;657;1;-1.0;{O_SELECTED=0.25, O_SENT=0.12678571428571428, A_FINALIZED=0.12321428571428572, W_Nabellen offertes=0.12321428571428572, A_DECLINED=0.10952380952380952, W_Completeren aanvraag=0.09642857142857143, O_DECLINED=0.060714285714285714, A_PREACCEPTED=0.03214285714285714, A_CANCELLED=0.02976190476190476, O_CANCELLED=0.018452380952380953, W_Beoordelen fraude=0.017261904761904763, O_SENT_BACK=0.01011904761904762, O_ACCEPTED=0.0011904761904761906, O_CREATED=0.0011904761904761906};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;17600;1196;544;0;-1.0;{O_SELECTED=0.26180836707152494, O_SENT=0.14912280701754385, A_FINALIZED=0.1126855600539811, W_Nabellen offertes=0.1126855600539811, W_Completeren aanvraag=0.09986504723346828, A_DECLINED=0.09244264507422402, O_DECLINED=0.048582995951417005, A_PREACCEPTED=0.032388663967611336, W_Beoordelen fraude=0.02699055330634278, A_CANCELLED=0.020917678812415654, O_CANCELLED=0.0155195681511471, W_Afhandelen leads=0.0155195681511471, O_SENT_BACK=0.010121457489878543, O_CREATED=0.001349527665317139};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;10956;903;413;0;-1.0;{O_SELECTED=0.27096114519427406, O_SENT=0.1359918200408998, A_FINALIZED=0.13496932515337423, W_Nabellen offertes=0.13496932515337423, A_DECLINED=0.11860940695296524, O_DECLINED=0.06237218813905931, W_Completeren aanvraag=0.05521472392638037, A_CANCELLED=0.02965235173824131, O_CANCELLED=0.018404907975460124, A_PREACCEPTED=0.018404907975460124, O_SENT_BACK=0.012269938650306749, W_Afhandelen leads=0.003067484662576687, W_Beoordelen fraude=0.003067484662576687, O_ACCEPTED=0.0010224948875255625, O_CREATED=0.0010224948875255625};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;9055;981;444;0;-1.0;{O_SELECTED=0.2658349328214971, A_FINALIZED=0.15547024952015356, W_Nabellen offertes=0.15547024952015356, A_DECLINED=0.11132437619961612, O_SENT=0.11036468330134357, W_Completeren aanvraag=0.0690978886756238, O_DECLINED=0.04894433781190019, A_CANCELLED=0.025911708253358926, A_PREACCEPTED=0.023032629558541268, O_CANCELLED=0.013435700575815739, O_SENT_BACK=0.007677543186180422, W_Afhandelen leads=0.007677543186180422, W_Beoordelen fraude=0.0047984644913627635, O_CREATED=9.596928982725527E-4};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;7891;914;417;5;-1.0;{O_SELECTED=0.27872340425531916, O_SENT=0.14361702127659576, A_FINALIZED=0.1351063829787234, W_Nabellen offertes=0.1351063829787234, A_DECLINED=0.10425531914893617, W_Completeren aanvraag=0.08297872340425531, O_DECLINED=0.04893617021276596, A_PREACCEPTED=0.027659574468085105, A_CANCELLED=0.02446808510638298, O_CANCELLED=0.01276595744680851, O_SENT_BACK=0.0031914893617021275, W_Beoordelen fraude=0.0031914893617021275};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;10668;1002;463;8;-1.0;{O_SELECTED=0.2634054562558796, O_SENT=0.13922859830667922, A_FINALIZED=0.12323612417685795, W_Nabellen offertes=0.12323612417685795, A_DECLINED=0.10912511759172154, W_Completeren aanvraag=0.0761994355597366, O_DECLINED=0.062088428974600186, A_CANCELLED=0.03198494825964252, A_PREACCEPTED=0.02539981185324553, O_CANCELLED=0.022577610536218252, O_SENT_BACK=0.01317027281279398, W_Beoordelen fraude=0.005644402634054563, O_ACCEPTED=0.0018814675446848542, O_CREATED=0.0018814675446848542, O_CRE=9.407337723424271E-4};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;16924;1223;542;13;-1.0;{O_SELECTED=0.26040268456375837, O_SENT=0.1483221476510067, A_FINALIZED=0.11140939597315436, W_Nabellen offertes=0.11140939597315436, W_Completeren aanvraag=0.09731543624161074, A_DECLINED=0.09463087248322148, O_DECLINED=0.05100671140939597, A_CANCELLED=0.03691275167785235, A_PREACCEPTED=0.03154362416107383, W_Beoordelen fraude=0.021476510067114093, O_CANCELLED=0.01476510067114094, O_SENT_BACK=0.010067114093959731, W_Afhandelen leads=0.009395973154362415, O_CRE=6.711409395973154E-4, O_CREATED=6.711409395973154E-4};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;10000;903;403;4;-1.0;{O_SELECTED=0.2679324894514768, O_SENT=0.14135021097046413, A_FINALIZED=0.12658227848101267, W_Nabellen offertes=0.12658227848101267, A_DECLINED=0.11286919831223628, O_DECLINED=0.06645569620253164, W_Completeren aanvraag=0.06329113924050633, A_CANCELLED=0.03270042194092827, A_PREACCEPTED=0.02109704641350211, O_CANCELLED=0.0189873417721519, O_SENT_BACK=0.012658227848101266, W_Afhandelen leads=0.0031645569620253164, W_Beoordelen fraude=0.0031645569620253164, O_CREATED=0.002109704641350211, O_ACCEPTED=0.0010548523206751054};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;9998;977;444;7;-1.0;{O_SELECTED=0.2709125475285171, A_FINALIZED=0.15304182509505704, W_Nabellen offertes=0.15304182509505704, O_SENT=0.11787072243346007, A_DECLINED=0.11026615969581749, O_DECLINED=0.051330798479087454, W_Completeren aanvraag=0.051330798479087454, A_CANCELLED=0.0370722433460076, A_PREACCEPTED=0.017110266159695818, O_CANCELLED=0.015209125475285171, O_SENT_BACK=0.011406844106463879, W_Beoordelen fraude=0.010456273764258554, O_CREATED=9.505703422053232E-4};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.1;6888;935;416;51;-1.0;{O_SELECTED=0.23552123552123552, O_SENT=0.12644787644787644, W_Nabellen offertes=0.11776061776061776, A_FINALIZED=0.111003861003861, A_DECLINED=0.10328185328185328, W_Completeren aanvraag=0.09845559845559845, A_CANCELLED=0.06563706563706563, O_DECLINED=0.05019305019305019, A_PREACCEPTED=0.033783783783783786, O_CANCELLED=0.01833976833976834, A_APPROVED=0.011583011583011582, W_Valideren aanvraag=0.005791505791505791, O_SENT_BACK=0.003861003861003861, A_ACCEPTED=0.003861003861003861, O_CRE=0.0028957528957528956, W_Beoordelen fraude=0.0028957528957528956, W_Val=0.0019305019305019305, CANCELLED=0.0019305019305019305, ACCEPTED=0.0019305019305019305, A_SUBMITTED=9.652509652509653E-4, W_Nabel=9.652509652509653E-4, O_CREATED=9.652509652509653E-4};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.1;10590;988;439;54;-1.0;{O_SELECTED=0.2323529411764706, O_SENT=0.13529411764705881, A_DECLINED=0.10294117647058823, W_Nabellen offertes=0.10098039215686275, A_FINALIZED=0.09607843137254903, W_Completeren aanvraag=0.08627450980392157, A_CANCELLED=0.08431372549019608, O_DECLINED=0.056862745098039215, A_PREACCEPTED=0.029411764705882353, O_CANCELLED=0.0196078431372549, O_SENT_BACK=0.012745098039215686, A_APPROVED=0.006862745098039216, W_Beoordelen fraude=0.0058823529411764705, W_Valideren aanvraag=0.004901960784313725, A_ACCEPTED=0.00392156862745098, O_CRE=0.0029411764705882353, O_ACCEPTED=0.0029411764705882353, A_APP=0.00196078431372549, O_CREATED=0.00196078431372549, CANCELLED=0.00196078431372549, W_Wijzigen contractgegevens=9.80392156862745E-4, Nabellen incomplete dossiers=9.80392156862745E-4, ACCEPTED=9.80392156862745E-4, A_ACTIVATED=9.80392156862745E-4, A_REGISTERED=9.80392156862745E-4, A_SUBMITTED=9.80392156862745E-4, W_Val=9.80392156862745E-4, A_ACT=9.80392156862745E-4, ACTIVATED=9.80392156862745E-4, APPROVED=9.80392156862745E-4};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.1;17633;1182;545;69;-1.0;{O_SELECTED=0.2408906882591093, O_SENT=0.15384615384615385, A_DECLINED=0.09581646423751687, W_Completeren aanvraag=0.0951417004048583, W_Nabellen offertes=0.0931174089068826, A_FINALIZED=0.08771929824561403, A_CANCELLED=0.06680161943319839, O_DECLINED=0.043859649122807015, A_PREACCEPTED=0.03171390013495277, W_Beoordelen fraude=0.02496626180836707, O_CANCELLED=0.016869095816464237, W_Afhandelen leads=0.01282051282051282, O_SENT_BACK=0.007422402159244264, A_APPROVED=0.005398110661268556, W_Valideren aanvraag=0.005398110661268556, ACCEPTED=0.0033738191632928477, A_ACCEPTED=0.0033738191632928477, O_CRE=0.0020242914979757085, W_Compl=0.001349527665317139, A_PARTLYSUBMITTED=0.001349527665317139, W_Val=0.001349527665317139, A_ACT=0.001349527665317139, APPROVED=0.001349527665317139, Nabellen incomplete dossiers=6.747638326585695E-4, O_CREATED=6.747638326585695E-4, A_REGISTERED=6.747638326585695E-4, A_SUBMITTED=6.747638326585695E-4};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.1;10408;902;407;31;-1.0;{O_SELECTED=0.24974721941354905, O_SENT=0.13245702730030334, W_Nabellen offertes=0.12032355915065723, A_FINALIZED=0.11526794742163801, A_DECLINED=0.1102123356926188, W_Completeren aanvraag=0.06471183013144591, A_CANCELLED=0.056622851365015166, O_DECLINED=0.056622851365015166, O_CANCELLED=0.022244691607684528, A_PREACCEPTED=0.020222446916076844, O_SENT_BACK=0.01314459049544995, W_Beoordelen fraude=0.011122345803842264, O_CRE=0.006066734074823054, W_Afhandelen leads=0.006066734074823054, W_Valideren aanvraag=0.004044489383215369, A_APPROVED=0.003033367037411527, W_Nabel=0.003033367037411527, W_Val=0.0010111223458038423, ACCEPTED=0.0010111223458038423, O_ACCEPTED=0.0010111223458038423, A_ACCEPTED=0.0010111223458038423, O_CREATED=0.0010111223458038423};PREFIXSUFFIX;{}
