delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;10006;657;598;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10463;657;600;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13847;657;599;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12557;657;596;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11233;657;600;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14249;657;588;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;20372;657;593;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11635;657;610;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8526;657;601;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11307;657;601;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13002;657;598;20;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10302;657;600;16;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16539;657;599;24;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10780;657;596;17;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10811;657;600;17;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10742;657;589;22;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;23718;657;593;15;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12811;657;609;25;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8753;657;601;14;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12378;657;601;18;0;-1.0;{};NONALIGNING_KNOWN;{}
