delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;3307;1836;62;13;-1.0;{Payment+complete=0.36538461538461536, Insert Date Appeal to Prefecture+complete=0.20192307692307693, Send Appeal to Prefecture+complete=0.1987179487179487, Add penalty+complete=0.05128205128205128, Receive Result Appeal from Prefecture+complete=0.05128205128205128, Notify Result Appeal to Offender+complete=0.04807692307692308, Send Fine+complete=0.041666666666666664, Appeal to Judge+complete=0.022435897435897436, Insert Fine Notification+complete=0.016025641025641024, Send for Credit Collection+complete=0.003205128205128205};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;1315;1325;53;14;-1.0;{Payment+complete=0.7311608961303462, Insert Date Appeal to Prefecture+complete=0.109979633401222, Send Appeal to Prefecture+complete=0.109979633401222, Send Fine+complete=0.016293279022403257, Notify Result Appeal to Offender+complete=0.014256619144602852, Receive Result Appeal from Prefecture+complete=0.014256619144602852, Add penalty+complete=0.002036659877800407, Insert Fine Notification+complete=0.002036659877800407};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;3118;1518;53;5;-1.0;{Payment+complete=0.4199134199134199, Insert Date Appeal to Prefecture+complete=0.21645021645021645, Send Appeal to Prefecture+complete=0.2077922077922078, Add penalty+complete=0.04329004329004329, Notify Result Appeal to Offender+complete=0.030303030303030304, Receive Result Appeal from Prefecture+complete=0.030303030303030304, Send Fine+complete=0.030303030303030304, Appeal to Judge+complete=0.017316017316017316, Insert Fine Notification+complete=0.004329004329004329};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;3314;1626;60;8;-1.0;{Payment+complete=0.44366197183098594, Insert Date Appeal to Prefecture+complete=0.2112676056338028, Send Appeal to Prefecture+complete=0.2112676056338028, Notify Result Appeal to Offender+complete=0.035211267605633804, Receive Result Appeal from Prefecture+complete=0.035211267605633804, Send Fine+complete=0.02464788732394366, Add penalty+complete=0.017605633802816902, Appeal to Judge+complete=0.017605633802816902, Insert Fine Notification+complete=0.0035211267605633804};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;2849;1861;68;13;-1.0;{Payment+complete=0.39869281045751637, Insert Date Appeal to Prefecture+complete=0.21241830065359477, Send Appeal to Prefecture+complete=0.20915032679738563, Send Fine+complete=0.05555555555555555, Notify Result Appeal to Offender+complete=0.03594771241830065, Receive Result Appeal from Prefecture+complete=0.03594771241830065, Appeal to Judge+complete=0.026143790849673203, Add penalty+complete=0.013071895424836602, Insert Fine Notification+complete=0.013071895424836602};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;2780;1394;47;8;-1.0;{Payment+complete=0.47035573122529645, Insert Date Appeal to Prefecture+complete=0.20948616600790515, Send Appeal to Prefecture+complete=0.20948616600790515, Receive Result Appeal from Prefecture+complete=0.03557312252964427, Notify Result Appeal to Offender+complete=0.03162055335968379, Appeal to Judge+complete=0.023715415019762844, Send Fine+complete=0.019762845849802372};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;2497;2178;67;9;-1.0;{Payment+complete=0.46557377049180326, Insert Date Appeal to Prefecture+complete=0.20655737704918034, Send Appeal to Prefecture+complete=0.20327868852459016, Receive Result Appeal from Prefecture+complete=0.03934426229508197, Notify Result Appeal to Offender+complete=0.036065573770491806, Send Fine+complete=0.022950819672131147, Appeal to Judge+complete=0.013114754098360656, Add penalty+complete=0.006557377049180328, Insert Fine Notification+complete=0.006557377049180328};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;1752;2415;64;20;-1.0;{Payment+complete=0.49665924276169265, Insert Date Appeal to Prefecture+complete=0.1915367483296214, Send Appeal to Prefecture+complete=0.1870824053452116, Send Fine+complete=0.031180400890868598, Receive Result Appeal from Prefecture+complete=0.026726057906458798, Notify Result Appeal to Offender+complete=0.024498886414253896, Appeal to Judge+complete=0.0200445434298441, Add penalty+complete=0.011135857461024499, Insert Fine Notification+complete=0.011135857461024499};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;3899;1925;61;5;-1.0;{Payment+complete=0.3871951219512195, Insert Date Appeal to Prefecture+complete=0.21646341463414634, Send Appeal to Prefecture+complete=0.21646341463414634, Add penalty+complete=0.039634146341463415, Appeal to Judge+complete=0.036585365853658534, Receive Result Appeal from Prefecture+complete=0.036585365853658534, Send Fine+complete=0.03353658536585366, Notify Result Appeal to Offender+complete=0.03048780487804878, Insert Fine Notification+complete=0.003048780487804878};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;2042;1687;53;18;-1.0;{Payment+complete=0.5017667844522968, Insert Date Appeal to Prefecture+complete=0.20141342756183744, Send Appeal to Prefecture+complete=0.1978798586572438, Receive Result Appeal from Prefecture+complete=0.04240282685512368, Notify Result Appeal to Offender+complete=0.0353356890459364, Appeal to Judge+complete=0.0176678445229682, Send Fine+complete=0.0035335689045936395};NONALIGNING_ALL;{}
