delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;1552;159;156;0;0.9417531560642989;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1069;128;130;0;0.9466788370827286;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1251;128;132;0;0.9333613026124817;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;923;128;129;0;0.9464237119013064;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1508;157;153;0;0.9148863394747305;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;846;128;129;0;0.9545366926705371;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1122;128;129;0;0.9412701832365746;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1138;128;130;0;0.9413722333091437;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1380;151;147;0;0.9186410865156336;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1181;158;148;0;0.9374161782807591;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;1051;128;129;0;0.9437193849782294;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;931;128;130;0;0.9520364658925979;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;1154;128;132;0;0.9333613026124817;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;880;128;129;0;0.9437704100145139;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;1406;128;129;0;0.9182594618733955;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;848;128;129;0;0.9545366926705371;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;1179;128;129;0;0.9386168813497823;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;1103;128;130;0;0.9440255351959361;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;1235;128;129;0;0.9100820197792553;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;918;128;125;0;0.9466788370827286;{};NONALIGNING_KNOWN;{}
