delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;33583;983;879;0;-1.0;{Assignment+complete=0.4320838371624345, Status Change+complete=0.16041918581217252, Quality Indicator Fixed+complete=0.049979846835953246, Communication with customer+complete=0.037484885126964934, Description Update+complete=0.0354695687222894, Closed+complete=0.03506650544135429, Update from customer+complete=0.03143893591293833, Pending vendor+complete=0.03143893591293833, External Vendor Assignment+complete=0.024586860137041516, Mail to Customer+complete=0.02418379685610641, Quality Indicator+complete=0.021362353889560662, Reopen+complete=0.014107214832728738, Communication with vendor+complete=0.01128577186618299, Quality Indicator Set+complete=0.01128577186618299, External update+complete=0.01128577186618299, Urgency Change+complete=0.010479645304312777, Impact Change+complete=0.009673518742442563, Resolved+complete=0.00886739218057235, Vendor Reference+complete=0.007255139056831923, Open+complete=0.005642885933091495, Operator Update+complete=0.004433696090286175, Reassignment+complete=0.004433696090286175, Analysis/Research+complete=0.004030632809351068, Update+complete=0.0036275695284159614, Caused By CI+complete=0.0028214429665457475, Notify By Change+complete=0.0016122531237404273, Problem Workaround+complete=0.0012091898428053204, Problem Closure+complete=8.061265618702137E-4, External Vendor Reassignment+complete=8.061265618702137E-4, Vendor Reference Change+complete=8.061265618702137E-4, Callback Request+complete=4.0306328093510683E-4, OO Response+complete=4.0306328093510683E-4, Service Change+complete=4.0306328093510683E-4, Incident reproduction+complete=4.0306328093510683E-4, Affected CI Change+complete=4.0306328093510683E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;35860;1002;893;0;-1.0;{Assignment+complete=0.4461538461538462, Status Change+complete=0.1872420262664165, Quality Indicator Fixed+complete=0.04878048780487805, Communication with customer+complete=0.03377110694183865, Closed+complete=0.033395872420262665, Update from customer+complete=0.03151969981238274, External Vendor Assignment+complete=0.0300187617260788, Pending vendor+complete=0.02851782363977486, Description Update+complete=0.02776735459662289, Mail to Customer+complete=0.02101313320825516, Reopen+complete=0.015384615384615385, Quality Indicator+complete=0.0150093808630394, External update+complete=0.01200750469043152, Resolved+complete=0.010881801125703566, Quality Indicator Set+complete=0.01050656660412758, Urgency Change+complete=0.005628517823639775, Impact Change+complete=0.005628517823639775, Update+complete=0.00525328330206379, Communication with vendor+complete=0.00450281425891182, Reassignment+complete=0.004127579737335835, Problem Workaround+complete=0.00300187617260788, Caused By CI+complete=0.00300187617260788, Vendor Reference+complete=0.00300187617260788, Open+complete=0.002626641651031895, Notify By Change+complete=0.002626641651031895, Operator Update+complete=0.001876172607879925, Analysis/Research+complete=0.001876172607879925, Vendor Reference Change+complete=0.001876172607879925, Contact Change+complete=7.5046904315197E-4, Affected CI Change+complete=7.5046904315197E-4, Callback Request+complete=3.75234521575985E-4, OO Response+complete=3.75234521575985E-4, Problem Closure+complete=3.75234521575985E-4, External Vendor Reassignment+complete=3.75234521575985E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;26570;792;712;0;-1.0;{Assignment+complete=0.44282632146709816, Status Change+complete=0.16073354908306364, Quality Indicator Fixed+complete=0.05555555555555555, Communication with customer+complete=0.040453074433656956, Closed+complete=0.03505933117583603, Pending vendor+complete=0.03182308522114347, Mail to Customer+complete=0.030744336569579287, External Vendor Assignment+complete=0.028047464940668825, Description Update+complete=0.02696871628910464, Update from customer+complete=0.02319309600862999, Quality Indicator Set+complete=0.018878101402373247, Quality Indicator+complete=0.015102481121898598, Reopen+complete=0.012944983818770227, Resolved+complete=0.012405609492988134, Communication with vendor+complete=0.012405609492988134, External update+complete=0.011326860841423949, Analysis/Research+complete=0.005933117583603021, Operator Update+complete=0.005393743257820928, Update+complete=0.005393743257820928, Impact Change+complete=0.004314994606256742, Vendor Reference+complete=0.004314994606256742, Reassignment+complete=0.0037756202804746495, Urgency Change+complete=0.003236245954692557, Notify By Change+complete=0.002696871628910464, Open+complete=0.002157497303128371, Caused By CI+complete=0.0010787486515641855, Affected CI Change+complete=0.0010787486515641855, Callback Request+complete=5.393743257820927E-4, Problem Workaround+complete=5.393743257820927E-4, Service Change+complete=5.393743257820927E-4, Referred+complete=5.393743257820927E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15824;803;717;0;-1.0;{Assignment+complete=0.43956611570247933, Status Change+complete=0.1621900826446281, Quality Indicator Fixed+complete=0.05320247933884298, Communication with customer+complete=0.04855371900826446, Update from customer+complete=0.038739669421487606, Closed+complete=0.03770661157024793, Description Update+complete=0.027892561983471075, External Vendor Assignment+complete=0.02737603305785124, Mail to Customer+complete=0.02169421487603306, Quality Indicator+complete=0.02066115702479339, Pending vendor+complete=0.019111570247933883, Reopen+complete=0.013946280991735538, Resolved+complete=0.012913223140495868, Quality Indicator Set+complete=0.011363636363636364, Impact Change+complete=0.00981404958677686, Urgency Change+complete=0.009297520661157025, Communication with vendor+complete=0.009297520661157025, External update+complete=0.00878099173553719, Analysis/Research+complete=0.005681818181818182, Vendor Reference+complete=0.005681818181818182, Reassignment+complete=0.003615702479338843, Operator Update+complete=0.0030991735537190084, Update+complete=0.0030991735537190084, Open+complete=0.0010330578512396695, Caused By CI+complete=0.0010330578512396695, Vendor Reference Change+complete=0.0010330578512396695, Affected CI Change+complete=0.0010330578512396695, Dial-in+complete=5.165289256198347E-4, OO Response+complete=5.165289256198347E-4, Service Change+complete=5.165289256198347E-4, Referred+complete=5.165289256198347E-4, Notify By Change+complete=5.165289256198347E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;21798;833;754;0;-1.0;{Assignment+complete=0.45308924485125857, Status Change+complete=0.15148741418764303, Quality Indicator Fixed+complete=0.0517162471395881, Closed+complete=0.037986270022883295, Update from customer+complete=0.035240274599542334, Communication with customer+complete=0.034782608695652174, Pending vendor+complete=0.032036613272311214, Description Update+complete=0.028832951945080093, External Vendor Assignment+complete=0.02700228832951945, Mail to Customer+complete=0.021967963386727688, Reopen+complete=0.019221967963386728, Quality Indicator+complete=0.018306636155606407, Quality Indicator Set+complete=0.013272311212814645, Resolved+complete=0.011899313501144164, External update+complete=0.009610983981693364, Communication with vendor+complete=0.008237986270022883, Urgency Change+complete=0.005949656750572082, Vendor Reference+complete=0.005949656750572082, Operator Update+complete=0.005491990846681922, Impact Change+complete=0.005491990846681922, Caused By CI+complete=0.005034324942791762, Reassignment+complete=0.0036613272311212816, Open+complete=0.002745995423340961, Analysis/Research+complete=0.002288329519450801, Update+complete=0.0018306636155606408, OO Response+complete=9.153318077803204E-4, Problem Workaround+complete=9.153318077803204E-4, Problem Closure+complete=9.153318077803204E-4, Service Change+complete=9.153318077803204E-4, Notify By Change+complete=9.153318077803204E-4, Affected CI Change+complete=9.153318077803204E-4, Contact Change+complete=4.576659038901602E-4, Callback Request+complete=4.576659038901602E-4, Referred+complete=4.576659038901602E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;27402;1139;990;0;-1.0;{Assignment+complete=0.46580907244414355, Status Change+complete=0.15775220040622884, Quality Indicator Fixed+complete=0.05484089370345294, Closed+complete=0.037914691943127965, Communication with customer+complete=0.03249830737982397, Update from customer+complete=0.02911306702775897, External Vendor Assignment+complete=0.026066350710900472, Description Update+complete=0.025727826675693975, Mail to Customer+complete=0.025050778605280974, Pending vendor+complete=0.01963439404197698, Reopen+complete=0.016587677725118485, Quality Indicator+complete=0.015233581584292485, Resolved+complete=0.014895057549085985, Quality Indicator Set+complete=0.013879485443466486, Communication with vendor+complete=0.008801624915368992, Urgency Change+complete=0.007786052809749492, Analysis/Research+complete=0.006770480704129994, Impact Change+complete=0.006093432633716994, Vendor Reference+complete=0.005754908598510494, External update+complete=0.005416384563303994, Reassignment+complete=0.004739336492890996, Update+complete=0.004739336492890996, Operator Update+complete=0.004062288422477996, Problem Workaround+complete=0.002369668246445498, Caused By CI+complete=0.002369668246445498, Notify By Change+complete=0.002369668246445498, Open+complete=0.0016926201760324984, Affected CI Change+complete=0.001015572105619499, Service Change+complete=6.770480704129993E-4, Problem Closure+complete=3.3852403520649965E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;56306;1213;1053;0;-1.0;{Assignment+complete=0.4527584020291693, Status Change+complete=0.17247939124920736, Quality Indicator Fixed+complete=0.05833861762840837, Communication with customer+complete=0.040583386176284084, Description Update+complete=0.03170577045022194, Closed+complete=0.030754597336715282, Pending vendor+complete=0.028535193405199746, Update from customer+complete=0.027901077996195307, External Vendor Assignment+complete=0.024730500951173115, Mail to Customer+complete=0.02060875079264426, Quality Indicator+complete=0.013950538998097653, Quality Indicator Set+complete=0.011414077362079899, Reopen+complete=0.011414077362079899, Resolved+complete=0.01077996195307546, Impact Change+complete=0.009194673430564362, Communication with vendor+complete=0.008560558021559923, Urgency Change+complete=0.008243500317057704, Analysis/Research+complete=0.006975269499048827, External update+complete=0.006975269499048827, Vendor Reference+complete=0.004755865567533291, Reassignment+complete=0.004438807863031071, Update+complete=0.003804692454026633, Operator Update+complete=0.0025364616360177552, Caused By CI+complete=0.0019023462270133164, Open+complete=0.0015852885225110971, Problem Workaround+complete=0.0012682308180088776, Referred+complete=9.511731135066582E-4, Affected CI Change+complete=9.511731135066582E-4, Callback Request+complete=6.341154090044388E-4, Contact Change+complete=3.170577045022194E-4, Service Change+complete=3.170577045022194E-4, External Vendor Reassignment+complete=3.170577045022194E-4, Incident reproduction+complete=3.170577045022194E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;18280;856;776;0;-1.0;{Assignment+complete=0.452991452991453, Status Change+complete=0.16111111111111112, Quality Indicator Fixed+complete=0.0547008547008547, Closed+complete=0.03632478632478633, Communication with customer+complete=0.03547008547008547, Description Update+complete=0.03418803418803419, Update from customer+complete=0.029487179487179487, Pending vendor+complete=0.024786324786324785, Mail to Customer+complete=0.023076923076923078, External Vendor Assignment+complete=0.020512820512820513, Reopen+complete=0.018376068376068377, Quality Indicator Set+complete=0.01581196581196581, Quality Indicator+complete=0.014957264957264958, Resolved+complete=0.014102564102564103, Communication with vendor+complete=0.009829059829059829, Urgency Change+complete=0.007692307692307693, Analysis/Research+complete=0.006837606837606838, External update+complete=0.00641025641025641, Impact Change+complete=0.005982905982905983, Reassignment+complete=0.004700854700854701, Operator Update+complete=0.0038461538461538464, Open+complete=0.003418803418803419, Vendor Reference+complete=0.003418803418803419, Notify By Change+complete=0.0029914529914529917, Caused By CI+complete=0.002136752136752137, Update+complete=0.0017094017094017094, Problem Workaround+complete=0.001282051282051282, Problem Closure+complete=8.547008547008547E-4, Affected CI Change+complete=8.547008547008547E-4, Contact Change+complete=4.2735042735042735E-4, Callback Request+complete=4.2735042735042735E-4, Referred+complete=4.2735042735042735E-4, External Vendor Reassignment+complete=4.2735042735042735E-4, Incident reproduction+complete=4.2735042735042735E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15949;851;760;0;-1.0;{Assignment+complete=0.4546271338724169, Status Change+complete=0.15858041329739442, Quality Indicator Fixed+complete=0.050314465408805034, Communication with customer+complete=0.04043126684636118, Closed+complete=0.03504043126684636, Mail to Customer+complete=0.032794249775381853, Update from customer+complete=0.02830188679245283, Description Update+complete=0.025157232704402517, Pending vendor+complete=0.02336028751123091, External Vendor Assignment+complete=0.022911051212938006, External update+complete=0.015274034141958671, Quality Indicator+complete=0.014824797843665768, Quality Indicator Set+complete=0.013926325247079964, Reopen+complete=0.013926325247079964, Analysis/Research+complete=0.013477088948787063, Resolved+complete=0.010332434860736747, Communication with vendor+complete=0.010332434860736747, Impact Change+complete=0.006738544474393531, Urgency Change+complete=0.005840071877807727, Operator Update+complete=0.0035938903863432167, Caused By CI+complete=0.0031446540880503146, Vendor Reference+complete=0.0031446540880503146, Open+complete=0.0026954177897574125, Reassignment+complete=0.0026954177897574125, Notify By Change+complete=0.0026954177897574125, Update+complete=0.0026954177897574125, Problem Workaround+complete=8.984725965858042E-4, Vendor Reference Change+complete=8.984725965858042E-4, Service Change+complete=4.492362982929021E-4, Referred+complete=4.492362982929021E-4, Affected CI Change+complete=4.492362982929021E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;20656;883;790;0;-1.0;{Assignment+complete=0.45883827831174256, Status Change+complete=0.1554534057668199, Quality Indicator Fixed+complete=0.058921855411617215, Communication with customer+complete=0.04262432093606352, Closed+complete=0.03175929795236105, Pending vendor+complete=0.03092352695361471, Update from customer+complete=0.029251984956122024, External Vendor Assignment+complete=0.026744671959882994, Description Update+complete=0.02632678646050982, Mail to Customer+complete=0.024655244463017135, Quality Indicator+complete=0.01671541997492687, Reopen+complete=0.0162975344755537, Quality Indicator Set+complete=0.012954450480568324, Resolved+complete=0.010865022983702465, Analysis/Research+complete=0.008775595486836606, Communication with vendor+complete=0.008775595486836606, External update+complete=0.0071040534893439195, Urgency Change+complete=0.0058503969912244045, Vendor Reference+complete=0.0058503969912244045, Impact Change+complete=0.005014625992478061, Reassignment+complete=0.003343083994985374, Update+complete=0.0025073129962390303, Operator Update+complete=0.002089427496865859, Caused By CI+complete=0.001671541997492687, Notify By Change+complete=0.001671541997492687, Open+complete=0.0012536564981195152, Affected CI Change+complete=0.0012536564981195152, Contact Change+complete=4.178854993731718E-4, Callback Request+complete=4.178854993731718E-4, OO Response+complete=4.178854993731718E-4, Problem Workaround+complete=4.178854993731718E-4, Service Change+complete=4.178854993731718E-4, Referred+complete=4.178854993731718E-4};NONALIGNING_KNOWN;{}
