delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;12902;657;598;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12130;657;600;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11879;657;600;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12929;657;596;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11045;657;600;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12752;657;588;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;21254;657;593;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11968;657;609;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8313;657;601;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10434;657;601;0;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12189;657;598;20;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13316;657;600;16;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15627;657;600;24;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14362;657;596;17;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11325;657;600;17;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10378;657;588;22;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;22076;657;593;15;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13958;657;609;25;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9338;657;601;14;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10174;657;601;18;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;12188;657;598;90;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;10142;657;600;79;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;13611;657;600;100;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;9904;657;596;87;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;11418;657;600;93;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;10462;657;588;92;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;17288;657;593;92;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;12924;657;609;96;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;8027;657;601;98;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;12207;657;601;91;0;-1.0;{};NONALIGNING_KNOWN;{}
