delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;96;658;44;0;0.996954357546613;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;97;658;53;0;0.997312470138557;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;95;658;42;0;0.996479939439819;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;160;658;57;0;0.994961538461539;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;96;658;56;0;0.99706703357618;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;165;658;47;0;0.997303894063517;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;95;658;53;0;0.997987275882013;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;94;658;51;0;0.996409588892505;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;158;658;47;0;0.997315096251266;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;96;658;49;0;0.995133287764867;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;79;382;39;0;0.996734575928334;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;382;40;0;0.998135024244685;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;84;382;45;0;0.996726967549422;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;84;382;49;0;0.995761904761905;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;160;382;43;0;0.997764004526033;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;84;382;38;0;0.997026901669759;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;87;382;40;0;0.999241130715234;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;382;41;0;0.998193332091637;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;84;382;43;0;0.997317936300987;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;158;382;45;0;0.996503170458784;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;78;269;30;0;0.997632202052091;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;153;269;31;0;0.997628927089508;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;80;269;35;0;0.996553538542488;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;84;269;48;0;0.995867895545315;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;79;269;45;0;0.997873977873978;{};NONALIGNING_KNOWN;{}
