delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;96;658;47;12;0.991936941823047;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;131;658;54;18;0.9832130446404705;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;87;658;46;15;0.9879274891774905;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;127;658;52;13;0.989010513296228;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;87;658;55;13;0.9907311462194136;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;91;658;43;12;0.9931694284992246;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;143;658;53;13;0.9891445594250761;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;95;658;52;14;0.9910132134734118;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;140;658;46;13;0.9924416504082669;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;93;658;49;15;0.9901325707191638;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;110;382;37;10;0.9919045554936323;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;84;382;40;16;0.9860126818351367;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;87;382;47;15;0.9896783349101228;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;135;382;49;13;0.9890529027144835;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;382;44;8;0.9915788400081598;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;382;38;8;0.9935250463821895;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;83;382;42;10;0.9934725848563969;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;382;41;12;0.9913922991071423;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;83;382;43;12;0.9911252574424265;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;86;382;42;14;0.991362451108214;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;126;269;32;8;0.9913180741910014;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;82;269;33;14;0.9787243337702045;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;80;269;42;14;0.9911117078410301;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;78;269;49;12;0.9909523809523801;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;81;269;46;10;0.9907823300088489;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;78;269;39;10;0.9934490923441198;{};NONALIGNING_KNOWN;{}
