delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;18182;128;133;0;0.9630303334218558;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14766;128;131;0;0.9673921436213302;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16640;128;131;0;0.965554552645954;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;13378;128;129;0;0.9675871737326751;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;19886;128;133;0;0.9628517356997411;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;11433;128;130;0;0.9697028381016002;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16930;128;133;0;0.9632571424297749;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;19595;128;133;0;0.96116951430719;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;13164;128;129;0;0.9668044482829274;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15273;128;126;0;0.9642169531911473;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;18300;128;133;0;0.963030333421856;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14736;128;130;0;0.9673921436213302;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;16691;128;131;0;0.9655545526459539;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;13303;128;129;0;0.9675871737326751;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;19074;128;132;0;0.9628524224284076;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;11392;128;130;0;0.9697028381016002;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;17176;128;133;0;0.9632571424297749;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;19398;128;133;0;0.96116951430719;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;13320;128;129;0;0.9668044482829274;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;15255;128;126;0;0.9645448639607183;{};NONALIGNING_KNOWN;{}
