delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;26427;848;764;30;-1.0;{Assignment+complete=0.4393647738209817, Status Change+complete=0.1631376323387873, Quality Indicator Fixed+complete=0.060153994225216556, Communication with customer+complete=0.03753609239653513, Closed+complete=0.03609239653512993, Description Update+complete=0.03176130895091434, Update from customer+complete=0.029836381135707413, Pending vendor+complete=0.02791145332050048, External Vendor Assignment+complete=0.024542829643888354, Mail to Customer+complete=0.02406159769008662, Quality Indicator+complete=0.02021174205967276, Reopen+complete=0.014436958614051972, External update+complete=0.01203079884504331, Resolved+complete=0.010587102983638113, Quality Indicator Set+complete=0.01010587102983638, Urgency Change+complete=0.007699711260827719, Operator Update+complete=0.006737247353224254, Impact Change+complete=0.006256015399422521, Vendor Reference+complete=0.005774783445620789, Communication with vendor+complete=0.0052935514918190565, Open+complete=0.004812319538017324, Analysis/Research+complete=0.004812319538017324, Reassignment+complete=0.004812319538017324, Update+complete=0.003368623676612127, Caused By CI+complete=0.002406159769008662, Notify By Change+complete=0.0014436958614051972, Callback Request+complete=9.624639076034649E-4, Problem Workaround+complete=9.624639076034649E-4, External Vendor Reassignment+complete=9.624639076034649E-4, Vendor Reference Change+complete=9.624639076034649E-4, Problem Closure+complete=4.8123195380173246E-4, Incident reproduction+complete=4.8123195380173246E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;24416;976;862;31;-1.0;{Assignment+complete=0.4330833004342677, Status Change+complete=0.1914725621792341, Quality Indicator Fixed+complete=0.051322542439794706, Communication with customer+complete=0.03434662455586261, External Vendor Assignment+complete=0.031188314251875248, Update from customer+complete=0.029609159099881564, Closed+complete=0.02881958152388472, Pending vendor+complete=0.02803000394788788, Description Update+complete=0.02763521515988946, Mail to Customer+complete=0.024476904855902093, Quality Indicator+complete=0.016581129095933674, Reopen+complete=0.01421239636794315, External update+complete=0.013028030003947888, Resolved+complete=0.012633241215949467, Quality Indicator Set+complete=0.011054086063955783, Update+complete=0.007106198183971575, Urgency Change+complete=0.005921831819976312, Caused By CI+complete=0.005527043031977891, Impact Change+complete=0.005132254243979471, Communication with vendor+complete=0.00473746545598105, Operator Update+complete=0.0039478878799842085, Reassignment+complete=0.0039478878799842085, Open+complete=0.0035530990919857876, Analysis/Research+complete=0.0031583103039873666, Vendor Reference+complete=0.0027635215159889457, Notify By Change+complete=0.002368732727990525, Problem Workaround+complete=0.0019739439399921043, Affected CI Change+complete=7.895775759968417E-4, Contact Change+complete=3.9478878799842083E-4, Callback Request+complete=3.9478878799842083E-4, OO Response+complete=3.9478878799842083E-4, External Vendor Reassignment+complete=3.9478878799842083E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;18515;846;761;34;-1.0;{Assignment+complete=0.439119804400978, Status Change+complete=0.16185819070904645, Quality Indicator Fixed+complete=0.05525672371638142, Communication with customer+complete=0.039119804400977995, Closed+complete=0.034229828850855744, Pending vendor+complete=0.03276283618581907, Description Update+complete=0.029339853300733496, Mail to Customer+complete=0.029339853300733496, External Vendor Assignment+complete=0.02787286063569682, Update from customer+complete=0.021026894865525673, Quality Indicator+complete=0.015647921760391197, Quality Indicator Set+complete=0.015647921760391197, Resolved+complete=0.012713936430317848, Communication with vendor+complete=0.012224938875305624, Reopen+complete=0.010757946210268949, External update+complete=0.008801955990220049, Operator Update+complete=0.007823960880195598, Analysis/Research+complete=0.007334963325183374, Update+complete=0.007334963325183374, Impact Change+complete=0.004889975550122249, Urgency Change+complete=0.004400977995110024, Vendor Reference+complete=0.004400977995110024, Caused By CI+complete=0.003911980440097799, Reassignment+complete=0.0034229828850855745, Open+complete=0.00293398533007335, Notify By Change+complete=0.0024449877750611247, Affected CI Change+complete=0.0019559902200488996, Service Change+complete=0.001466992665036675, Problem Workaround+complete=9.779951100244498E-4, Callback Request+complete=4.889975550122249E-4, Referred+complete=4.889975550122249E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;18568;802;713;23;-1.0;{Assignment+complete=0.435793731041456, Status Change+complete=0.16632962588473205, Quality Indicator Fixed+complete=0.05409504550050556, Communication with customer+complete=0.05156723963599596, Closed+complete=0.03741152679474216, Update from customer+complete=0.036905965621840245, External Vendor Assignment+complete=0.028816986855409503, Description Update+complete=0.02578361981799798, Pending vendor+complete=0.02275025278058645, Mail to Customer+complete=0.019716885743174924, Quality Indicator+complete=0.01769464105156724, Reopen+complete=0.013650151668351871, Quality Indicator Set+complete=0.011122345803842264, Impact Change+complete=0.010616784630940344, Resolved+complete=0.010111223458038422, Urgency Change+complete=0.009605662285136502, Communication with vendor+complete=0.008594539939332659, External update+complete=0.007583417593528817, Analysis/Research+complete=0.006572295247724975, Vendor Reference+complete=0.006066734074823054, Reassignment+complete=0.005561172901921132, Operator Update+complete=0.004044489383215369, Update+complete=0.004044489383215369, Caused By CI+complete=0.0025278058645096056, Vendor Reference Change+complete=0.0010111223458038423, OO Response+complete=5.055611729019212E-4, Open+complete=5.055611729019212E-4, Referred+complete=5.055611729019212E-4, Notify By Change+complete=5.055611729019212E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;25997;1049;930;41;-1.0;{Assignment+complete=0.45860087867522814, Status Change+complete=0.15309226089895234, Quality Indicator Fixed+complete=0.05373436971949983, Closed+complete=0.0388644812436634, Communication with customer+complete=0.033119297059817504, Update from customer+complete=0.03041568097330179, External Vendor Assignment+complete=0.027374112875971614, Pending vendor+complete=0.027374112875971614, Description Update+complete=0.026698208854342684, Mail to Customer+complete=0.022980736735383575, Reopen+complete=0.019939168638053395, Quality Indicator+complete=0.014531936465021968, Quality Indicator Set+complete=0.013180128421764109, Resolved+complete=0.011152416356877323, External update+complete=0.009800608313619466, Urgency Change+complete=0.009124704291990537, Communication with vendor+complete=0.008786752281176074, Impact Change+complete=0.00844880027036161, Operator Update+complete=0.007434944237918215, Vendor Reference+complete=0.006421088205474822, Caused By CI+complete=0.005069280162216965, Analysis/Research+complete=0.0023656640757012504, Open+complete=0.002027712064886786, Reassignment+complete=0.002027712064886786, Update+complete=0.0016897600540723217, Affected CI Change+complete=0.0013518080432578573, Referred+complete=0.001013856032443393, Notify By Change+complete=0.001013856032443393, Service Change+complete=6.759040216289286E-4, Contact Change+complete=3.379520108144643E-4, OO Response+complete=3.379520108144643E-4, Problem Workaround+complete=3.379520108144643E-4, External Vendor Reassignment+complete=3.379520108144643E-4, Vendor Reference Change+complete=3.379520108144643E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;36158;1156;997;51;-1.0;{Assignment+complete=0.45492866407263294, Status Change+complete=0.1562905317769131, Quality Indicator Fixed+complete=0.054798962386511024, Closed+complete=0.036640726329442284, Communication with customer+complete=0.030804150453955903, Description Update+complete=0.02756160830090791, External Vendor Assignment+complete=0.02496757457846952, Update from customer+complete=0.024319066147859923, Mail to Customer+complete=0.023022049286640728, Pending vendor+complete=0.020428015564202335, Quality Indicator+complete=0.020103761348897537, Reopen+complete=0.01556420233463035, Resolved+complete=0.014267185473411154, Quality Indicator Set+complete=0.014267185473411154, Urgency Change+complete=0.009079118028534372, Communication with vendor+complete=0.008754863813229572, Impact Change+complete=0.008754863813229572, Operator Update+complete=0.008430609597924773, External update+complete=0.008430609597924773, Caused By CI+complete=0.0074578469520103765, Analysis/Research+complete=0.00616083009079118, Vendor Reference+complete=0.005836575875486381, Reassignment+complete=0.005512321660181583, Update+complete=0.0048638132295719845, Open+complete=0.0019455252918287938, Problem Workaround+complete=0.0019455252918287938, Notify By Change+complete=0.0019455252918287938, Affected CI Change+complete=0.0012970168612191958, Problem Closure+complete=6.485084306095979E-4, Service Change+complete=6.485084306095979E-4, OO Response+complete=3.2425421530479895E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;42441;1089;941;41;-1.0;{Assignment+complete=0.45314145314145315, Status Change+complete=0.16426816426816426, Quality Indicator Fixed+complete=0.057564057564057566, Communication with customer+complete=0.040716040716040715, Closed+complete=0.0343980343980344, Description Update+complete=0.02808002808002808, Update from customer+complete=0.026676026676026678, Pending vendor+complete=0.024219024219024218, External Vendor Assignment+complete=0.023868023868023867, Mail to Customer+complete=0.022113022113022112, Quality Indicator+complete=0.018603018603018603, Reopen+complete=0.013338013338013339, Quality Indicator Set+complete=0.011934011934011933, Resolved+complete=0.011232011232011231, Impact Change+complete=0.009126009126009126, Communication with vendor+complete=0.008775008775008775, Urgency Change+complete=0.008424008424008424, Update+complete=0.00702000702000702, Operator Update+complete=0.006669006669006669, Analysis/Research+complete=0.005616005616005616, Vendor Reference+complete=0.005265005265005265, External update+complete=0.005265005265005265, Caused By CI+complete=0.00351000351000351, Reassignment+complete=0.002457002457002457, Open+complete=0.002106002106002106, Problem Workaround+complete=0.001404001404001404, Affected CI Change+complete=0.001053001053001053, Callback Request+complete=7.02000702000702E-4, Service Change+complete=7.02000702000702E-4, External Vendor Reassignment+complete=7.02000702000702E-4, Contact Change+complete=3.51000351000351E-4, Notify By Change+complete=3.51000351000351E-4, Incident reproduction+complete=3.51000351000351E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;23428;866;783;32;-1.0;{Assignment+complete=0.44711737868104523, Status Change+complete=0.16756532559104106, Quality Indicator Fixed+complete=0.04935711323102447, Description Update+complete=0.03566984653670676, Closed+complete=0.035255080879303194, Communication with customer+complete=0.03442554956449606, Update from customer+complete=0.025300705101617586, Pending vendor+complete=0.025300705101617586, External Vendor Assignment+complete=0.022812111157196183, Mail to Customer+complete=0.019493985897967647, Reopen+complete=0.018664454583160513, Quality Indicator+complete=0.017005391953546247, Resolved+complete=0.014516798009124844, Quality Indicator Set+complete=0.014516798009124844, Communication with vendor+complete=0.010783907092492741, Operator Update+complete=0.007880547490667772, Urgency Change+complete=0.007880547490667772, Analysis/Research+complete=0.007465781833264205, Impact Change+complete=0.006221484861053505, External update+complete=0.005806719203649938, Reassignment+complete=0.00414765657403567, Open+complete=0.0033181252592285357, Vendor Reference+complete=0.0033181252592285357, Update+complete=0.002903359601824969, Caused By CI+complete=0.002488593944421402, Notify By Change+complete=0.002488593944421402, Problem Workaround+complete=0.002073828287017835, Affected CI Change+complete=0.0016590626296142678, Callback Request+complete=8.295313148071339E-4, Problem Closure+complete=8.295313148071339E-4, Service Change+complete=8.295313148071339E-4, Contact Change+complete=4.1476565740356696E-4, Referred+complete=4.1476565740356696E-4, External Vendor Reassignment+complete=4.1476565740356696E-4, Incident reproduction+complete=4.1476565740356696E-4, Vendor Reference Change+complete=4.1476565740356696E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;12011;816;724;19;-1.0;{Assignment+complete=0.45054945054945056, Status Change+complete=0.1610129001433349, Quality Indicator Fixed+complete=0.0482560917343526, Communication with customer+complete=0.040611562350692784, Mail to Customer+complete=0.03392259913999045, Description Update+complete=0.031055900621118012, Closed+complete=0.029144768275203056, Update from customer+complete=0.02818920210224558, External Vendor Assignment+complete=0.024366937410415672, Pending vendor+complete=0.022455805064500716, Quality Indicator+complete=0.016244624940277116, Quality Indicator Set+complete=0.013377926421404682, Reopen+complete=0.012900143334925944, External update+complete=0.012422360248447204, Analysis/Research+complete=0.011944577161968466, Resolved+complete=0.010033444816053512, Communication with vendor+complete=0.009555661729574774, Operator Update+complete=0.006688963210702341, Impact Change+complete=0.006688963210702341, Urgency Change+complete=0.006211180124223602, Caused By CI+complete=0.005255613951266125, Vendor Reference+complete=0.003822264691829909, Open+complete=0.0033444816053511705, Reassignment+complete=0.0033444816053511705, Notify By Change+complete=0.002866698518872432, Update+complete=0.0023889154323936935, Problem Workaround+complete=9.555661729574773E-4, Vendor Reference Change+complete=9.555661729574773E-4, Service Change+complete=4.7778308647873863E-4, Referred+complete=4.7778308647873863E-4, Affected CI Change+complete=4.7778308647873863E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;18182;870;775;22;-1.0;{Assignment+complete=0.4428028704094555, Status Change+complete=0.15576192486281132, Quality Indicator Fixed+complete=0.05825242718446602, Communication with customer+complete=0.038834951456310676, Update from customer+complete=0.03376952300548755, Pending vendor+complete=0.031658927817644573, Closed+complete=0.030814689742507388, External Vendor Assignment+complete=0.0299704516673702, Mail to Customer+complete=0.0299704516673702, Description Update+complete=0.027015618404390037, Quality Indicator+complete=0.020261713803292527, Reopen+complete=0.01561840439003799, Quality Indicator Set+complete=0.014774166314900802, Resolved+complete=0.010552975939214858, Communication with vendor+complete=0.008864499788940482, Vendor Reference+complete=0.007176023638666104, Urgency Change+complete=0.006331785563528915, External update+complete=0.006331785563528915, Analysis/Research+complete=0.0059096665259603205, Impact Change+complete=0.005487547488391726, Operator Update+complete=0.003799071338117349, Update+complete=0.003799071338117349, Reassignment+complete=0.0033769523005487546, Caused By CI+complete=0.002110595187842972, Notify By Change+complete=0.002110595187842972, Open+complete=0.001266357112705783, Affected CI Change+complete=0.001266357112705783, Callback Request+complete=4.2211903756859433E-4, OO Response+complete=4.2211903756859433E-4, Problem Workaround+complete=4.2211903756859433E-4, Service Change+complete=4.2211903756859433E-4, Referred+complete=4.2211903756859433E-4};NONALIGNING_ALL;{}
