delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;10345;672;610;0;0.8149360722118754;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12131;676;615;0;0.8138238452892727;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16134;679;621;0;0.8197741402236032;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12326;702;633;0;0.8146849765696166;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12893;679;620;0;0.8071113609528452;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14257;678;606;0;0.8117146072033838;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;23257;688;619;0;0.8113540168904035;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;18085;677;624;0;0.8160866800081079;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10552;674;613;0;0.8143695670914699;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14644;676;618;0;0.8092390881055105;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5430;397;381;0;0.810698155843705;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;9108;412;389;0;0.8158408141178349;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;8467;402;379;0;0.8169409888139216;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;11265;424;398;0;0.8150787283406924;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5495;401;378;0;0.813583260336025;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6260;401;376;0;0.8112423990687659;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;10326;412;388;0;0.8139148299418475;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5660;398;382;0;0.825584322713141;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4518;402;378;0;0.814855863969975;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6298;400;384;0;0.8067490712487406;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3425;283;276;0;0.8140875845151764;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;4149;289;282;0;0.8114074769445859;{};NONALIGNING_KNOWN;{}
