delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;6591;2857;55;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=0.024324324324324326, 49=0.005405405405405406, 28=0.005405405405405406, 29=0.04594594594594595, 552=0.21081081081081082, 850=0.016216216216216217, 852=0.008108108108108109, 831=0.013513513513513514, 557=0.23243243243243245, 810=0.010810810810810811, 559=0.1945945945945946, 50=0.008108108108108109, 30=0.05405405405405406, 52=0.010810810810810811, 53=0.021621621621621623, 11=0.005405405405405406, 36=0.021621621621621623, 58=0.002702702702702703, 562=0.005405405405405406, 563=0.005405405405405406, 541=0.04594594594594595, 566=0.010810810810810811, 864=0.010810810810810811, 821=0.002702702702702703, 546=0.008108108108108109, 9=0.005405405405405406, 823=0.005405405405405406, 824=0.005405405405405406, 829=0.002702702702702703}}
0.01;0.99;0.01;0.1;6552;2794;60;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={25=0.014732965009208104, 49=0.003683241252302026, 29=0.04419889502762431, 550=0.0055248618784530384, 851=0.09944751381215469, 830=0.003683241252302026, 558=0.003683241252302026, 559=0.001841620626151013, 834=0.01841620626151013, 538=0.020257826887661142, 50=0.001841620626151013, 816=0.001841620626151013, 30=0.022099447513812154, 31=0.003683241252302026, 54=0.01841620626151013, 32=0.001841620626151013, 11=0.016574585635359115, 35=0.009208103130755065, 59=0.011049723756906077, 17=0.007366482504604052, 541=0.23572744014732966, 4=0.287292817679558, 842=0.001841620626151013, 9=0.1289134438305709, 823=0.011049723756906077, 548=0.001841620626151013, 824=0.003683241252302026, 848=0.003683241252302026, 829=0.016574585635359115}}
0.01;0.99;0.01;0.1;5774;3103;62;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=0.02459016393442623, 46=0.02459016393442623, 47=0.00819672131147541, 26=0.004098360655737705, 49=0.022540983606557378, 27=0.004098360655737705, 28=0.012295081967213115, 29=0.00819672131147541, 550=0.006147540983606557, 557=0.02663934426229508, 538=0.10860655737704918, 50=0.006147540983606557, 836=0.006147540983606557, 837=0.020491803278688523, 52=0.004098360655737705, 30=0.040983606557377046, 31=0.00819672131147541, 10=0.004098360655737705, 11=0.018292682926829267, 35=0.006097560975609756, 57=0.0040650406504065045, 37=0.018292682926829267, 17=0.008130081300813009, 560=0.024390243902439025, 541=0.23577235772357724, 865=0.10365853658536585, 843=0.006097560975609756, 548=0.0040650406504065045, 845=0.13617886178861788, 825=0.0040650406504065045, 40=0.032520325203252036, 848=0.008130081300813009, 42=0.016260162601626018, 43=0.02032520325203252, 829=0.008130081300813009}}
0.01;0.99;0.01;0.1;6278;2437;60;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={44=0.0056179775280898875, 22=0.0056179775280898875, 49=0.011235955056179775, 29=0.028089887640449437, 550=0.03089887640449438, 552=0.0056179775280898875, 850=0.008426966292134831, 830=0.0056179775280898875, 852=0.011235955056179775, 556=0.056179775280898875, 831=0.008426966292134831, 557=0.06179775280898876, 536=0.0028089887640449437, 558=0.011235955056179775, 537=0.03932584269662921, 538=0.25842696629213485, 836=0.011235955056179775, 50=0.008426966292134831, 837=0.02247191011235955, 30=0.016853932584269662, 10=0.0056179775280898875, 11=0.014044943820224719, 34=0.14606741573033707, 56=0.008426966292134831, 35=0.011235955056179775, 57=0.0056179775280898875, 560=0.0028089887640449437, 541=0.0028089887640449437, 3=0.014044943820224719, 840=0.16292134831460675, 823=0.014044943820224719, 42=0.0028089887640449437}}
0.01;0.99;0.01;0.1;6672;3760;79;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={45=0.03, 46=0.006, 47=0.15, 25=0.004, 29=0.028, 550=0.002, 850=0.004, 851=0.01, 556=0.04, 557=0.154, 810=0.006, 558=0.002, 536=0.012, 833=0.002, 537=0.068, 538=0.034, 50=0.004, 52=0.002, 30=0.006, 839=0.004, 53=0.008, 819=0.02, 11=0.016, 12=0.02, 57=0.002, 37=0.002, 561=0.006, 563=0.032, 541=0.012, 568=0.006, 845=0.044, 9=0.004, 824=0.208, 61=0.004, 847=0.008, 848=0.008, 63=0.008, 41=0.004, 829=0.02}}
0.01;0.99;0.01;0.1;6175;3432;69;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={46=0.008676789587852495, 26=0.004338394793926247, 49=0.013015184381778741, 29=0.006507592190889371, 550=0.026030368763557483, 555=0.008676789587852495, 556=0.0021691973969631237, 832=0.14967462039045554, 557=0.01735357917570499, 854=0.010845986984815618, 558=0.021691973969631236, 559=0.004338394793926247, 834=0.0021691973969631237, 537=0.0650759219088937, 538=0.03470715835140998, 50=0.14533622559652928, 836=0.004338394793926247, 30=0.006507592190889371, 31=0.21475054229934923, 53=0.03253796095444685, 839=0.004338394793926247, 11=0.008676789587852495, 56=0.010845986984815618, 37=0.008676789587852495, 561=0.0021691973969631237, 540=0.010845986984815618, 541=0.010845986984815618, 840=0.01735357917570499, 546=0.013015184381778741, 548=0.0021691973969631237, 824=0.0021691973969631237, 802=0.006507592190889371, 40=0.05422993492407809, 848=0.008676789587852495, 849=0.04338394793926247, 829=0.01735357917570499}}
0.01;0.99;0.01;0.1;6385;4039;70;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={44=0.03065134099616858, 47=0.02490421455938697, 27=0.0210727969348659, 49=0.19540229885057472, 29=0.01532567049808429, 550=0.08812260536398467, 850=0.005747126436781609, 831=0.0019157088122605363, 556=0.0038314176245210726, 557=0.007662835249042145, 558=0.022988505747126436, 811=0.0019157088122605363, 537=0.0038314176245210726, 538=0.034482758620689655, 52=0.0210727969348659, 53=0.013409961685823755, 11=0.2260536398467433, 56=0.01532567049808429, 57=0.0038314176245210726, 39=0.0038314176245210726, 561=0.019157088122605363, 562=0.011494252873563218, 540=0.005747126436781609, 563=0.005747126436781609, 541=0.1743295019157088, 564=0.005747126436781609, 565=0.0019157088122605363, 820=0.005747126436781609, 546=0.007662835249042145, 843=0.0038314176245210726, 802=0.0038314176245210726, 847=0.0038314176245210726, 848=0.007662835249042145, 63=0.0019157088122605363}}
0.01;0.99;0.01;0.1;6860;3440;68;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={44=0.002173913043478261, 22=0.008695652173913044, 45=0.034782608695652174, 27=0.004347826086956522, 49=0.008695652173913044, 28=0.021739130434782608, 29=0.03260869565217391, 550=0.002173913043478261, 556=0.05, 854=0.006521739130434782, 536=0.01956521739130435, 558=0.017391304347826087, 537=0.25869565217391305, 834=0.013043478260869565, 538=0.010869565217391304, 858=0.006521739130434782, 837=0.008695652173913044, 11=0.18043478260869567, 58=0.021739130434782608, 36=0.006521739130434782, 39=0.006521739130434782, 540=0.010869565217391304, 541=0.1891304347826087, 823=0.010869565217391304, 824=0.017391304347826087, 704=0.02826086956521739, 40=0.013043478260869565, 848=0.006521739130434782, 829=0.002173913043478261}}
0.01;0.99;0.01;0.1;5551;3772;68;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=0.00546448087431694, 46=0.007285974499089253, 25=0.007285974499089253, 49=0.025500910746812388, 27=0.0036429872495446266, 28=0.02185792349726776, 29=0.03642987249544627, 550=0.012750455373406194, 850=0.0018214936247723133, 554=0.00546448087431694, 555=0.0036429872495446266, 852=0.24772313296903462, 556=0.029143897996357013, 557=0.0036429872495446266, 536=0.17304189435336975, 558=0.029143897996357013, 559=0.14025500910746813, 538=0.012750455373406194, 52=0.0036429872495446266, 30=0.009107468123861567, 10=0.051001821493624776, 11=0.0273224043715847, 34=0.01092896174863388, 56=0.00546448087431694, 35=0.00546448087431694, 58=0.0018214936247723133, 36=0.00546448087431694, 37=0.007285974499089253, 541=0.007285974499089253, 840=0.01092896174863388, 546=0.0018214936247723133, 9=0.0018214936247723133, 868=0.03825136612021858, 824=0.0018214936247723133, 40=0.0036429872495446266, 62=0.007285974499089253, 827=0.0018214936247723133, 829=0.025500910746812388, 65=0.00546448087431694}}
0.01;0.99;0.01;0.1;5164;1767;46;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={23=0.0038860103626943004, 46=0.04404145077720207, 49=0.0051813471502590676, 29=0.011658031088082901, 550=0.015544041450777202, 536=0.007772020725388601, 537=0.046632124352331605, 538=0.04015544041450777, 858=0.05310880829015544, 50=0.0025906735751295338, 53=0.0025906735751295338, 57=0.0025906735751295338, 39=0.0051813471502590676, 560=0.007772020725388601, 563=0.0012953367875647669, 541=0.010362694300518135, 564=0.007772020725388601, 568=0.0038860103626943004, 846=0.0025906735751295338, 824=0.0012953367875647669, 825=0.0051813471502590676, 61=0.7098445595854922, 40=0.0012953367875647669, 63=0.0025906735751295338, 43=0.0051813471502590676}}
