delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;5573;906;403;152;-1.0;{O_SELECTED=0.18968809675366008, W_Nabellen offertes=0.16613621896880967, W_Completeren aanvraag=0.15531508593252705, A_FINALIZED=0.10630171865054105, O_SENT=0.08211330362826226, A_DECLINED=0.07065563335455124, W_Afhandelen leads=0.03500954805856143, A_CANCELLED=0.033099936346276254, O_DECLINED=0.032463399108847865, O_CANCELLED=0.022278803309993635, W_Valideren aanvraag=0.019096117122851686, A_PREACCEPTED=0.01782304264799491, A_APPROVED=0.015913430935709738, W_Nabellen incomplete dossiers=0.011457670273711012, A_ACTIVATED=0.010821133036282623, O_ACCEPTED=0.009548058561425843, A_ACCEPTED=0.008274984086569064, A_REGISTERED=0.007001909611712286, O_CREATED=0.0038192234245703373, W_Beoordelen fraude=0.0019096117122851686, O_SENT_BACK=0.001273074474856779};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;7629;888;402;141;-1.0;{O_SELECTED=0.17766165904637493, W_Nabellen offertes=0.16329196603527107, W_Completeren aanvraag=0.1417374265186153, A_FINALIZED=0.0868713259307642, O_SENT=0.08164598301763554, A_DECLINED=0.08099281515349445, A_CANCELLED=0.047028086218158065, O_DECLINED=0.04441541476159373, W_Afhandelen leads=0.035924232527759635, O_CANCELLED=0.03069888961463096, A_PREACCEPTED=0.018288700195950358, W_Valideren aanvraag=0.016329196603527107, A_ACTIVATED=0.011757021554539516, O_ACCEPTED=0.011757021554539516, A_REGISTERED=0.009144350097975179, O_SENT_BACK=0.009144350097975179, A_APPROVED=0.007838014369693011, W_Nabellen incomplete dossiers=0.007838014369693011, A_ACCEPTED=0.007184846505551927, W_Beoordelen fraude=0.005878510777269758, O_CREATED=0.0045721750489875895};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;11627;948;442;145;-1.0;{O_SELECTED=0.19280494659921305, W_Completeren aanvraag=0.1883080382237212, W_Nabellen offertes=0.13659359190556492, O_SENT=0.10118043844856661, A_FINALIZED=0.08712759977515458, A_DECLINED=0.060146149522203485, W_Afhandelen leads=0.04047217537942664, A_CANCELLED=0.03147835862844295, O_DECLINED=0.03147835862844295, A_PREACCEPTED=0.025295109612141653, O_CANCELLED=0.023608768971332208, W_Valideren aanvraag=0.014052838673412029, A_REGISTERED=0.013490725126475547, W_Beoordelen fraude=0.010680157391793142, O_SENT_BACK=0.008431703204047217, W_Nabellen incomplete dossiers=0.008431703204047217, A_APPROVED=0.007869589657110737, A_ACTIVATED=0.005621135469364812, O_CREATED=0.005621135469364812, O_ACCEPTED=0.004496908375491849, A_ACCEPTED=0.002810567734682406};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9340;903;407;128;-1.0;{O_SELECTED=0.19176319176319176, W_Nabellen offertes=0.16216216216216217, W_Completeren aanvraag=0.15122265122265122, A_FINALIZED=0.08494208494208494, O_SENT=0.08365508365508366, A_DECLINED=0.07915057915057915, A_CANCELLED=0.0444015444015444, O_DECLINED=0.03667953667953668, O_CANCELLED=0.03153153153153153, W_Afhandelen leads=0.03088803088803089, W_Valideren aanvraag=0.023809523809523808, W_Nabellen incomplete dossiers=0.017374517374517374, A_PREACCEPTED=0.01673101673101673, A_REGISTERED=0.01287001287001287, A_ACTIVATED=0.007722007722007722, O_SENT_BACK=0.006435006435006435, O_ACCEPTED=0.005791505791505791, A_APPROVED=0.003861003861003861, W_Beoordelen fraude=0.003861003861003861, O_CREATED=0.0032175032175032173, A_ACCEPTED=0.0019305019305019305};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;8054;947;445;167;-1.0;{O_SELECTED=0.1951219512195122, W_Nabellen offertes=0.16851441241685144, W_Completeren aanvraag=0.1419068736141907, A_FINALIZED=0.10033259423503325, O_SENT=0.0770509977827051, A_DECLINED=0.06818181818181818, A_CANCELLED=0.04711751662971175, W_Afhandelen leads=0.03492239467849224, O_DECLINED=0.03270509977827051, O_CANCELLED=0.03048780487804878, W_Valideren aanvraag=0.018847006651884702, A_APPROVED=0.014412416851441241, A_REGISTERED=0.013303769401330377, A_PREACCEPTED=0.01164079822616408, O_ACCEPTED=0.009977827050997782, W_Nabellen incomplete dossiers=0.007760532150776054, A_ACTIVATED=0.0066518847006651885, O_CREATED=0.0066518847006651885, O_SENT_BACK=0.005543237250554324, A_ACCEPTED=0.004988913525498891, W_Beoordelen fraude=0.003880266075388027};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9794;898;413;135;-1.0;{O_SELECTED=0.18344370860927153, W_Nabellen offertes=0.1629139072847682, W_Completeren aanvraag=0.12582781456953643, A_FINALIZED=0.10132450331125828, A_DECLINED=0.0781456953642384, O_SENT=0.07682119205298013, A_CANCELLED=0.054304635761589407, W_Afhandelen leads=0.04437086092715232, O_DECLINED=0.04105960264900662, O_CANCELLED=0.026490066225165563, W_Valideren aanvraag=0.019205298013245033, A_PREACCEPTED=0.017880794701986755, A_APPROVED=0.01390728476821192, A_ACTIVATED=0.011258278145695364, A_REGISTERED=0.011258278145695364, O_ACCEPTED=0.007947019867549669, A_ACCEPTED=0.007947019867549669, O_SENT_BACK=0.005298013245033113, W_Beoordelen fraude=0.003973509933774834, W_Nabellen incomplete dossiers=0.003973509933774834, O_CREATED=0.0026490066225165563};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9173;894;424;140;-1.0;{O_SELECTED=0.19272495213784302, W_Completeren aanvraag=0.1467772814294831, W_Nabellen offertes=0.14550095724313974, O_SENT=0.09508615188257817, A_FINALIZED=0.08487555839183153, A_DECLINED=0.06955966815571155, O_DECLINED=0.0389278876834716, A_CANCELLED=0.036375239310784936, W_Afhandelen leads=0.03509891512444161, W_Valideren aanvraag=0.029355456285896617, A_PREACCEPTED=0.022335673261008295, O_CANCELLED=0.02169751116783663, O_ACCEPTED=0.014039566049776643, A_APPROVED=0.012763241863433313, W_Nabellen incomplete dossiers=0.012763241863433313, A_ACTIVATED=0.01148691767708998, A_REGISTERED=0.008934269304403318, O_SENT_BACK=0.008296107211231652, A_ACCEPTED=0.00574345883854499, O_CREATED=0.004467134652201659, W_Beoordelen fraude=0.003190810465858328};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9234;806;376;114;-1.0;{O_SELECTED=0.1901462663587375, W_Nabellen offertes=0.1855273287143957, W_Completeren aanvraag=0.12933025404157045, A_FINALIZED=0.10546574287913779, A_DECLINED=0.09237875288683603, O_SENT=0.08468052347959969, O_DECLINED=0.04311008468052348, A_CANCELLED=0.03541185527328714, W_Afhandelen leads=0.030792917628945343, O_CANCELLED=0.023094688221709007, A_PREACCEPTED=0.014626635873749037, O_ACCEPTED=0.013856812933025405, A_REGISTERED=0.010007698229407237, O_SENT_BACK=0.007698229407236336, A_ACTIVATED=0.006928406466512702, W_Beoordelen fraude=0.006928406466512702, W_Valideren aanvraag=0.006158583525789068, A_APPROVED=0.005388760585065435, W_Nabellen incomplete dossiers=0.004618937644341801, O_CREATED=0.0023094688221709007, A_ACCEPTED=0.001539645881447267};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9150;949;406;131;-1.0;{O_SELECTED=0.1884517766497462, W_Nabellen offertes=0.1700507614213198, W_Completeren aanvraag=0.1446700507614213, A_FINALIZED=0.11230964467005077, A_DECLINED=0.08185279187817258, O_SENT=0.07614213197969544, A_CANCELLED=0.04568527918781726, O_DECLINED=0.03489847715736041, W_Afhandelen leads=0.03426395939086294, O_CANCELLED=0.023477157360406092, A_PREACCEPTED=0.01649746192893401, A_ACTIVATED=0.013959390862944163, W_Beoordelen fraude=0.010786802030456852, W_Valideren aanvraag=0.008883248730964468, O_ACCEPTED=0.008883248730964468, A_ACCEPTED=0.006979695431472081, W_Nabellen incomplete dossiers=0.005710659898477157, A_APPROVED=0.005076142131979695, O_SENT_BACK=0.005076142131979695, O_CREATED=0.0038071065989847717, A_REGISTERED=0.0025380710659898475};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;6818;878;408;143;-1.0;{O_SELECTED=0.18350383631713554, W_Completeren aanvraag=0.14578005115089515, W_Nabellen offertes=0.1432225063938619, A_FINALIZED=0.09654731457800511, O_SENT=0.0792838874680307, A_DECLINED=0.07352941176470588, A_CANCELLED=0.04859335038363171, O_DECLINED=0.04283887468030691, W_Afhandelen leads=0.03516624040920716, O_CANCELLED=0.026214833759590793, A_PREACCEPTED=0.024296675191815855, W_Valideren aanvraag=0.015345268542199489, A_APPROVED=0.013427109974424553, O_ACCEPTED=0.013427109974424553, A_REGISTERED=0.012148337595907928, W_Nabellen incomplete dossiers=0.011508951406649617, A_ACTIVATED=0.00959079283887468, W_Beoordelen fraude=0.0076726342710997444, A_ACCEPTED=0.00639386189258312, O_SENT_BACK=0.005754475703324808, O_CREATED=0.005754475703324808};NONALIGNING_ALL;{}
