delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;5105;6618;70;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=1.0, 23=6.0, 57=2.0, 35=1.0, 36=4.0, 49=1.0, 39=105.0, 28=1.0, 29=2.0, 541=8.0, 850=2.0, 566=1.0, 820=1.0, 831=3.0, 864=1.0, 557=1.0, 546=2.0, 536=2.0, 559=1.0, 824=2.0, 62=1.0, 52=2.0, 53=5.0}}
0.01;0.99;0.01;0.1;4070;3464;65;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={55=1.0, 44=2.0, 25=1.0, 59=3.0, 48=1.0, 49=1.0, 17=2.0, 28=8.0, 550=2.0, 541=5.0, 850=2.0, 4=5.0, 851=61.0, 844=2.0, 9=2.0, 52=1.0, 30=2.0, 54=1.0}}
0.01;0.99;0.01;0.1;5082;3050;57;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=1.0, 11=2.0, 541=64.0, 850=1.0, 564=1.0, 865=65.0, 557=2.0, 536=1.0, 9=1.0, 538=1.0, 40=1.0, 848=3.0, 30=1.0, 42=4.0}}
0.01;0.99;0.01;0.1;1555;997;52;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={550=5.0, 35=2.0, 541=2.0, 3=607.0, 49=1.0, 556=2.0, 28=2.0, 29=1.0, 557=1.0, 558=1.0, 538=26.0, 30=1.0}}
0.01;0.99;0.01;0.1;4187;6079;91;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=3.0, 45=94.0, 46=1.0, 39=1.0, 29=4.0, 560=2.0, 550=1.0, 556=1.0, 557=1.0, 546=2.0, 810=1.0, 536=3.0, 537=1.0, 559=7.0, 823=1.0, 824=6.0, 61=2.0, 50=1.0, 848=4.0, 30=2.0, 31=1.0, 829=1.0}}
0.01;0.99;0.01;0.1;3566;4839;72;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={25=2.0, 29=3.0, 550=2.0, 840=1.0, 851=3.0, 559=6.0, 537=2.0, 856=2.0, 538=6.0, 836=1.0, 61=1.0, 704=1.0, 40=2.0, 849=6.0, 30=1.0, 31=99.0}}
0.01;0.99;0.01;0.1;4322;5620;78;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=1.0, 22=1.0, 57=1.0, 26=6.0, 37=1.0, 49=79.0, 39=5.0, 28=2.0, 561=6.0, 564=2.0, 852=1.0, 557=3.0, 843=2.0, 536=2.0, 548=2.0, 537=2.0, 824=4.0, 538=7.0, 52=1.0, 839=6.0, 32=1.0}}
0.01;0.99;0.01;0.1;4646;5064;81;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=1.0, 58=10.0, 47=1.0, 36=2.0, 26=2.0, 28=4.0, 550=4.0, 552=1.0, 862=1.0, 821=3.0, 843=2.0, 558=2.0, 537=82.0, 538=5.0, 824=6.0, 847=4.0, 40=4.0, 30=2.0, 53=2.0}}
0.01;0.99;0.01;0.1;2913;4877;70;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=1.0, 46=1.0, 25=2.0, 15=1.0, 29=6.0, 561=4.0, 840=100.0, 831=4.0, 821=1.0, 537=4.0, 802=1.0, 868=2.0, 61=2.0, 50=4.0, 51=2.0, 31=3.0}}
0.01;0.99;0.01;0.1;3699;4737;71;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=2.0, 66=1.0, 23=3.0, 57=2.0, 46=1.0, 39=2.0, 550=2.0, 562=5.0, 540=1.0, 541=3.0, 568=1.0, 537=4.0, 846=90.0, 538=7.0, 802=1.0, 61=1.0, 31=1.0}}
0.01;0.99;0.01;0.1;3181;5014;73;20;14;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=3.0, 36=2.0, 39=2.0, 561=2.0, 540=1.0, 562=1.0, 541=6.0, 850=3.0, 851=1.0, 566=1.0, 555=1.0, 820=1.0, 567=2.0, 568=3.0, 538=2.0, 802=1.0, 40=2.0, 52=1.0, 30=2.0, 53=98.0}}
0.01;0.99;0.01;0.1;4362;4280;73;27;5;-1.0;{};NONALIGNING_KNOWN;{Create Fine={45=3.0, 35=1.0, 25=1.0, 59=3.0, 49=1.0, 17=2.0, 28=66.0, 550=2.0, 541=3.0, 552=1.0, 850=7.0, 851=1.0, 810=3.0, 843=2.0, 844=3.0, 9=1.0, 537=1.0, 52=2.0, 30=2.0, 54=1.0}}
0.01;0.99;0.01;0.1;3178;2224;55;21;2;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=1.0, 541=55.0, 865=5.0, 843=1.0, 536=1.0, 823=2.0, 40=3.0, 42=8.0}}
