delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;5039;3912;55;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=15.0, 45=4.0, 47=2.0, 48=2.0, 49=2.0, 29=7.0, 850=6.0, 852=7.0, 557=131.0, 810=4.0, 536=1.0, 559=3.0, 537=17.0, 538=4.0, 50=99.0, 30=2.0, 52=4.0, 53=7.0, 11=6.0, 36=8.0, 561=107.0, 562=8.0, 563=1.0, 541=16.0, 862=5.0, 566=4.0, 820=3.0, 823=2.0, 9=16.0, 825=8.0, 40=6.0}}
0.01;0.99;0.01;0.1;6538;3817;67;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={25=12.0, 49=4.0, 29=97.0, 552=2.0, 850=2.0, 851=83.0, 830=15.0, 555=4.0, 832=2.0, 810=6.0, 558=2.0, 536=7.0, 855=4.0, 834=10.0, 537=19.0, 538=8.0, 50=2.0, 836=1.0, 816=14.0, 52=108.0, 54=2.0, 11=10.0, 35=4.0, 36=20.0, 59=4.0, 17=4.0, 39=6.0, 561=2.0, 541=14.0, 4=4.0, 546=1.0, 9=8.0, 548=2.0, 823=16.0, 848=2.0, 41=1.0, 63=12.0, 849=3.0, 43=4.0}}
0.01;0.99;0.01;0.1;5850;3263;57;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=3.0, 46=12.0, 26=6.0, 49=13.0, 28=6.0, 29=4.0, 550=4.0, 555=3.0, 557=3.0, 536=2.0, 537=4.0, 538=86.0, 837=12.0, 52=1.0, 10=4.0, 11=8.0, 35=3.0, 36=2.0, 540=1.0, 541=128.0, 563=3.0, 564=4.0, 842=1.0, 548=98.0, 823=4.0, 825=18.0, 40=16.0, 41=6.0, 849=4.0, 42=2.0, 43=5.0}}
0.01;0.99;0.01;0.1;6417;3404;73;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={44=3.0, 45=4.0, 49=4.0, 29=11.0, 550=10.0, 552=4.0, 830=96.0, 556=16.0, 557=12.0, 536=1.0, 558=4.0, 855=8.0, 537=31.0, 538=132.0, 857=1.0, 836=3.0, 837=4.0, 30=10.0, 10=2.0, 11=9.0, 34=4.0, 56=3.0, 35=2.0, 57=3.0, 36=6.0, 541=89.0, 3=1.0, 840=17.0, 842=2.0, 821=3.0, 704=3.0, 40=13.0, 42=6.0, 21=16.0}}
0.01;0.99;0.01;0.1;6248;4032;70;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={46=3.0, 47=107.0, 25=2.0, 48=4.0, 28=2.0, 550=3.0, 552=2.0, 851=1.0, 556=20.0, 557=84.0, 536=1.0, 558=1.0, 855=16.0, 537=9.0, 538=17.0, 837=1.0, 52=1.0, 839=2.0, 31=4.0, 817=2.0, 53=1.0, 819=12.0, 11=142.0, 55=3.0, 58=4.0, 561=2.0, 843=3.0, 845=18.0, 824=12.0, 61=4.0, 40=34.0, 63=5.0, 41=6.0, 42=2.0, 829=16.0}}
0.01;0.99;0.01;0.1;6135;3519;67;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={46=3.0, 25=2.0, 26=6.0, 28=9.0, 29=16.0, 550=24.0, 852=4.0, 832=88.0, 557=1.0, 558=36.0, 833=3.0, 559=2.0, 834=1.0, 538=22.0, 835=4.0, 50=2.0, 836=2.0, 30=4.0, 31=136.0, 53=12.0, 11=4.0, 37=2.0, 561=78.0, 840=10.0, 546=6.0, 548=1.0, 868=4.0, 40=13.0, 849=12.0, 827=4.0, 41=3.0}}
0.01;0.99;0.01;0.1;6354;3009;62;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={47=18.0, 27=7.0, 49=6.0, 28=3.0, 29=4.0, 550=23.0, 831=1.0, 557=7.0, 810=3.0, 558=81.0, 811=2.0, 537=9.0, 538=10.0, 30=2.0, 52=2.0, 11=3.0, 57=98.0, 39=2.0, 561=4.0, 563=74.0, 541=7.0, 820=3.0, 865=6.0, 847=2.0, 42=5.0}}
0.01;0.99;0.01;0.1;6293;4265;74;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={44=2.0, 45=3.0, 46=6.0, 25=5.0, 49=2.0, 28=4.0, 29=1.0, 550=11.0, 556=29.0, 557=126.0, 810=4.0, 536=125.0, 558=16.0, 537=17.0, 834=14.0, 538=12.0, 857=2.0, 50=4.0, 837=6.0, 51=5.0, 31=4.0, 839=12.0, 11=2.0, 58=6.0, 561=4.0, 541=11.0, 823=133.0, 548=2.0, 824=2.0, 40=11.0, 41=10.0, 65=4.0}}
0.01;0.99;0.01;0.1;6445;3531;68;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={23=6.0, 46=8.0, 25=4.0, 48=4.0, 49=13.0, 29=4.0, 850=6.0, 555=77.0, 852=6.0, 536=114.0, 558=22.0, 538=4.0, 30=4.0, 31=4.0, 839=4.0, 10=30.0, 54=5.0, 11=28.0, 34=2.0, 56=6.0, 58=1.0, 36=4.0, 37=4.0, 59=4.0, 560=6.0, 561=2.0, 541=6.0, 840=180.0, 843=3.0, 821=8.0, 9=1.0, 548=3.0, 829=12.0}}
0.01;0.99;0.01;0.1;4369;1417;49;0;0;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=4.0, 23=3.0, 45=4.0, 57=2.0, 49=3.0, 39=8.0, 560=12.0, 550=7.0, 540=28.0, 568=3.0, 536=1.0, 537=10.0, 559=4.0, 846=8.0, 538=12.0, 858=46.0, 61=658.0, 50=2.0, 825=3.0, 63=32.0, 53=2.0, 828=1.0, 43=4.0}}
0.01;0.99;0.01;0.1;6143;4415;74;19;12;-1.0;{};NONALIGNING_KNOWN;{Create Fine={44=2.0, 46=6.0, 49=3.0, 29=7.0, 550=2.0, 552=126.0, 850=13.0, 852=9.0, 555=4.0, 557=6.0, 832=2.0, 536=9.0, 559=35.0, 538=8.0, 50=3.0, 836=6.0, 30=14.0, 52=4.0, 53=4.0, 31=6.0, 10=3.0, 11=7.0, 57=134.0, 36=28.0, 37=3.0, 561=4.0, 563=1.0, 541=24.0, 566=4.0, 9=30.0, 824=1.0, 825=1.0, 848=12.0}}
0.01;0.99;0.01;0.1;3676;2896;67;18;10;-1.0;{};NONALIGNING_KNOWN;{Create Fine={22=9.0, 25=8.0, 49=7.0, 29=314.0, 550=4.0, 552=3.0, 850=2.0, 851=5.0, 830=10.0, 852=8.0, 831=4.0, 536=1.0, 558=12.0, 834=2.0, 52=68.0, 30=8.0, 32=84.0, 54=2.0, 11=3.0, 57=4.0, 36=18.0, 58=2.0, 59=2.0, 17=4.0, 541=15.0, 563=1.0, 546=4.0, 9=8.0}}
