delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;136;128;130;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;134;128;126;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;141;128;133;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;130;128;129;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;125;128;127;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;127;128;128;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;128;128;132;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;133;128;135;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;127;128;130;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;135;128;126;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;149;128;130;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;125;128;126;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;131;128;131;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;132;128;128;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;134;128;127;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;130;128;128;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;133;128;132;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;131;128;134;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;125;128;130;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;124;128;125;0;1.0;{};NONALIGNING_KNOWN;{}
