delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;548;128;132;0;0.977586722935623;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;617;128;130;0;0.9774993965908095;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;587;128;133;0;0.9776942890985441;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;520;128;129;0;0.977485954410645;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;577;128;132;0;0.9775868642892894;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;544;128;132;0;0.9777152448314429;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;604;128;133;0;0.9775770546286304;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;582;128;135;0;0.9775354735444951;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;556;128;131;0;0.9776537941064344;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;559;128;126;0;0.9775743439576272;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;593;128;132;0;0.9775955429082304;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;519;128;130;0;0.9774993965908095;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;546;128;132;0;0.9776942890985441;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;544;128;129;0;0.977485954410645;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;530;128;130;0;0.9775868642892893;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;590;128;132;0;0.9777152448314429;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;532;128;133;0;0.9775666787350139;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;595;128;134;0;0.9775454720901612;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;557;128;130;0;0.9776650038634067;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;537;128;127;0;0.9775777368648377;{};NONALIGNING_KNOWN;{}
