delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;7146;922;415;0;-1.0;{O_SELECTED=0.2773109243697479, A_FINALIZED=0.13970588235294118, W_Nabellen offertes=0.13970588235294118, O_SENT=0.13760504201680673, A_DECLINED=0.10399159663865547, W_Completeren aanvraag=0.07878151260504201, O_DECLINED=0.05357142857142857, A_PREACCEPTED=0.026260504201680673, A_CANCELLED=0.018907563025210083, O_CANCELLED=0.015756302521008403, O_SENT_BACK=0.005252100840336135, W_Beoordelen fraude=0.0031512605042016808};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10692;997;457;0;-1.0;{O_SELECTED=0.25818521983161835, O_SENT=0.13470533208606175, A_FINALIZED=0.1234798877455566, W_Nabellen offertes=0.1234798877455566, A_DECLINED=0.10664172123479888, W_Completeren aanvraag=0.09260991580916744, O_DECLINED=0.0617399438727783, A_PREACCEPTED=0.03086997193638915, A_CANCELLED=0.027128157156220765, O_CANCELLED=0.018709073900841908, O_SENT_BACK=0.01216089803554724, W_Beoordelen fraude=0.005612722170252572, O_CREATED=0.002806361085126286, O_ACCEPTED=0.0018709073900841909};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16655;1206;551;0;-1.0;{O_SELECTED=0.26754098360655737, O_SENT=0.1422950819672131, A_FINALIZED=0.12524590163934426, W_Nabellen offertes=0.12524590163934426, W_Completeren aanvraag=0.10295081967213114, A_DECLINED=0.08327868852459017, O_DECLINED=0.043934426229508196, A_PREACCEPTED=0.03344262295081967, A_CANCELLED=0.024918032786885248, W_Beoordelen fraude=0.01901639344262295, O_CANCELLED=0.011147540983606558, O_SENT_BACK=0.009180327868852459, W_Afhandelen leads=0.009180327868852459, W_Wijzigen contractgegevens=0.0013114754098360656, O_CREATED=0.0013114754098360656};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9639;903;412;0;-1.0;{O_SELECTED=0.27089627391742194, O_SENT=0.13997985901309165, A_FINALIZED=0.1309164149043303, W_Nabellen offertes=0.1309164149043303, A_DECLINED=0.1107754279959718, W_Completeren aanvraag=0.06948640483383686, O_DECLINED=0.05840886203423968, A_CANCELLED=0.027190332326283987, A_PREACCEPTED=0.023162134944612285, O_CANCELLED=0.02014098690835851, O_SENT_BACK=0.010070493454179255, W_Afhandelen leads=0.0030211480362537764, W_Beoordelen fraude=0.0030211480362537764, O_ACCEPTED=0.0010070493454179255, O_CREATED=0.0010070493454179255};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9042;999;473;0;-1.0;{O_SELECTED=0.2681614349775785, A_FINALIZED=0.15515695067264573, W_Nabellen offertes=0.15515695067264573, A_DECLINED=0.1147982062780269, O_SENT=0.11300448430493273, W_Completeren aanvraag=0.06188340807174888, O_DECLINED=0.05560538116591928, A_CANCELLED=0.02780269058295964, A_PREACCEPTED=0.02062780269058296, O_CANCELLED=0.013452914798206279, O_SENT_BACK=0.008071748878923767, W_Beoordelen fraude=0.004484304932735426, O_CREATED=0.0017937219730941704};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11531;1083;493;0;-1.0;{O_SELECTED=0.25902668759811615, A_FINALIZED=0.12951334379905807, W_Nabellen offertes=0.12951334379905807, O_SENT=0.12951334379905807, A_DECLINED=0.09733124018838304, W_Completeren aanvraag=0.09183673469387756, O_DECLINED=0.05259026687598116, A_PREACCEPTED=0.030612244897959183, A_CANCELLED=0.029042386185243328, O_CANCELLED=0.01726844583987441, O_SENT_BACK=0.013343799058084773, W_Afhandelen leads=0.009419152276295133, W_Beoordelen fraude=0.004709576138147566, O_CREATED=0.003924646781789639, W_Wijzigen contractgegevens=0.0015698587127158557, O_ACCEPTED=7.849293563579278E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10184;894;419;0;-1.0;{O_SELECTED=0.2647352647352647, O_SENT=0.13886113886113885, A_FINALIZED=0.1258741258741259, W_Nabellen offertes=0.1258741258741259, W_Completeren aanvraag=0.0989010989010989, A_DECLINED=0.0969030969030969, O_DECLINED=0.05094905094905095, A_PREACCEPTED=0.03296703296703297, A_CANCELLED=0.025974025974025976, O_CANCELLED=0.015984015984015984, O_SENT_BACK=0.012987012987012988, W_Beoordelen fraude=0.004995004995004995, O_CREATED=0.002997002997002997, W_Wijzigen contractgegevens=0.001998001998001998};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11874;923;429;0;-1.0;{O_SELECTED=0.2533609100310238, A_FINALIZED=0.12719751809720786, W_Nabellen offertes=0.12719751809720786, O_SENT=0.12616339193381593, A_DECLINED=0.12099276111685625, W_Completeren aanvraag=0.08066184074457083, O_DECLINED=0.06204756980351603, A_CANCELLED=0.02998965873836608, A_PREACCEPTED=0.02688728024819028, O_CANCELLED=0.015511892450879007, O_SENT_BACK=0.012409513960703205, W_Beoordelen fraude=0.009307135470527405, W_Afhandelen leads=0.0062047569803516025, O_ACCEPTED=0.001034126163391934, O_CREATED=0.001034126163391934};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11616;947;429;0;-1.0;{O_SELECTED=0.2608294930875576, A_FINALIZED=0.14101382488479264, W_Nabellen offertes=0.14101382488479264, O_SENT=0.11981566820276497, A_DECLINED=0.10414746543778802, W_Completeren aanvraag=0.08018433179723503, O_DECLINED=0.053456221198156684, A_CANCELLED=0.029493087557603687, A_PREACCEPTED=0.026728110599078342, O_CANCELLED=0.018433179723502304, W_Beoordelen fraude=0.010138248847926268, O_SENT_BACK=0.009216589861751152, O_CREATED=0.005529953917050691};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8804;893;419;0;-1.0;{O_SELECTED=0.24737344794651384, O_SENT=0.12702960840496658, A_FINALIZED=0.12034383954154727, W_Nabellen offertes=0.12034383954154727, W_Completeren aanvraag=0.1174785100286533, A_DECLINED=0.10219675262655205, O_DECLINED=0.061127029608404965, A_PREACCEPTED=0.039159503342884434, A_CANCELLED=0.021012416427889206, O_CANCELLED=0.021012416427889206, W_Beoordelen fraude=0.011461318051575931, O_SENT_BACK=0.009551098376313277, O_CREATED=0.0019102196752626551};NONALIGNING_KNOWN;{}
