delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;5113;663;312;87;30;-1.0;{A_CANCELLED=0.03700440528634361, A_DECLINED=0.09691629955947137, A_APPROVED=0.0052863436123348016, A_FINALIZED=0.10308370044052863, A_ACTIVATED=0.0052863436123348016, O_DECLINED=0.04052863436123348, A_REGISTERED=0.015859030837004406, W_Nabellen offertes=0.1515418502202643, W_Wijzigen contractgegevens=0.0026431718061674008, O_SELECTED=0.19383259911894274, O_SENT_BACK=0.0026431718061674008, W_Valideren aanvraag=0.007048458149779736, O_ACCEPTED=0.00881057268722467, O_CANCELLED=0.02026431718061674, W_Afhandelen leads=0.02026431718061674, W_Completeren aanvraag=0.14185022026431718, O_SENT=0.08546255506607929, A_PREACCEPTED=0.019383259911894272, W_Beoordelen fraude=0.021145374449339206, A_ACCEPTED=0.01145374449339207, W_Nabellen incomplete dossiers=0.004405286343612335, O_CREATED=0.0052863436123348016};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;6386;666;315;84;27;-1.0;{A_CANCELLED=0.04524033930254477, A_DECLINED=0.09048067860508954, A_APPROVED=0.00942507068803016, A_FINALIZED=0.10084825636192271, A_ACTIVATED=0.003770028275212064, O_DECLINED=0.043355325164938736, A_REGISTERED=0.00942507068803016, W_Nabellen offertes=0.14514608859566447, W_Wijzigen contractgegevens=0.002827521206409048, O_SELECTED=0.18944392082940623, O_SENT_BACK=0.00471253534401508, W_Valideren aanvraag=0.00942507068803016, O_ACCEPTED=0.00942507068803016, O_CANCELLED=0.0235626767200754, W_Afhandelen leads=0.043355325164938736, W_Completeren aanvraag=0.1413760603204524, O_SENT=0.07351555136663525, A_PREACCEPTED=0.021677662582469368, A_ACCEPTED=0.010367577756833177, W_Beoordelen fraude=0.016965127238454288, W_Nabellen incomplete dossiers=0.003770028275212064, O_CREATED=0.001885014137606032};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;6947;666;312;81;25;-1.0;{A_CANCELLED=0.047036688617121354, A_DECLINED=0.08184383819379115, A_APPROVED=0.0037629350893697085, A_FINALIZED=0.09219190968955786, A_ACTIVATED=0.005644402634054563, O_DECLINED=0.03292568203198495, A_REGISTERED=0.005644402634054563, W_Nabellen offertes=0.15428033866415805, O_SELECTED=0.20037629350893696, O_SENT_BACK=0.00658513640639699, W_Valideren aanvraag=0.008466603951081843, O_ACCEPTED=0.00940733772342427, O_CANCELLED=0.023518344308560677, W_Afhandelen leads=0.02539981185324553, W_Completeren aanvraag=0.1561618062088429, O_SENT=0.10253998118532455, A_PREACCEPTED=0.01975540921919097, A_ACCEPTED=0.004703668861712135, W_Beoordelen fraude=0.0028222013170272815, W_Nabellen incomplete dossiers=0.008466603951081843, O_CREATED=0.008466603951081843};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;5682;666;324;92;21;-1.0;{A_CANCELLED=0.035283194057567316, A_DECLINED=0.09563602599814298, A_APPROVED=0.011142061281337047, A_FINALIZED=0.0947075208913649, A_ACTIVATED=0.0018570102135561746, O_DECLINED=0.0436397400185701, A_REGISTERED=0.011142061281337047, W_Nabellen offertes=0.15041782729805014, W_Wijzigen contractgegevens=0.002785515320334262, O_SELECTED=0.2051996285979573, O_SENT_BACK=0.007428040854224698, W_Valideren aanvraag=0.014856081708449397, O_ACCEPTED=0.005571030640668524, O_CANCELLED=0.025998142989786442, W_Afhandelen leads=0.036211699164345405, W_Completeren aanvraag=0.12813370473537605, O_SENT=0.09192200557103064, A_PREACCEPTED=0.012070566388115135, A_ACCEPTED=0.01021355617455896, W_Beoordelen fraude=0.0018570102135561746, W_Nabellen incomplete dossiers=0.007428040854224698, O_CREATED=0.0064995357474466105};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;5243;663;304;77;30;-1.0;{A_CANCELLED=0.035233160621761656, A_DECLINED=0.0766839378238342, A_APPROVED=0.0062176165803108805, A_FINALIZED=0.10569948186528498, A_ACTIVATED=0.008290155440414507, O_DECLINED=0.029015544041450778, A_REGISTERED=0.008290155440414507, W_Nabellen offertes=0.13989637305699482, W_Wijzigen contractgegevens=0.0010362694300518134, O_SELECTED=0.21761658031088082, O_SENT_BACK=0.00932642487046632, W_Valideren aanvraag=0.010362694300518135, O_ACCEPTED=0.004145077720207254, O_CANCELLED=0.01865284974093264, W_Afhandelen leads=0.00932642487046632, W_Completeren aanvraag=0.16373056994818652, O_SENT=0.10362694300518134, A_PREACCEPTED=0.01865284974093264, W_Beoordelen fraude=0.01865284974093264, A_ACCEPTED=0.0051813471502590676, W_Nabellen incomplete dossiers=0.004145077720207254, O_CREATED=0.0062176165803108805};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;5554;665;320;86;36;-1.0;{A_CANCELLED=0.0260950605778192, A_DECLINED=0.0782851817334576, A_APPROVED=0.0130475302889096, A_FINALIZED=0.10531220876048462, A_ACTIVATED=0.005591798695246971, O_DECLINED=0.04007455731593663, A_REGISTERED=0.009319664492078284, W_Nabellen offertes=0.14818266542404473, W_Wijzigen contractgegevens=9.319664492078285E-4, O_SELECTED=0.2124883504193849, O_SENT_BACK=0.005591798695246971, W_Valideren aanvraag=0.005591798695246971, O_ACCEPTED=0.003727865796831314, O_CANCELLED=0.0260950605778192, W_Afhandelen leads=0.034482758620689655, W_Completeren aanvraag=0.14445479962721341, O_SENT=0.09040074557315937, A_PREACCEPTED=0.017707362534948742, A_ACCEPTED=0.001863932898415657, W_Beoordelen fraude=0.017707362534948742, W_Nabellen incomplete dossiers=0.011183597390493943, O_CREATED=0.001863932898415657};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;5558;663;300;79;35;-1.0;{A_CANCELLED=0.04805725971370143, A_DECLINED=0.08793456032719836, A_APPROVED=0.006134969325153374, A_FINALIZED=0.12065439672801637, O_DECLINED=0.04703476482617587, A_REGISTERED=0.00408997955010225, W_Nabellen offertes=0.1554192229038855, O_SELECTED=0.2034764826175869, O_SENT_BACK=0.0081799591002045, W_Valideren aanvraag=0.014314928425357873, O_ACCEPTED=0.00408997955010225, O_CANCELLED=0.02044989775051125, W_Afhandelen leads=0.02044989775051125, W_Completeren aanvraag=0.1441717791411043, O_SENT=0.09304703476482618, A_PREACCEPTED=0.016359918200409, A_ACCEPTED=0.003067484662576687, O_CREATED=0.003067484662576687};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;5055;665;333;88;34;-1.0;{A_CANCELLED=0.035053554040895815, A_DECLINED=0.09639727361246349, A_APPROVED=0.005842259006815969, A_FINALIZED=0.10223953261927946, A_ACTIVATED=0.01557935735150925, O_DECLINED=0.05063291139240506, A_REGISTERED=0.011684518013631937, W_Nabellen offertes=0.15481986368062317, O_SELECTED=0.2103213242453749, O_SENT_BACK=0.005842259006815969, W_Valideren aanvraag=0.005842259006815969, O_ACCEPTED=0.009737098344693282, O_CANCELLED=0.022395326192794548, W_Afhandelen leads=0.011684518013631937, W_Completeren aanvraag=0.12852969814995133, O_SENT=0.09639727361246349, A_PREACCEPTED=0.013631937682570594, A_ACCEPTED=0.004868549172346641, W_Beoordelen fraude=0.010710808179162609, W_Nabellen incomplete dossiers=0.0019474196689386564, O_CREATED=0.005842259006815969};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;7391;665;320;103;30;-1.0;{A_CANCELLED=0.05123674911660778, A_DECLINED=0.06007067137809187, A_APPROVED=0.007950530035335688, A_FINALIZED=0.0989399293286219, A_ACTIVATED=0.007950530035335688, O_DECLINED=0.024734982332155476, A_REGISTERED=0.013250883392226149, W_Nabellen offertes=0.1501766784452297, W_Wijzigen contractgegevens=8.833922261484099E-4, O_SELECTED=0.20053003533568906, O_SENT_BACK=0.007950530035335688, W_Valideren aanvraag=0.012367491166077738, O_ACCEPTED=0.009717314487632508, O_CANCELLED=0.019434628975265017, W_Afhandelen leads=0.03356890459363958, W_Completeren aanvraag=0.17491166077738515, O_SENT=0.08568904593639576, A_PREACCEPTED=0.023851590106007067, W_Beoordelen fraude=0.00265017667844523, A_ACCEPTED=0.00530035335689046, W_Nabellen incomplete dossiers=0.00530035335689046, O_CREATED=0.0035335689045936395};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;6382;666;310;77;29;-1.0;{A_CANCELLED=0.02904162633107454, A_DECLINED=0.07938044530493708, A_APPROVED=0.001936108422071636, A_FINALIZED=0.1132623426911907, A_ACTIVATED=0.003872216844143272, O_DECLINED=0.03388189738625363, A_REGISTERED=0.007744433688286544, W_Nabellen offertes=0.15004840271055178, W_Wijzigen contractgegevens=0.001936108422071636, O_SELECTED=0.2207163601161665, O_SENT_BACK=0.006776379477250726, W_Valideren aanvraag=0.017424975798644726, O_ACCEPTED=0.007744433688286544, O_CANCELLED=0.011616650532429816, W_Afhandelen leads=0.02420135527589545, W_Completeren aanvraag=0.13068731848983542, O_SENT=0.1132623426911907, A_PREACCEPTED=0.017424975798644726, A_ACCEPTED=0.003872216844143272, W_Beoordelen fraude=0.015488867376573089, W_Nabellen incomplete dossiers=0.007744433688286544, O_CREATED=0.001936108422071636};NONALIGNING_ALL;{}
