delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;6360;670;315;0;0;0.9452809390185565;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8480;686;327;0;0;0.9473274802283198;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7566;688;322;0;0;0.9530436434241907;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7270;689;335;0;0;0.9530946375310209;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6007;696;316;0;0;0.9525410952706984;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6370;691;331;0;0;0.9484062030549828;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6324;674;306;0;0;0.9517827909388739;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5684;665;331;0;0;0.9541523017990257;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9212;683;325;0;0;0.9495497615943793;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7023;689;318;0;0;0.9488392439070399;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3360;393;204;0;0;0.9491005462500858;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3861;409;204;0;0;0.9479485530973961;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3799;414;204;0;0;0.9504316985630709;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4843;407;212;0;0;0.9591128143413485;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3086;422;192;0;0;0.9570265846282023;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4227;412;213;0;0;0.9482222865808178;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3081;398;193;0;0;0.9502016250007567;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3210;390;210;0;0;0.9587031331749253;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4257;408;217;0;0;0.9476866275537938;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4174;411;210;0;0;0.9470023064854989;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2161;288;155;0;0;0.9476900169359103;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2481;296;154;0;0;0.9449270862727932;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2827;301;149;0;0;0.9528526916889694;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2954;300;156;0;0;0.9591019281634333;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2084;304;140;0;0;0.9594592879051081;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2176;301;162;0;0;0.9489923252022557;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2018;288;149;0;0;0.9490829390433216;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2217;278;154;0;0;0.9644538668571111;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2610;296;161;0;0;0.9444669046929498;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2715;291;157;0;0;0.9484029094671976;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;981;142;90;0;0;0.9514593282810447;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1192;153;81;0;0;0.938949425014023;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1257;156;83;0;0;0.9440760092650258;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1340;153;91;0;0;0.9632664392148623;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1112;165;79;0;0;0.960235701589891;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1005;163;99;0;0;0.9471733589231205;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;995;147;81;0;0;0.9521864123119431;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;918;134;81;0;0;0.9645065668713851;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1215;154;94;0;0;0.9384694663759807;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1441;157;94;0;0;0.9496253576545137;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;652;91;61;0;0;0.9614515215253947;{};NONALIGNING_KNOWN;{}
