delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;4185;679;319;119;0.9272671748640376;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5675;668;324;115;0.9249813234224563;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9317;680;343;113;0.9221240758768275;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5238;674;305;94;0.9285131045556132;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6609;671;335;130;0.9193627848765565;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6264;692;335;122;0.9208857632462208;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7612;691;337;120;0.9237042613349745;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8240;668;316;99;0.932028409089845;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5617;676;311;103;0.9256681030709975;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5610;690;344;115;0.9264733443743269;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3222;403;203;54;0.932973853160927;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4239;392;213;58;0.9353517711377001;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4824;404;223;61;0.9289748797112856;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3375;398;199;55;0.9293100881809759;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3670;394;207;65;0.923329761422883;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3733;396;208;66;0.9239570316400053;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3825;415;201;55;0.9334480448140084;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4875;403;205;50;0.9348602820606419;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3188;400;208;56;0.9235743943964815;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4115;411;212;56;0.929380728303833;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2334;294;158;39;0.9339658306053156;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2548;300;168;42;0.9358392985194081;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3282;290;169;41;0.9299018455865408;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2945;285;153;30;0.9374638282926767;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2705;282;149;37;0.9354004134573988;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2976;299;160;50;0.9231154248466661;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2778;302;156;37;0.9397537338500539;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3183;269;148;26;0.9392260969813971;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2029;282;148;34;0.9286143588184816;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2584;294;163;40;0.9315251955079343;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1111;148;88;16;0.9434843785173602;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1287;142;86;17;0.9487467190761978;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1389;149;95;17;0.9268147586709998;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1298;144;86;15;0.9408188045204127;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1162;141;85;16;0.9330833024866508;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1081;158;91;22;0.92414387815174;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1276;161;87;11;0.9374846575016654;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1201;149;85;11;0.9466488260439588;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1061;146;86;14;0.9351627336188255;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1223;153;95;13;0.9423326711115302;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;611;98;66;11;0.9381555488560472;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;537;102;66;9;0.9440171049913725;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;756;84;64;6;0.9474570533736952;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;547;90;60;9;0.9361851778974453;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;638;88;61;9;0.9263110606446028;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;650;101;64;11;0.9478820765500997;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;824;107;69;6;0.9385938389916277;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;757;84;56;5;0.9525779087539762;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;738;95;62;6;0.9382599521417554;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;1204;103;72;8;0.9453069988230259;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;594;77;51;9;0.9319730652120797;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;541;85;60;7;0.9406569823463767;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;445;73;54;6;0.9421849853963324;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;411;69;52;6;0.9445053130321345;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;412;67;46;2;0.9426102742818043;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;461;67;50;6;0.9467032570944507;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;539;86;55;5;0.9328201507258015;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;364;53;40;1;0.9578540043489454;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;555;74;50;3;0.9541628575954275;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;649;85;55;4;0.941455743695528;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;442;88;62;13;0.9387280079152179;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;607;92;63;8;0.9441985752903154;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;484;80;55;5;0.9455313152171018;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;399;77;54;5;0.9449463359498225;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;531;74;47;3;0.9464691996844815;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;584;87;59;9;0.9505312040851334;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;734;94;59;5;0.9430407438699213;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;635;69;50;5;0.9527965215660068;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;519;72;48;3;0.9540950220815309;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;863;90;64;6;0.9434463830398049;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;365;67;46;4;0.954113553009749;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;304;66;45;4;0.9263968032054859;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;306;55;44;5;0.935674030968511;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;320;52;44;4;0.9553397418491001;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;391;49;40;3;0.942900524224299;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;466;70;47;4;0.955676203426245;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;361;69;48;3;0.9210295530740341;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;437;59;40;1;0.95942499884065;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;239;54;33;1;0.9646977049507671;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;462;61;39;2;0.9600149381572791;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;147;47;33;2;0.9259645676745998;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;314;57;46;6;0.9146134809418567;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;277;48;39;2;0.9386918580912657;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;196;42;34;4;0.9596452067497968;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;269;38;33;2;0.9382909850604021;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;306;41;35;2;0.9563835674890219;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;201;41;33;1;0.9320327298491233;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;357;49;36;2;0.9393661209589307;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;194;40;30;2;0.9685085292632729;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;393;60;43;6;0.9220517058616716;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;3402;658;311;114;0.9281132092704996;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;6003;658;321;115;0.9249259257777757;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;8034;662;334;106;0.9226656093529431;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;6345;658;300;93;0.9291010741128276;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.05;0.1;5799;658;327;126;0.9189792680171807;{};NONALIGNING_KNOWN;{}
