delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.01;6641;664;312;0;0;-1.0;{A_CANCELLED=0.02278481012658228, A_DECLINED=0.11265822784810127, A_FINALIZED=0.13291139240506328, O_DECLINED=0.056962025316455694, W_Nabellen offertes=0.13291139240506328, W_Wijzigen contractgegevens=0.0037974683544303796, O_SELECTED=0.24936708860759493, O_SENT_BACK=0.0037974683544303796, O_CANCELLED=0.017721518987341773, W_Afhandelen leads=0.007594936708860759, W_Completeren aanvraag=0.08354430379746836, O_SENT=0.11645569620253164, A_PREACCEPTED=0.027848101265822784, W_Beoordelen fraude=0.030379746835443037, O_CREATED=0.0012658227848101266};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;6527;664;314;0;0;-1.0;{A_CANCELLED=0.020080321285140562, A_DECLINED=0.11646586345381527, A_FINALIZED=0.13386880856760375, O_DECLINED=0.060240963855421686, W_Nabellen offertes=0.13386880856760375, W_Wijzigen contractgegevens=0.004016064257028112, O_SELECTED=0.23560910307898258, O_SENT_BACK=0.006693440428380187, O_CANCELLED=0.0214190093708166, W_Afhandelen leads=0.008032128514056224, W_Completeren aanvraag=0.09236947791164658, O_SENT=0.10174029451137885, A_PREACCEPTED=0.030789825970548863, W_Beoordelen fraude=0.03480589022757698};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;8152;662;312;0;0;-1.0;{A_CANCELLED=0.025069637883008356, A_DECLINED=0.0988857938718663, A_FINALIZED=0.11977715877437325, O_DECLINED=0.04874651810584958, W_Nabellen offertes=0.11977715877437325, O_SELECTED=0.27298050139275765, O_SENT_BACK=0.011142061281337047, O_CANCELLED=0.016713091922005572, W_Afhandelen leads=0.008356545961002786, W_Completeren aanvraag=0.08774373259052924, O_SENT=0.1532033426183844, A_PREACCEPTED=0.02924791086350975, W_Beoordelen fraude=0.004178272980501393, O_CREATED=0.004178272980501393};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;6727;666;326;1;0;-1.0;{A_CANCELLED=0.035961272475795295, A_DECLINED=0.12448132780082988, A_FINALIZED=0.13692946058091288, O_DECLINED=0.0636237897648686, W_Nabellen offertes=0.13692946058091288, W_Wijzigen contractgegevens=0.004149377593360996, O_SELECTED=0.2669432918395574, O_SENT_BACK=0.009681881051175657, O_CANCELLED=0.015214384508990318, W_Completeren aanvraag=0.05394190871369295, O_SENT=0.13001383125864455, A_PREACCEPTED=0.017980636237897647, O_CREATED=0.004149377593360996};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;6089;665;302;0;0;-1.0;{A_CANCELLED=0.028694404591104734, A_DECLINED=0.08895265423242468, A_FINALIZED=0.13486370157819225, O_DECLINED=0.040172166427546625, W_Nabellen offertes=0.13486370157819225, W_Wijzigen contractgegevens=0.0014347202295552368, O_SELECTED=0.27546628407460544, O_SENT_BACK=0.00860832137733142, O_CANCELLED=0.011477761836441894, W_Completeren aanvraag=0.08177905308464849, O_SENT=0.1406025824964132, A_PREACCEPTED=0.027259684361549498, W_Beoordelen fraude=0.02582496413199426};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;6151;661;310;4;0;-1.0;{A_CANCELLED=0.0280970625798212, A_DECLINED=0.1123882503192848, A_FINALIZED=0.1277139208173691, O_DECLINED=0.05747126436781609, W_Nabellen offertes=0.1277139208173691, W_Wijzigen contractgegevens=0.0038314176245210726, O_SELECTED=0.24776500638569604, O_SENT_BACK=0.0038314176245210726, ACCEPTED=0.001277139208173691, O_CANCELLED=0.017879948914431672, W_Afhandelen leads=0.007662835249042145, W_Completeren aanvraag=0.0842911877394636, O_SENT=0.12005108556832694, A_PREACCEPTED=0.0280970625798212, W_Beoordelen fraude=0.03065134099616858, O_CREATED=0.001277139208173691};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;6716;666;315;4;0;-1.0;{A_CANCELLED=0.028225806451612902, A_DECLINED=0.11424731182795698, A_FINALIZED=0.12903225806451613, O_DECLINED=0.05779569892473118, W_Nabellen offertes=0.12903225806451613, W_Wijzigen contractgegevens=0.004032258064516129, O_SELECTED=0.23521505376344087, O_SENT_BACK=0.009408602150537635, O_CANCELLED=0.020161290322580645, W_Afhandelen leads=0.008064516129032258, W_Completeren aanvraag=0.09274193548387097, O_SENT=0.10618279569892473, A_PREACCEPTED=0.030913978494623656, W_Beoordelen fraude=0.03494623655913978};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;8817;664;313;4;0;-1.0;{A_CANCELLED=0.02920723226703755, A_DECLINED=0.10013908205841446, A_FINALIZED=0.11404728789986092, O_DECLINED=0.048678720445062586, W_Nabellen offertes=0.11404728789986092, O_SELECTED=0.26286509040333794, O_SENT_BACK=0.009735744089012517, O_CANCELLED=0.016689847009735744, W_Afhandelen leads=0.008344923504867872, W_Completeren aanvraag=0.08762169680111266, O_SENT=0.14881780250347706, A_PREACCEPTED=0.02920723226703755, W_Beoordelen fraude=0.02642559109874826, O_CREATED=0.004172461752433936};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;6554;664;326;3;1;-1.0;{A_CANCELLED=0.03467406380027739, A_DECLINED=0.12482662968099861, A_FINALIZED=0.13730929264909847, O_DECLINED=0.0638002773925104, W_Nabellen offertes=0.13730929264909847, W_Wijzigen contractgegevens=0.004160887656033287, O_SELECTED=0.26629680998613037, O_SENT_BACK=0.009708737864077669, O_CANCELLED=0.016643550624133148, W_Completeren aanvraag=0.05409153952843273, O_SENT=0.1289875173370319, A_PREACCEPTED=0.018030513176144243, O_CREATED=0.004160887656033287};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;6193;664;304;3;0;-1.0;{A_CANCELLED=0.03183791606367583, A_DECLINED=0.08827785817655572, A_FINALIZED=0.13314037626628075, O_DECLINED=0.04052098408104197, W_Nabellen offertes=0.13314037626628075, W_Wijzigen contractgegevens=0.001447178002894356, O_SELECTED=0.2735166425470333, O_SENT_BACK=0.008683068017366137, ACCEPTED=0.001447178002894356, O_CANCELLED=0.011577424023154847, W_Completeren aanvraag=0.0824891461649783, O_SENT=0.14037626628075253, A_PREACCEPTED=0.027496382054992764, W_Beoordelen fraude=0.02604920405209841};PREFIXSUFFIX;{}
