delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;12020;666;584;19;0;-1.0;{Mail to Customer=0.023582257158899493, Status Change=0.16002245929253228, External Vendor Reassignment=5.614823133071309E-4, External Vendor Assignment=0.024705221785513758, Callback Request=0.0011229646266142617, Update=0.003368893879842785, Quality Indicator=0.02021336327905671, Urgency Change=0.010106681639528355, Open=0.0016844469399213925, Assignment=0.454800673778776, Notify By Change=0.002807411566535654, Description Update=0.02807411566535654, Vendor Reference=0.003368893879842785, Incident reproduction=5.614823133071309E-4, Resolved=0.008422234699606962, Operator Update=0.0050533408197641775, Pending vendor=0.024143739472206625, Vendor Reference Change=5.614823133071309E-4, Analysis/Research=0.007860752386299831, Caused By CI=0.002807411566535654, Problem Workaround=5.614823133071309E-4, Service Change=0.0016844469399213925, Update from customer=0.035934868051656375, Reassignment=0.0050533408197641775, Reopen=0.011791128579449747, Impact Change=0.009545199326221224, Communication with customer=0.037619314991577765, Quality Indicator Fixed=0.04997192588433464, External update=0.010668163952835485, Closed=0.03481190342504211, Affected CI Change=0.0016844469399213925, Communication with vendor=0.005614823133071308, Quality Indicator Set=0.011229646266142616};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;10816;665;611;26;0;-1.0;{Mail to Customer=0.021099744245524295, Status Change=0.17519181585677748, External Vendor Assignment=0.024296675191815855, Update=0.005754475703324808, Quality Indicator=0.020460358056265986, Urgency Change=0.007033248081841432, Open=0.0019181585677749361, Assignment=0.44565217391304346, Description Update=0.02877237851662404, Notify By Change=0.0019181585677749361, Vendor Reference=0.0076726342710997444, Contact Change=6.393861892583121E-4, Incident reproduction=6.393861892583121E-4, Resolved=0.010230179028132993, Operator Update=0.0076726342710997444, Pending vendor=0.04028132992327366, Analysis/Research=0.00319693094629156, Caused By CI=6.393861892583121E-4, Problem Workaround=0.0019181585677749361, Service Change=0.0019181585677749361, Update from customer=0.02237851662404092, Reopen=0.014705882352941176, Reassignment=0.004475703324808184, Impact Change=0.007033248081841432, Communication with customer=0.043478260869565216, Quality Indicator Fixed=0.04475703324808184, External update=0.0076726342710997444, Closed=0.027493606138107418, Affected CI Change=0.0019181585677749361, Communication with vendor=0.011508951406649617, Quality Indicator Set=0.007033248081841432, OO Response=6.393861892583121E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;13812;665;598;22;0;-1.0;{Mail to Customer=0.021816037735849055, Status Change=0.16096698113207547, External Vendor Assignment=0.0330188679245283, Update=0.003537735849056604, Quality Indicator=0.020636792452830188, Open=0.00589622641509434, Urgency Change=0.006485849056603774, Assignment=0.4540094339622642, Description Update=0.02240566037735849, Notify By Change=5.896226415094339E-4, Vendor Reference=0.007075471698113208, Contact Change=5.896226415094339E-4, Resolved=0.011202830188679245, Operator Update=0.006485849056603774, Pending vendor=0.02535377358490566, Vendor Reference Change=5.896226415094339E-4, Analysis/Research=0.00884433962264151, Caused By CI=0.0023584905660377358, Problem Workaround=0.0011792452830188679, Update from customer=0.038325471698113206, Reassignment=0.004127358490566038, Reopen=0.014150943396226415, Impact Change=0.006485849056603774, Communication with customer=0.03419811320754717, Quality Indicator Fixed=0.04658018867924528, External update=0.005306603773584905, Closed=0.0347877358490566, Communication with vendor=0.01061320754716981, Referred=0.0011792452830188679, Problem Closure=5.896226415094339E-4, Quality Indicator Set=0.01061320754716981};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;7900;665;586;23;0;-1.0;{Mail to Customer=0.024739583333333332, Status Change=0.14583333333333334, External Vendor Assignment=0.026041666666666668, Update=0.005208333333333333, Quality Indicator=0.022786458333333332, Urgency Change=0.011067708333333334, Assignment=0.4615885416666667, Notify By Change=0.0032552083333333335, Description Update=0.033203125, Vendor Reference=0.0032552083333333335, Contact Change=6.510416666666666E-4, Resolved=0.015625, Operator Update=0.005859375, Pending vendor=0.024739583333333332, Analysis/Research=0.005208333333333333, Caused By CI=0.00390625, Problem Workaround=0.001953125, Service Change=0.001953125, Update from customer=0.026041666666666668, Reopen=0.018880208333333332, Reassignment=0.0026041666666666665, Impact Change=0.010416666666666666, Communication with customer=0.030598958333333332, Quality Indicator Fixed=0.055338541666666664, External update=0.005859375, Closed=0.036458333333333336, Affected CI Change=0.0013020833333333333, Communication with vendor=0.004557291666666667, Quality Indicator Set=0.010416666666666666, OO Response=6.510416666666666E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;16507;665;590;21;0;-1.0;{Mail to Customer=0.02655440414507772, Status Change=0.1405440414507772, External Vendor Assignment=0.023316062176165803, Callback Request=0.0019430051813471502, Update=0.0038860103626943004, Quality Indicator=0.017487046632124352, Urgency Change=0.013601036269430052, Open=0.0019430051813471502, Assignment=0.44365284974093266, Description Update=0.02849740932642487, Notify By Change=6.476683937823834E-4, Vendor Reference=0.0045336787564766836, Resolved=0.013601036269430052, Operator Update=0.0051813471502590676, Pending vendor=0.027202072538860103, Analysis/Research=0.0019430051813471502, Caused By CI=0.0051813471502590676, Problem Workaround=0.0025906735751295338, Update from customer=0.027202072538860103, Reassignment=0.0045336787564766836, Reopen=0.023316062176165803, Impact Change=0.010362694300518135, Communication with customer=0.044689119170984455, Quality Indicator Fixed=0.05958549222797927, External update=0.006476683937823834, Closed=0.04598445595854922, Affected CI Change=0.0012953367875647669, Communication with vendor=0.0038860103626943004, OO Response=6.476683937823834E-4, Quality Indicator Set=0.009715025906735751};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;11033;666;599;16;0;-1.0;{Mail to Customer=0.022713321055862493, Status Change=0.16451810926949048, External Vendor Reassignment=6.138735420503376E-4, External Vendor Assignment=0.027624309392265192, Callback Request=0.0012277470841006752, Update=0.001841620626151013, Quality Indicator=0.020257826887661142, Urgency Change=0.004910988336402701, Open=0.0012277470841006752, Assignment=0.4487415592387968, Description Update=0.025168815224063844, Notify By Change=0.0012277470841006752, Vendor Reference=0.003069367710251688, Resolved=0.015346838551258441, Operator Update=0.001841620626151013, Pending vendor=0.02332719459791283, Analysis/Research=0.003069367710251688, Caused By CI=0.004910988336402701, Problem Workaround=6.138735420503376E-4, Service Change=6.138735420503376E-4, Update from customer=0.03683241252302026, Reassignment=0.0024554941682013503, Reopen=0.01596071209330878, Impact Change=0.003683241252302026, Quality Indicator Fixed=0.0570902394106814, Communication with customer=0.04665438919582566, External update=0.006752608962553714, Closed=0.03314917127071823, Affected CI Change=0.0012277470841006752, Communication with vendor=0.011663597298956415, Quality Indicator Set=0.011663597298956415};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;13564;665;615;19;0;-1.0;{Mail to Customer=0.02637749120750293, Status Change=0.15826494724501758, External Vendor Assignment=0.027549824150058615, Update=0.006447831184056272, Quality Indicator=0.017584994138335287, Urgency Change=0.008206330597889801, Open=0.005861664712778429, Assignment=0.4208675263774912, Description Update=0.03458382180539273, Notify By Change=0.0011723329425556857, Vendor Reference=0.009378663540445486, Resolved=0.013481828839390387, Operator Update=0.005275498241500586, Pending vendor=0.035169988276670575, Analysis/Research=0.005275498241500586, Caused By CI=0.004689331770222743, Problem Workaround=0.0017584994138335288, Service Change=0.0017584994138335288, Update from customer=0.02637749120750293, Reassignment=0.008206330597889801, Reopen=0.014654161781946073, Impact Change=0.007033997655334115, Quality Indicator Fixed=0.047479484173505275, Communication with customer=0.04044548651817116, External update=0.011723329425556858, Closed=0.035169988276670575, Affected CI Change=0.0017584994138335288, Communication with vendor=0.013481828839390387, Quality Indicator Set=0.009378663540445486, OO Response=5.861664712778429E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;11816;665;603;24;0;-1.0;{Mail to Customer=0.025489033787788974, Status Change=0.16538233550681683, External Vendor Reassignment=5.927682276229994E-4, External Vendor Assignment=0.032009484291641965, Update=0.0017783046828689982, Quality Indicator=0.023117960877296978, Urgency Change=0.006520450503852994, Open=0.0023710729104919974, Assignment=0.45168938944872555, Notify By Change=0.0017783046828689982, Description Update=0.02963841138114997, Vendor Reference=0.005927682276229994, Resolved=0.008298755186721992, Operator Update=0.005927682276229994, Pending vendor=0.023117960877296978, Analysis/Research=0.0017783046828689982, Caused By CI=0.005334914048606995, Problem Workaround=5.927682276229994E-4, Update from customer=0.029045643153526972, Reopen=0.012448132780082987, Reassignment=0.004742145820983995, Impact Change=0.004742145820983995, Communication with customer=0.04445761707172496, Quality Indicator Fixed=0.046235921754593956, External update=0.005334914048606995, Closed=0.033787788974510964, Communication with vendor=0.011855364552459988, Referred=5.927682276229994E-4, Quality Indicator Set=0.014819205690574985, OO Response=5.927682276229994E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;12912;665;589;19;0;-1.0;{Mail to Customer=0.02486678507992895, Status Change=0.17465956187092954, External Vendor Assignment=0.03078744819419775, Update=0.002960331557134399, Quality Indicator=0.018354055654233273, Urgency Change=0.007104795737122558, Open=0.002368265245707519, Assignment=0.46121965660153935, Notify By Change=5.920663114268798E-4, Description Update=0.02545885139135583, Vendor Reference=0.0076968620485494375, Contact Change=5.920663114268798E-4, Resolved=0.010657193605683837, Operator Update=0.005920663114268798, Pending vendor=0.021906453522794554, Vendor Reference Change=0.0011841326228537595, Analysis/Research=0.004736530491415038, Caused By CI=0.002960331557134399, Service Change=5.920663114268798E-4, Update from customer=0.020722320899940794, Reopen=0.014209591474245116, Reassignment=0.0041444641799881585, Impact Change=0.008288928359976317, Quality Indicator Fixed=0.046181172291296625, Communication with customer=0.03374777975133215, External update=0.012433392539964476, Closed=0.03315571343990527, Affected CI Change=0.0011841326228537595, Communication with vendor=0.0076968620485494375, Referred=5.920663114268798E-4, Problem Closure=5.920663114268798E-4, Quality Indicator Set=0.012433392539964476};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9867;664;604;25;0;-1.0;{Mail to Customer=0.02510460251046025, Status Change=0.16497310221159595, External Vendor Assignment=0.02630005977286312, Update=0.002988643156007173, Quality Indicator=0.017334130304841603, Urgency Change=0.009563658099222952, Open=0.002988643156007173, Assignment=0.4309623430962343, Description Update=0.032277346084877465, Notify By Change=0.0017931858936043037, Vendor Reference=0.005379557680812911, Incident reproduction=5.977286312014345E-4, Resolved=0.013747758517632994, Operator Update=0.00657501494321578, Pending vendor=0.032277346084877465, Analysis/Research=0.007770472205618649, Caused By CI=0.004781829049611476, Problem Workaround=5.977286312014345E-4, Service Change=0.001195457262402869, Update from customer=0.035265989240884636, Reopen=0.007770472205618649, Reassignment=0.005379557680812911, Impact Change=0.008965929468021518, Quality Indicator Fixed=0.04722056186491333, Communication with customer=0.04064554692169755, External update=0.012552301255230125, Closed=0.02510460251046025, Affected CI Change=0.0017931858936043037, Communication with vendor=0.010759115361625823, Problem Closure=5.977286312014345E-4, Quality Indicator Set=0.014943215780035863, OO Response=0.0017931858936043037};NONALIGNING_ALL;{}
