delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;12429;672;610;21;0.8114977294783607;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13335;688;626;18;0.8106893962993683;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16296;679;617;24;0.8130888394947368;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14217;702;630;21;0.8130930620926168;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16155;680;623;20;0.801447820117583;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14789;677;606;23;0.8054812583034554;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;22538;686;617;15;0.8072065087232455;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;19525;673;621;25;0.8086168836038374;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9563;672;610;14;0.8108009958953927;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16501;676;617;18;0.8042907192334597;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5589;395;378;6;0.8095369438947161;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;10108;402;378;9;0.8097223742478233;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;10576;401;378;12;0.811466925150212;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;13215;424;398;9;0.8113492282529695;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5608;398;373;9;0.8094678011628051;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;7528;400;376;7;0.8071840281318535;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;16393;409;383;12;0.8132208000335641;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;8794;400;384;12;0.8208790576826288;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6144;401;374;3;0.8135590607639651;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;8800;400;383;6;0.8049938961290473;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3229;282;273;4;0.8109160658350041;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3304;289;280;6;0.813000878567501;{};NONALIGNING_KNOWN;{}
