delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;1245;2616;61;0;-1.0;{Add penalty+complete=0.8441558441558441, Send Appeal to Prefecture+complete=0.05194805194805195, Insert Date Appeal to Prefecture+complete=0.03896103896103896, Insert Fine Notification+complete=0.025974025974025976, Notify Result Appeal to Offender+complete=0.025974025974025976, Receive Result Appeal from Prefecture+complete=0.012987012987012988};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;1058;2268;68;0;-1.0;{Add penalty+complete=0.8309859154929577, Send Appeal to Prefecture+complete=0.07042253521126761, Notify Result Appeal to Offender+complete=0.056338028169014086, Insert Fine Notification+complete=0.04225352112676056};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;792;1992;57;0;-1.0;{Add penalty+complete=0.8987341772151899, Insert Fine Notification+complete=0.02531645569620253, Receive Result Appeal from Prefecture+complete=0.02531645569620253, Insert Date Appeal to Prefecture+complete=0.012658227848101266, Send Appeal to Prefecture+complete=0.012658227848101266, Notify Result Appeal to Offender+complete=0.012658227848101266, Appeal to Judge+complete=0.012658227848101266};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;857;1514;62;0;-1.0;{Add penalty+complete=0.8870967741935484, Send Appeal to Prefecture+complete=0.04838709677419355, Insert Fine Notification+complete=0.03225806451612903, Payment+complete=0.016129032258064516, Insert Date Appeal to Prefecture+complete=0.016129032258064516};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;93;813;58;0;-1.0;{Add penalty+complete=0.9666666666666667, Insert Fine Notification+complete=0.03333333333333333};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;733;1449;46;0;-1.0;{Add penalty+complete=0.9166666666666666, Payment+complete=0.020833333333333332, Notify Result Appeal to Offender+complete=0.020833333333333332, Send Appeal to Prefecture+complete=0.020833333333333332, Receive Result Appeal from Prefecture+complete=0.020833333333333332};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;997;2040;61;0;-1.0;{Add penalty+complete=0.8596491228070176, Send Appeal to Prefecture+complete=0.05263157894736842, Insert Date Appeal to Prefecture+complete=0.03508771929824561, Insert Fine Notification+complete=0.03508771929824561, Receive Result Appeal from Prefecture+complete=0.017543859649122806};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;1458;3631;64;0;-1.0;{Add penalty+complete=0.8415841584158416, Insert Fine Notification+complete=0.06930693069306931, Send Appeal to Prefecture+complete=0.04950495049504951, Insert Date Appeal to Prefecture+complete=0.019801980198019802, Notify Result Appeal to Offender+complete=0.009900990099009901, Appeal to Judge+complete=0.009900990099009901};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;1078;2831;70;0;-1.0;{Add penalty+complete=0.8804347826086957, Receive Result Appeal from Prefecture+complete=0.043478260869565216, Insert Fine Notification+complete=0.03260869565217391, Send Appeal to Prefecture+complete=0.021739130434782608, Insert Date Appeal to Prefecture+complete=0.010869565217391304, Notify Result Appeal to Offender+complete=0.010869565217391304};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;1048;1840;53;0;-1.0;{Add penalty+complete=0.819672131147541, Insert Fine Notification+complete=0.04918032786885246, Receive Result Appeal from Prefecture+complete=0.04918032786885246, Payment+complete=0.03278688524590164, Send Appeal to Prefecture+complete=0.03278688524590164, Insert Date Appeal to Prefecture+complete=0.01639344262295082};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;745;1262;45;0;-1.0;{Add penalty+complete=0.8913043478260869, Insert Date Appeal to Prefecture+complete=0.06521739130434782, Send Appeal to Prefecture+complete=0.021739130434782608, Receive Result Appeal from Prefecture+complete=0.021739130434782608};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;69;381;31;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;502;923;47;0;-1.0;{Add penalty+complete=0.8947368421052632, Insert Fine Notification+complete=0.05263157894736842, Insert Date Appeal to Prefecture+complete=0.02631578947368421, Send Appeal to Prefecture+complete=0.02631578947368421};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;799;839;52;0;-1.0;{Add penalty+complete=0.90625, Send Appeal to Prefecture+complete=0.0625, Payment+complete=0.03125};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;538;48;0;-1.0;{Add penalty+complete=0.9333333333333333, Insert Fine Notification+complete=0.06666666666666667};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;613;880;42;0;-1.0;{Add penalty+complete=0.88, Payment+complete=0.04, Notify Result Appeal to Offender+complete=0.04, Receive Result Appeal from Prefecture+complete=0.04};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;23;381;35;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;23;381;41;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;744;1209;52;0;-1.0;{Add penalty+complete=0.95, Payment+complete=0.025, Appeal to Judge+complete=0.025};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;605;1080;42;0;-1.0;{Add penalty+complete=0.8571428571428571, Send Appeal to Prefecture+complete=0.07142857142857142, Insert Date Appeal to Prefecture+complete=0.03571428571428571, Insert Fine Notification+complete=0.03571428571428571};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;719;1017;47;0;-1.0;{Add penalty+complete=0.8604651162790697, Insert Date Appeal to Prefecture+complete=0.046511627906976744, Payment+complete=0.023255813953488372, Insert Fine Notification+complete=0.023255813953488372, Notify Result Appeal to Offender+complete=0.023255813953488372, Receive Result Appeal from Prefecture+complete=0.023255813953488372};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;17;268;29;0;-1.0;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;778;729;41;0;-1.0;{Add penalty+complete=0.8695652173913043, Insert Date Appeal to Prefecture+complete=0.043478260869565216, Insert Fine Notification+complete=0.043478260869565216, Send Appeal to Prefecture+complete=0.043478260869565216};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1424;1355;57;0;-1.0;{Add penalty+complete=0.7586206896551724, Send Appeal to Prefecture+complete=0.06896551724137931, Insert Fine Notification+complete=0.05172413793103448, Payment+complete=0.034482758620689655, Notify Result Appeal to Offender+complete=0.034482758620689655, Insert Date Appeal to Prefecture+complete=0.017241379310344827, Receive Result Appeal from Prefecture+complete=0.017241379310344827, Appeal to Judge+complete=0.017241379310344827};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;79;376;47;0;-1.0;{Add penalty+complete=0.9, Insert Fine Notification+complete=0.1};NONALIGNING_KNOWN;{}
