delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;747;1813;55;8;-1.0;{Add penalty+complete=0.9183673469387755, Insert Date Appeal to Prefecture+complete=0.04081632653061224, Send Appeal to Prefecture+complete=0.02040816326530612, Receive Result Appeal from Prefecture+complete=0.02040816326530612};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;969;1988;61;4;-1.0;{Add penalty+complete=0.9019607843137255, Insert Fine Notification+complete=0.058823529411764705, Notify Result Appeal to Offender+complete=0.0196078431372549, Send Appeal to Prefecture+complete=0.0196078431372549};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;880;1996;53;6;-1.0;{Add penalty+complete=0.8529411764705882, Send Appeal to Prefecture+complete=0.04411764705882353, Insert Date Appeal to Prefecture+complete=0.029411764705882353, Insert Fine Notification+complete=0.029411764705882353, Notify Result Appeal to Offender+complete=0.014705882352941176, Appeal to Judge+complete=0.014705882352941176, Receive Result Appeal from Prefecture+complete=0.014705882352941176};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;1122;1663;62;2;-1.0;{Add penalty+complete=0.8620689655172413, Send Appeal to Prefecture+complete=0.05172413793103448, Insert Fine Notification+complete=0.034482758620689655, Payment+complete=0.017241379310344827, Insert Date Appeal to Prefecture+complete=0.017241379310344827, Receive Result Appeal from Prefecture+complete=0.017241379310344827};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;94;841;56;5;-1.0;{Add penalty+complete=0.967741935483871, Insert Fine Notification+complete=0.03225806451612903};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;601;1450;51;5;-1.0;{Add penalty+complete=0.9310344827586207, Receive Result Appeal from Prefecture+complete=0.034482758620689655, Payment+complete=0.017241379310344827, Notify Result Appeal to Offender+complete=0.017241379310344827};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;1519;3198;77;7;-1.0;{Add penalty+complete=0.782608695652174, Insert Fine Notification+complete=0.06521739130434782, Send Appeal to Prefecture+complete=0.06521739130434782, Insert Date Appeal to Prefecture+complete=0.043478260869565216, Receive Result Appeal from Prefecture+complete=0.021739130434782608, Payment+complete=0.010869565217391304, Appeal to Judge+complete=0.010869565217391304};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;1373;3623;73;10;-1.0;{Add penalty+complete=0.8476190476190476, Insert Fine Notification+complete=0.0761904761904762, Send Appeal to Prefecture+complete=0.0380952380952381, Payment+complete=0.009523809523809525, Insert Date Appeal to Prefecture+complete=0.009523809523809525, Appeal to Judge+complete=0.009523809523809525, Receive Result Appeal from Prefecture+complete=0.009523809523809525};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;953;2180;68;6;-1.0;{Add penalty+complete=0.85, Receive Result Appeal from Prefecture+complete=0.06666666666666667, Insert Date Appeal to Prefecture+complete=0.03333333333333333, Insert Fine Notification+complete=0.016666666666666666, Send Appeal to Prefecture+complete=0.016666666666666666, Notify Result Appeal to Offender+complete=0.016666666666666666};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;663;2169;58;7;-1.0;{Add penalty+complete=0.8428571428571429, Send Appeal to Prefecture+complete=0.04285714285714286, Insert Date Appeal to Prefecture+complete=0.02857142857142857, Receive Result Appeal from Prefecture+complete=0.02857142857142857, Payment+complete=0.014285714285714285, Insert Fine Notification+complete=0.014285714285714285, Notify Result Appeal to Offender+complete=0.014285714285714285, Appeal to Judge+complete=0.014285714285714285};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;754;1300;49;5;-1.0;{Add penalty+complete=0.868421052631579, Insert Date Appeal to Prefecture+complete=0.07894736842105263, Insert Fine Notification+complete=0.02631578947368421, Send Appeal to Prefecture+complete=0.02631578947368421};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;19;381;30;4;-1.0;{};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;573;1361;52;5;-1.0;{Add penalty+complete=0.8, Send Appeal to Prefecture+complete=0.07272727272727272, Insert Date Appeal to Prefecture+complete=0.03636363636363636, Insert Fine Notification+complete=0.03636363636363636, Receive Result Appeal from Prefecture+complete=0.03636363636363636, Notify Result Appeal to Offender+complete=0.01818181818181818};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;725;935;56;9;-1.0;{Add penalty+complete=0.8484848484848485, Insert Fine Notification+complete=0.06060606060606061, Send Appeal to Prefecture+complete=0.06060606060606061, Payment+complete=0.030303030303030304};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;88;537;53;3;-1.0;{Add penalty+complete=0.8666666666666667, Insert Fine Notification+complete=0.13333333333333333};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;607;899;41;0;-1.0;{Add penalty+complete=0.9, Payment+complete=0.03333333333333333, Notify Result Appeal to Offender+complete=0.03333333333333333, Receive Result Appeal from Prefecture+complete=0.03333333333333333};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;23;381;37;3;-1.0;{};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;22;381;39;5;-1.0;{};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;754;1140;47;4;-1.0;{Add penalty+complete=0.9032258064516129, Insert Date Appeal to Prefecture+complete=0.03225806451612903, Send Appeal to Prefecture+complete=0.03225806451612903, Notify Result Appeal to Offender+complete=0.03225806451612903};NONALIGNING_ALL;{}
