delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;177;672;23;4;0;0.8646622240232934;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;113;659;30;6;0;0.8569515680543992;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;172;673;29;9;0;0.8450002572959476;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;113;676;23;3;2;0.86959466815236;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;170;670;31;8;0;0.8412021468941113;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;115;671;26;6;1;0.8583813975393704;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;167;671;27;7;0;0.8550912574757584;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;116;635;31;6;2;0.8590050084444703;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;173;671;26;7;0;0.8552793207785754;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;115;673;27;6;0;0.8377157265715964;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;67;376;21;3;0;0.859475126630739;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;71;392;28;6;0;0.8547544883204778;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;66;364;23;5;0;0.8466107594248299;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;70;401;23;2;1;0.8720078463203466;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;395;24;4;0;0.846300669027942;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;72;394;22;5;0;0.8620605071747199;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;69;385;25;5;1;0.8496462819880538;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;70;393;25;3;2;0.861439641783153;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;69;395;25;6;0;0.854066367134549;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;77;396;25;5;0;0.8421312694039972;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;54;285;16;2;0;0.8584837092731834;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;51;282;23;5;0;0.8557604924626202;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;50;284;20;4;0;0.8425816261203587;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;50;287;21;2;1;0.8762195121951222;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;51;282;23;5;0;0.8414617297596027;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;50;281;19;4;1;0.8672013366750212;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;52;283;22;4;1;0.8477794663964878;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;132;281;29;3;2;0.8537326066790358;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;49;280;24;6;0;0.8519996610743944;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;111;280;21;5;0;0.8435632924994628;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;26;132;16;2;0;0.8566803699897226;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;143;24;4;0;0.8509100054874702;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;137;20;3;0;0.8410975388248114;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;42;144;17;1;2;0.887266009852217;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;142;23;3;0;0.8422215108834825;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;142;16;3;1;0.8730412022965212;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;141;18;4;1;0.8482776089159069;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;143;22;3;0;0.8469696969696969;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;141;17;3;0;0.8489277271192165;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;141;20;4;0;0.836341377298824;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;20;90;15;1;0;0.8664927768860352;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;78;87;18;2;0;0.8704918644573815;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;88;15;2;0;0.8483360389610389;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;86;19;0;2;0.8852990033222592;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;17;88;18;3;0;0.8442259445100355;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;20;93;16;3;0;0.8630056323604708;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;18;85;18;4;1;0.8588235294117647;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;87;21;2;2;0.8516452648475118;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;87;16;1;0;0.848727422003284;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;94;88;22;4;0;0.8393533549783547;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;15;69;15;1;0;0.857878151260504;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;15;67;16;0;0;0.8739767807949625;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;16;69;18;2;0;0.8505693581780537;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;15;70;19;0;2;0.8925510204081633;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;66;66;16;3;0;0.839477567886659;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;14;67;17;3;1;0.869918265813788;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;13;65;17;3;1;0.8505494505494505;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;79;65;18;1;2;0.853186813186813;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;15;67;12;1;0;0.8635394456289976;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;14;67;17;2;0;0.831645344705046;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;17;77;15;1;0;0.8637755102040815;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;17;75;19;2;0;0.8699412074412073;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;15;75;16;2;0;0.8572857142857142;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;70;74;19;0;1;0.886692759295499;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;15;77;19;3;0;0.8454069264069265;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;16;74;16;3;1;0.8703989703989702;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;15;69;17;3;1;0.8498043052837574;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;16;73;18;2;2;0.8570450097847355;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;15;73;15;1;0;0.854207436399217;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;16;75;19;3;0;0.8379365079365078;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;11;43;13;0;0;0.8481366459627329;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;11;49;15;0;0;0.879315476190476;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;17;50;10;1;0;0.849142857142857;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;12;54;16;0;2;0.8888227513227513;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;11;50;17;3;0;0.8495389610389611;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;11;54;16;3;0;0.874316578483245;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;64;49;16;3;1;0.8662464985994398;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;12;51;20;1;1;0.8519345238095238;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;67;49;15;1;0;0.872813411078717;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;11;52;15;1;0;0.8345238095238093;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;11;41;13;0;0;0.845578231292517;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;16;42;14;0;0;0.8839285714285714;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;10;42;13;0;0;0.8513937282229965;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;10;44;17;0;1;0.8902210884353743;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;10;40;15;2;0;0.8534415584415586;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;10;40;14;2;1;0.8623321123321123;{};NONALIGNING_KNOWN;{}
0.1;0.9;0.01;0.1;10;39;15;1;1;0.8566729323308271;{};NONALIGNING_KNOWN;{}
