delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;2610;1850;49;0;-1.0;{Payment+complete=0.40492957746478875, Insert Date Appeal to Prefecture+complete=0.2007042253521127, Send Appeal to Prefecture+complete=0.2007042253521127, Add penalty+complete=0.04929577464788732, Send Fine+complete=0.04225352112676056, Receive Result Appeal from Prefecture+complete=0.035211267605633804, Notify Result Appeal to Offender+complete=0.03169014084507042, Appeal to Judge+complete=0.02112676056338028, Insert Fine Notification+complete=0.014084507042253521};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;2667;2370;61;0;-1.0;{Payment+complete=0.37362637362637363, Insert Date Appeal to Prefecture+complete=0.22527472527472528, Send Appeal to Prefecture+complete=0.22527472527472528, Add penalty+complete=0.04120879120879121, Send Fine+complete=0.04120879120879121, Appeal to Judge+complete=0.03296703296703297, Receive Result Appeal from Prefecture+complete=0.027472527472527472, Notify Result Appeal to Offender+complete=0.02197802197802198, Insert Fine Notification+complete=0.01098901098901099};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;2678;2091;56;0;-1.0;{Payment+complete=0.40540540540540543, Insert Date Appeal to Prefecture+complete=0.23123123123123124, Send Appeal to Prefecture+complete=0.22522522522522523, Add penalty+complete=0.036036036036036036, Send Fine+complete=0.03003003003003003, Receive Result Appeal from Prefecture+complete=0.024024024024024024, Notify Result Appeal to Offender+complete=0.021021021021021023, Appeal to Judge+complete=0.018018018018018018, Insert Fine Notification+complete=0.009009009009009009};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;2967;1673;64;0;-1.0;{Payment+complete=0.3864306784660767, Insert Date Appeal to Prefecture+complete=0.23008849557522124, Send Appeal to Prefecture+complete=0.22713864306784662, Add penalty+complete=0.04129793510324484, Receive Result Appeal from Prefecture+complete=0.04129793510324484, Notify Result Appeal to Offender+complete=0.038348082595870206, Appeal to Judge+complete=0.017699115044247787, Send Fine+complete=0.011799410029498525, Insert Fine Notification+complete=0.0058997050147492625};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;2049;1640;62;0;-1.0;{Payment+complete=0.4840182648401826, Insert Date Appeal to Prefecture+complete=0.1963470319634703, Send Appeal to Prefecture+complete=0.1963470319634703, Send Fine+complete=0.0273972602739726, Add penalty+complete=0.0228310502283105, Appeal to Judge+complete=0.0228310502283105, Receive Result Appeal from Prefecture+complete=0.0228310502283105, Notify Result Appeal to Offender+complete=0.0182648401826484, Insert Fine Notification+complete=0.0091324200913242};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;2766;1555;48;0;-1.0;{Payment+complete=0.4835164835164835, Insert Date Appeal to Prefecture+complete=0.18681318681318682, Send Appeal to Prefecture+complete=0.18681318681318682, Add penalty+complete=0.047619047619047616, Notify Result Appeal to Offender+complete=0.029304029304029304, Receive Result Appeal from Prefecture+complete=0.029304029304029304, Appeal to Judge+complete=0.02564102564102564, Send Fine+complete=0.01098901098901099};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;2513;1701;59;0;-1.0;{Payment+complete=0.43673469387755104, Insert Date Appeal to Prefecture+complete=0.2, Send Appeal to Prefecture+complete=0.2, Receive Result Appeal from Prefecture+complete=0.04897959183673469, Add penalty+complete=0.04081632653061224, Notify Result Appeal to Offender+complete=0.036734693877551024, Send Fine+complete=0.02040816326530612, Appeal to Judge+complete=0.012244897959183673, Insert Fine Notification+complete=0.004081632653061225};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;2059;1626;55;0;-1.0;{Payment+complete=0.42592592592592593, Insert Date Appeal to Prefecture+complete=0.22592592592592592, Send Appeal to Prefecture+complete=0.22592592592592592, Add penalty+complete=0.03333333333333333, Send Fine+complete=0.02962962962962963, Receive Result Appeal from Prefecture+complete=0.025925925925925925, Notify Result Appeal to Offender+complete=0.022222222222222223, Insert Fine Notification+complete=0.007407407407407408, Appeal to Judge+complete=0.003703703703703704};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;3518;1974;63;0;-1.0;{Payment+complete=0.36555891238670696, Insert Date Appeal to Prefecture+complete=0.2175226586102719, Send Appeal to Prefecture+complete=0.21450151057401812, Send Fine+complete=0.054380664652567974, Add penalty+complete=0.045317220543806644, Receive Result Appeal from Prefecture+complete=0.03927492447129909, Notify Result Appeal to Offender+complete=0.03323262839879154, Appeal to Judge+complete=0.02416918429003021, Insert Fine Notification+complete=0.006042296072507553};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;3007;1646;54;0;-1.0;{Payment+complete=0.38783269961977185, Insert Date Appeal to Prefecture+complete=0.22053231939163498, Send Appeal to Prefecture+complete=0.21673003802281368, Add penalty+complete=0.04182509505703422, Receive Result Appeal from Prefecture+complete=0.034220532319391636, Send Fine+complete=0.034220532319391636, Notify Result Appeal to Offender+complete=0.030418250950570342, Appeal to Judge+complete=0.026615969581749048, Insert Fine Notification+complete=0.0076045627376425855};NONALIGNING_KNOWN;{}
