delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;272;666;32;0;0.98281746031746;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;133;664;49;0;0.984349060725208;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;243;658;43;0;0.981487806087043;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;92;658;56;0;0.979195314489432;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;97;658;56;0;0.983787944578219;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;122;662;47;0;0.983802054154996;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;95;658;51;0;0.9853186646434;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;247;662;54;0;0.984662146364274;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;174;658;50;0;0.985734728234729;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;96;658;45;0;0.981999316473;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;157;386;46;0;0.984837962962963;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;89;382;35;0;0.985184841166636;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;85;382;44;0;0.981231219760631;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;90;382;50;0;0.979940398584466;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;151;382;44;0;0.986438691178951;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;86;382;38;0;0.983855905998763;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;91;382;42;0;0.989714658709436;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;154;387;45;0;0.986484230055659;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;86;382;44;0;0.984309895833333;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;89;382;42;0;0.981610644257703;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;291;272;31;0;0.984272608125818;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;84;269;39;0;0.984750462107208;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;83;269;35;0;0.981496496137379;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;77;269;48;0;0.979938556067588;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;76;269;46;0;0.98756391482824;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;241;280;39;0;0.982428142428142;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;77;269;40;0;0.988500132030631;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;73;269;40;0;0.98804664723032;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;78;269;38;0;0.985358460727464;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;76;269;35;0;0.982096731681602;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;120;128;22;0;0.987433862433863;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;72;128;32;0;0.989106453392168;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;72;128;29;0;0.984972527472528;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;72;128;41;0;0.985072544642857;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;70;128;37;0;0.98801749271137;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;214;139;29;0;0.980318322981367;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;72;128;29;0;0.989462248777838;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;133;135;35;0;0.989032620922385;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;76;128;32;0;0.981260184682238;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;77;128;33;0;0.985068681318682;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;143;83;19;0;0.98780487804878;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;74;74;22;0;0.99165120593692;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;66;74;26;0;0.986414565826331;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;112;74;29;0;0.980519480519481;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;68;74;30;0;0.988204887218045;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;104;74;25;0;0.983992346938776;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;69;74;28;0;0.994934143870314;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;67;74;28;0;0.994669509594883;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;69;74;31;0;0.986077481840194;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;69;74;21;0;0.986836080586081;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;225;59;17;0;0.984126984126984;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;124;64;19;0;0.991596638655462;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;65;53;23;0;0.98120665742025;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;110;53;21;0;0.984441301272984;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;66;53;26;0;0.984450063211125;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;124;64;24;0;0.984503631961259;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;59;53;23;0;0.994708994708995;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;75;53;25;0;0.995016611295681;{};NONALIGNING_KNOWN;{}
