delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;233;661;44;12;0.9814342189058323;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;97;658;46;14;0.9793586393435113;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;94;658;41;15;0.9796180954344227;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;96;658;57;17;0.9779570390021702;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;187;658;57;15;0.9818154782386431;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;166;670;43;10;0.966763659320477;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;100;658;54;19;0.9832842319594784;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;283;661;49;12;0.983291941115071;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;88;658;48;14;0.9831284620838;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;127;666;51;18;0.9201729024943326;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;195;385;42;10;0.9839288294424837;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;80;382;35;13;0.9725881261595544;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;122;382;42;12;0.9795481333847669;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;78;382;47;13;0.9725617685305586;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;119;382;43;7;0.9856030897207373;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;207;394;39;10;0.9671138583638589;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;77;382;40;16;0.9880983302411874;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;269;385;37;11;0.9793300492610839;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;80;382;44;15;0.9817759613598364;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;69;382;43;14;0.9829776133560996;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;74;269;31;9;0.9855301236516699;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;76;269;38;13;0.9770046650822986;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;77;269;34;9;0.980935208702736;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;74;269;50;12;0.9791820505538197;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;115;269;44;9;0.9852419219822531;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;136;277;36;5;0.9838207384403037;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;65;269;35;7;0.9874901341752164;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;261;272;39;7;0.9884241531664205;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;71;269;42;12;0.9822614654717968;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;72;269;38;15;0.9838758566157088;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;194;135;22;5;0.98696360673547;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;71;128;30;6;0.9847214189319456;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;68;128;29;6;0.986177753544166;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;61;128;33;3;0.9781449893390194;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;69;128;33;5;0.986353529738744;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;134;132;30;6;0.9796309523809527;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;66;128;36;7;0.9887479316050747;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;66;128;30;8;0.9920461634435436;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;67;128;34;6;0.979849916620345;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;133;133;27;11;0.9728226234731814;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;126;80;22;5;0.9858906525573192;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;58;74;20;6;0.9786535303776687;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;67;74;22;4;0.9844882729211087;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;69;74;31;7;0.9779482262703741;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;105;74;25;4;0.9852678571428571;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;126;77;23;2;0.9745974648852345;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;63;74;25;3;0.9940476190476192;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;134;78;29;3;0.9948979591836734;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;67;74;29;4;0.9881808838643371;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;163;77;27;9;0.9770569620253164;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;118;60;19;3;0.9817927170868347;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;74;53;20;7;0.9726708074534162;{};NONALIGNING_KNOWN;{}
