delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;20165;139;135;0;0.5434393541409038;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;17715;144;136;0;0.5692319379187475;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;23168;164;154;0;0.5437008511831319;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;21601;155;148;0;0.5616840848923252;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;20056;160;149;0;0.5627077170326368;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;17343;150;135;0;0.5633495525693099;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;17743;146;139;0;0.5574074735011251;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;20219;144;134;0;0.5464576524371958;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;22385;145;137;0;0.5284911344403;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;19971;159;146;0;0.5571747247989572;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;18177;128;126;0;0.5456946446075164;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;16154;128;123;0;0.5729291035329027;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;17962;128;124;0;0.5445841790652083;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;18663;128;128;0;0.5615161946548157;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;16188;128;124;0;0.569780621617183;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14988;128;119;0;0.5688229332153575;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;16700;129;124;0;0.5515959240335517;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;18217;128;123;0;0.5470858554508925;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;19657;128;123;0;0.5309142330767826;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;16853;129;121;0;0.5601399494876357;{};NONALIGNING_KNOWN;{}
