delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;43369;128;132;0;0.9523576767180242;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;44265;128;130;0;0.952212248520917;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;50642;128;131;0;0.9511414316491908;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;40285;128;129;0;0.9524528236047184;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;53570;128;131;0;0.9513852044216463;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;44791;128;132;0;0.9527098232852718;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;40819;128;132;0;0.9531713448948622;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;40700;128;133;0;0.952848977578828;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;44376;128;131;0;0.9532407613230393;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;48252;128;127;0;0.9516628559707238;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;43662;128;132;0;0.95216902574276;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;44299;128;130;0;0.952212248520917;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;50729;128;131;0;0.9511414316491908;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;41365;128;129;0;0.9524528236047185;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;52043;128;131;0;0.951330305686431;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;45221;128;132;0;0.9527098232852718;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;41327;128;132;0;0.9531713448948623;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;40980;128;133;0;0.952848977578828;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;44085;128;131;0;0.9532407613230393;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;47976;128;127;0;0.9516628559707236;{};NONALIGNING_KNOWN;{}
