delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;566;135;136;0;0;0.977507071342439;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;649;134;137;0;0;0.9775992814374359;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;542;136;136;0;0;0.9777252100438378;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;625;134;138;0;0;0.9775062436428937;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;680;134;136;0;0;0.9775639133143045;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;576;135;137;0;0;0.9774098302410072;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;544;137;137;0;0;0.9775409550344417;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;523;137;137;0;0;0.9774779000877489;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;516;131;136;0;0;0.9776856560175989;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;531;133;136;0;0;0.9775487789679486;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2579;665;664;0;0;0.9775135770995698;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2574;663;667;0;0;0.9775631805082611;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2572;665;667;0;0;0.9775746799034408;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2640;664;667;0;0;0.9775684475955586;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2576;665;666;0;0;0.9775482346578449;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2586;662;666;0;0;0.9775517511633506;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2573;662;666;0;0;0.9775766824009358;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2570;664;667;0;0;0.9775518674957246;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2578;665;666;0;0;0.9776136516588781;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2590;664;666;0;0;0.9775691960777962;{};NONALIGNING_KNOWN;{}
