delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;15503;128;133;0;0.9165845031795025;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15202;128;131;0;0.9177370824438402;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14713;128;130;0;0.9173023460722908;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14592;128;129;0;0.9182292357342836;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14452;128;131;0;0.9177871089571548;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14870;128;130;0;0.917589255677272;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15064;128;133;0;0.9177850124898552;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15771;128;136;0;0.9178213448694146;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14338;128;130;0;0.9184717902592396;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14340;128;127;0;0.9171988231518332;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;15060;128;132;0;0.9165965140110889;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;16497;128;132;0;0.9177370824438402;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14324;128;130;0;0.9173023460722908;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14668;128;129;0;0.9182292357342837;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14539;128;131;0;0.9176922581534612;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14443;128;131;0;0.917622700372401;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14622;128;133;0;0.9177850124898552;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;16081;128;136;0;0.9178805304754751;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14531;128;130;0;0.9184717902592396;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.1;0.2;14159;128;126;0;0.9172629038080192;{};NONALIGNING_KNOWN;{}
