delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;6656;663;311;0;0;-1.0;{A_CANCELLED=0.02395964691046658, A_DECLINED=0.11223203026481715, A_FINALIZED=0.13240857503152584, O_DECLINED=0.05674653215636822, W_Nabellen offertes=0.13240857503152584, W_Wijzigen contractgegevens=0.0037831021437578815, O_SELECTED=0.24968474148802017, O_SENT_BACK=0.0037831021437578815, O_CANCELLED=0.017654476670870115, W_Afhandelen leads=0.007566204287515763, W_Completeren aanvraag=0.0832282471626734, O_SENT=0.11727616645649433, A_PREACCEPTED=0.027742749054224466, W_Beoordelen fraude=0.03026481715006305, O_CREATED=0.0012610340479192938};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6718;666;314;0;0;-1.0;{A_CANCELLED=0.020107238605898123, A_DECLINED=0.11528150134048257, A_FINALIZED=0.13404825737265416, O_DECLINED=0.058981233243967826, W_Nabellen offertes=0.13404825737265416, W_Wijzigen contractgegevens=0.004021447721179625, O_SELECTED=0.23994638069705093, O_SENT_BACK=0.00938337801608579, O_CANCELLED=0.021447721179624665, W_Afhandelen leads=0.00804289544235925, W_Completeren aanvraag=0.09249329758713137, O_SENT=0.10589812332439678, A_PREACCEPTED=0.030831099195710455, W_Beoordelen fraude=0.02546916890080429};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8132;665;313;0;0;-1.0;{A_CANCELLED=0.025174825174825177, A_DECLINED=0.0993006993006993, A_FINALIZED=0.12027972027972028, O_DECLINED=0.04895104895104895, W_Nabellen offertes=0.12027972027972028, O_SELECTED=0.27132867132867133, O_SENT_BACK=0.012587412587412588, O_CANCELLED=0.016783216783216783, W_Afhandelen leads=0.008391608391608392, W_Completeren aanvraag=0.08811188811188811, O_SENT=0.15104895104895105, A_PREACCEPTED=0.02937062937062937, W_Beoordelen fraude=0.004195804195804196, O_CREATED=0.004195804195804196};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6005;666;326;0;0;-1.0;{A_CANCELLED=0.03185595567867036, A_DECLINED=0.12326869806094183, A_FINALIZED=0.13850415512465375, O_DECLINED=0.062326869806094184, W_Nabellen offertes=0.13850415512465375, W_Wijzigen contractgegevens=0.004155124653739612, O_SELECTED=0.26869806094182824, O_SENT_BACK=0.009695290858725761, O_CANCELLED=0.015235457063711912, W_Completeren aanvraag=0.054016620498614956, O_SENT=0.13019390581717452, A_PREACCEPTED=0.018005540166204988, O_CREATED=0.00554016620498615};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5838;665;304;0;0;-1.0;{A_CANCELLED=0.02877697841726619, A_DECLINED=0.08920863309352518, A_FINALIZED=0.13525179856115108, O_DECLINED=0.04028776978417266, W_Nabellen offertes=0.13525179856115108, W_Wijzigen contractgegevens=0.0014388489208633094, O_SELECTED=0.27482014388489207, O_SENT_BACK=0.008633093525179856, O_CANCELLED=0.011510791366906475, W_Completeren aanvraag=0.08201438848920864, O_SENT=0.13956834532374102, A_PREACCEPTED=0.027338129496402876, W_Beoordelen fraude=0.025899280575539568};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5990;664;320;0;0;-1.0;{A_CANCELLED=0.01699346405228758, A_DECLINED=0.10980392156862745, A_FINALIZED=0.13986928104575164, O_DECLINED=0.05359477124183006, W_Nabellen offertes=0.13986928104575164, W_Wijzigen contractgegevens=0.00130718954248366, O_SELECTED=0.26405228758169935, O_SENT_BACK=0.009150326797385621, O_CANCELLED=0.01699346405228758, W_Completeren aanvraag=0.07450980392156863, O_SENT=0.12418300653594772, A_PREACCEPTED=0.02483660130718954, W_Beoordelen fraude=0.02483660130718954};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6562;665;302;0;0;-1.0;{A_CANCELLED=0.034139402560455195, O_SELECTED=0.26884779516358465, A_DECLINED=0.10668563300142248, O_SENT_BACK=0.011379800853485065, O_CANCELLED=0.015647226173541962, W_Completeren aanvraag=0.06827880512091039, O_SENT=0.12660028449502134, A_FINALIZED=0.1422475106685633, A_PREACCEPTED=0.02275960170697013, O_DECLINED=0.05832147937411095, W_Nabellen offertes=0.1422475106685633, O_CREATED=0.002844950213371266};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7215;666;333;0;0;-1.0;{A_CANCELLED=0.025423728813559324, A_DECLINED=0.1271186440677966, A_FINALIZED=0.134180790960452, O_DECLINED=0.0692090395480226, W_Nabellen offertes=0.134180790960452, O_SELECTED=0.2598870056497175, O_SENT_BACK=0.00423728813559322, O_CANCELLED=0.01694915254237288, W_Afhandelen leads=0.00423728813559322, W_Completeren aanvraag=0.059322033898305086, O_SENT=0.12570621468926554, A_PREACCEPTED=0.01977401129943503, W_Beoordelen fraude=0.015536723163841809, O_CREATED=0.00423728813559322};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7854;666;325;0;0;-1.0;{A_CANCELLED=0.02571041948579161, A_DECLINED=0.08119079837618404, A_FINALIZED=0.14073071718538566, O_DECLINED=0.037889039242219216, W_Nabellen offertes=0.14073071718538566, W_Wijzigen contractgegevens=0.0013531799729364006, O_SELECTED=0.2679296346414073, O_SENT_BACK=0.012178619756427604, O_CANCELLED=0.013531799729364006, W_Completeren aanvraag=0.10960757780784844, O_SENT=0.12719891745602166, A_PREACCEPTED=0.036535859269282815, W_Beoordelen fraude=0.0040595399188092015, O_CREATED=0.0013531799729364006};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7608;666;311;0;0;-1.0;{A_CANCELLED=0.017743979721166033, A_DECLINED=0.09885931558935361, A_FINALIZED=0.13054499366286437, O_DECLINED=0.044359949302915085, W_Nabellen offertes=0.13054499366286437, W_Wijzigen contractgegevens=0.0025348542458808617, O_SELECTED=0.2826362484157161, O_SENT_BACK=0.010139416983523447, O_CANCELLED=0.012674271229404309, W_Afhandelen leads=0.0038022813688212928, W_Completeren aanvraag=0.06844106463878327, O_SENT=0.1520912547528517, A_PREACCEPTED=0.022813688212927757, W_Beoordelen fraude=0.020278833967046894, O_CREATED=0.0025348542458808617};NONALIGNING_KNOWN;{}
