delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;10302;662;309;87;-1.0;{O_SELECTED=0.1929203539823009, W_Nabellen offertes=0.15486725663716813, W_Completeren aanvraag=0.1424778761061947, A_FINALIZED=0.10176991150442478, A_DECLINED=0.09734513274336283, O_SENT=0.084070796460177, O_DECLINED=0.04070796460176991, A_CANCELLED=0.03716814159292035, W_Beoordelen fraude=0.021238938053097345, W_Afhandelen leads=0.020353982300884955, O_CANCELLED=0.019469026548672566, A_PREACCEPTED=0.019469026548672566, A_REGISTERED=0.01592920353982301, A_ACCEPTED=0.011504424778761062, W_Valideren aanvraag=0.008849557522123894, O_ACCEPTED=0.007079646017699115, A_APPROVED=0.005309734513274336, A_ACTIVATED=0.005309734513274336, W_Nabellen incomplete dossiers=0.004424778761061947, O_CREATED=0.004424778761061947, W_Wijzigen contractgegevens=0.002654867256637168, O_SENT_BACK=0.002654867256637168};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;10353;665;315;83;-1.0;{O_SELECTED=0.19150943396226416, W_Nabellen offertes=0.14528301886792452, W_Completeren aanvraag=0.13773584905660377, A_FINALIZED=0.1009433962264151, A_DECLINED=0.08962264150943396, O_SENT=0.07547169811320754, A_CANCELLED=0.045283018867924525, W_Afhandelen leads=0.04339622641509434, O_DECLINED=0.04245283018867924, O_CANCELLED=0.02358490566037736, A_PREACCEPTED=0.02169811320754717, W_Beoordelen fraude=0.016981132075471698, A_ACCEPTED=0.010377358490566037, A_APPROVED=0.009433962264150943, A_REGISTERED=0.009433962264150943, W_Valideren aanvraag=0.009433962264150943, O_ACCEPTED=0.009433962264150943, O_SENT_BACK=0.005660377358490566, A_ACTIVATED=0.0037735849056603774, W_Nabellen incomplete dossiers=0.0037735849056603774, W_Wijzigen contractgegevens=0.002830188679245283, O_CREATED=0.0018867924528301887};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;14115;664;313;80;-1.0;{O_SELECTED=0.20037629350893696, W_Completeren aanvraag=0.1561618062088429, W_Nabellen offertes=0.15428033866415805, O_SENT=0.10253998118532455, A_FINALIZED=0.09219190968955786, A_DECLINED=0.08184383819379115, A_CANCELLED=0.047036688617121354, O_DECLINED=0.03292568203198495, W_Afhandelen leads=0.02539981185324553, O_CANCELLED=0.023518344308560677, A_PREACCEPTED=0.01975540921919097, O_ACCEPTED=0.00940733772342427, W_Valideren aanvraag=0.008466603951081843, W_Nabellen incomplete dossiers=0.008466603951081843, O_CREATED=0.008466603951081843, O_SENT_BACK=0.00658513640639699, A_ACTIVATED=0.005644402634054563, A_REGISTERED=0.005644402634054563, A_ACCEPTED=0.004703668861712135, A_APPROVED=0.0037629350893697085, W_Beoordelen fraude=0.0028222013170272815};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;10979;664;325;93;-1.0;{O_SELECTED=0.20410065237651445, W_Nabellen offertes=0.15284249767008387, W_Completeren aanvraag=0.12861136999068035, A_DECLINED=0.09599254426840634, A_FINALIZED=0.09506057781919851, O_SENT=0.09040074557315937, O_DECLINED=0.04380242311276794, A_CANCELLED=0.03821062441752097, W_Afhandelen leads=0.036346691519105315, O_CANCELLED=0.02516309412861137, W_Valideren aanvraag=0.014911463187325256, A_PREACCEPTED=0.012115563839701771, A_APPROVED=0.011183597390493943, A_REGISTERED=0.011183597390493943, A_ACCEPTED=0.010251630941286114, W_Nabellen incomplete dossiers=0.007455731593662628, O_SENT_BACK=0.005591798695246971, O_ACCEPTED=0.005591798695246971, O_CREATED=0.004659832246039142, W_Wijzigen contractgegevens=0.0027958993476234857, A_ACTIVATED=0.001863932898415657, W_Beoordelen fraude=0.001863932898415657};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;10169;662;301;76;-1.0;{O_SELECTED=0.21865284974093263, W_Completeren aanvraag=0.16373056994818652, W_Nabellen offertes=0.13989637305699482, A_FINALIZED=0.10569948186528498, O_SENT=0.10466321243523316, A_DECLINED=0.0766839378238342, A_CANCELLED=0.035233160621761656, O_DECLINED=0.029015544041450778, O_CANCELLED=0.01865284974093264, A_PREACCEPTED=0.01865284974093264, W_Beoordelen fraude=0.01865284974093264, O_SENT_BACK=0.010362694300518135, W_Valideren aanvraag=0.010362694300518135, A_ACTIVATED=0.008290155440414507, A_REGISTERED=0.008290155440414507, A_APPROVED=0.0062176165803108805, W_Afhandelen leads=0.0062176165803108805, O_CREATED=0.0062176165803108805, A_ACCEPTED=0.0051813471502590676, O_ACCEPTED=0.004145077720207254, W_Nabellen incomplete dossiers=0.004145077720207254, W_Wijzigen contractgegevens=0.0010362694300518134};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;8879;660;317;88;-1.0;{O_SELECTED=0.2123730378578024, W_Nabellen offertes=0.14866112650046168, W_Completeren aanvraag=0.14127423822714683, A_FINALIZED=0.10433979686057249, O_SENT=0.09141274238227147, A_DECLINED=0.07756232686980609, O_DECLINED=0.03970452446906741, W_Afhandelen leads=0.03970452446906741, A_CANCELLED=0.024930747922437674, O_CANCELLED=0.024930747922437674, A_PREACCEPTED=0.017543859649122806, W_Beoordelen fraude=0.017543859649122806, A_APPROVED=0.012927054478301015, W_Nabellen incomplete dossiers=0.0110803324099723, A_REGISTERED=0.009233610341643583, O_SENT_BACK=0.007386888273314866, A_ACTIVATED=0.00554016620498615, W_Valideren aanvraag=0.00554016620498615, O_ACCEPTED=0.003693444136657433, A_ACCEPTED=0.0018467220683287165, O_CREATED=0.0018467220683287165, W_Wijzigen contractgegevens=9.233610341643582E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9295;662;301;82;-1.0;{O_SELECTED=0.19718309859154928, W_Nabellen offertes=0.1529175050301811, W_Completeren aanvraag=0.15191146881287726, A_FINALIZED=0.12072434607645875, O_SENT=0.08853118712273642, A_DECLINED=0.0875251509054326, A_CANCELLED=0.04929577464788732, O_DECLINED=0.047283702213279676, O_CANCELLED=0.02012072434607646, W_Afhandelen leads=0.02012072434607646, W_Valideren aanvraag=0.019114688128772636, A_PREACCEPTED=0.01609657947686117, A_APPROVED=0.006036217303822937, O_SENT_BACK=0.006036217303822937, A_REGISTERED=0.004024144869215292, O_ACCEPTED=0.004024144869215292, A_ACCEPTED=0.0030181086519114686, W_Nabellen incomplete dossiers=0.0030181086519114686, O_CREATED=0.0030181086519114686};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9609;663;331;88;-1.0;{O_SELECTED=0.20808678500986194, W_Nabellen offertes=0.15779092702169625, W_Completeren aanvraag=0.126232741617357, A_FINALIZED=0.10453648915187377, A_DECLINED=0.10059171597633136, O_SENT=0.09171597633136094, O_DECLINED=0.05226824457593689, A_CANCELLED=0.03254437869822485, O_CANCELLED=0.022682445759368838, A_ACTIVATED=0.015779092702169626, A_PREACCEPTED=0.013806706114398421, A_REGISTERED=0.011834319526627219, W_Afhandelen leads=0.011834319526627219, W_Beoordelen fraude=0.010848126232741617, O_ACCEPTED=0.009861932938856016, A_APPROVED=0.005917159763313609, W_Valideren aanvraag=0.005917159763313609, O_CREATED=0.005917159763313609, O_SENT_BACK=0.004930966469428008, A_ACCEPTED=0.004930966469428008, W_Nabellen incomplete dossiers=0.0019723865877712033};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;14823;663;321;104;-1.0;{O_SELECTED=0.19657348963029755, W_Completeren aanvraag=0.17222723174030657, W_Nabellen offertes=0.15599639314697927, A_FINALIZED=0.10009017132551848, O_SENT=0.08205590622182146, A_DECLINED=0.060414788097385035, A_CANCELLED=0.05139765554553652, W_Afhandelen leads=0.034265103697024346, O_DECLINED=0.025247971145175834, A_PREACCEPTED=0.024346257889990983, O_CANCELLED=0.019837691614066726, A_REGISTERED=0.013525698827772768, W_Valideren aanvraag=0.012623985572587917, O_ACCEPTED=0.009918845807033363, A_APPROVED=0.008115419296663661, A_ACTIVATED=0.008115419296663661, O_SENT_BACK=0.007213706041478809, A_ACCEPTED=0.005410279531109108, W_Nabellen incomplete dossiers=0.005410279531109108, O_CREATED=0.0036068530207394047, W_Beoordelen fraude=0.002705139765554554, W_Wijzigen contractgegevens=9.017132551848512E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;13148;664;312;78;-1.0;{O_SELECTED=0.22105263157894736, W_Nabellen offertes=0.14832535885167464, W_Completeren aanvraag=0.13110047846889952, O_SENT=0.11483253588516747, A_FINALIZED=0.11196172248803828, A_DECLINED=0.0784688995215311, O_DECLINED=0.03349282296650718, A_CANCELLED=0.028708133971291867, W_Afhandelen leads=0.023923444976076555, W_Valideren aanvraag=0.01722488038277512, A_PREACCEPTED=0.01722488038277512, W_Beoordelen fraude=0.015311004784688996, O_CANCELLED=0.011483253588516746, A_REGISTERED=0.009569377990430622, O_ACCEPTED=0.007655502392344498, W_Nabellen incomplete dossiers=0.007655502392344498, O_SENT_BACK=0.0066985645933014355, A_ACTIVATED=0.005741626794258373, A_ACCEPTED=0.003827751196172249, A_APPROVED=0.0019138755980861245, W_Wijzigen contractgegevens=0.0019138755980861245, O_CREATED=0.0019138755980861245};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;11178;659;310;146;-1.0;{W_Nabellen offertes=0.18127250900360145, O_SELECTED=0.15066026410564226, W_Completeren aanvraag=0.14585834333733494, A_FINALIZED=0.07743097238895558, A_DECLINED=0.06782713085234093, O_SENT=0.06422569027611044, W_Valideren aanvraag=0.034213685474189674, A_CANCELLED=0.03361344537815126, W_Afhandelen leads=0.033013205282112844, O_CANCELLED=0.029411764705882353, O_DECLINED=0.028211284513805522, W_Nabellen incomplete dossiers=0.026410564225690276, A_REGISTERED=0.02220888355342137, O_ACCEPTED=0.017406962785114045, W_Beoordelen fraude=0.01680672268907563, O_CREATED=0.015606242496998799, A_ACTIVATED=0.013805522208883553, A_PREACCEPTED=0.013205282112845138, A_APPROVED=0.012605042016806723, A_ACCEPTED=0.012004801920768308, O_SENT_BACK=0.0024009603841536613, W_Wijzigen contractgegevens=0.001800720288115246};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;9228;661;313;151;-1.0;{W_Nabellen offertes=0.16138165345413363, O_SELECTED=0.1404303510758777, W_Completeren aanvraag=0.13986409966024915, A_FINALIZED=0.07134767836919592, A_DECLINED=0.06455266138165346, W_Valideren aanvraag=0.05719139297848245, W_Afhandelen leads=0.05719139297848245, O_SENT=0.04983012457531144, W_Nabellen incomplete dossiers=0.0492638731596829, O_DECLINED=0.0362400906002265, A_CANCELLED=0.03227633069082673, O_CANCELLED=0.027180067950169876, A_APPROVED=0.02378255945639864, O_ACCEPTED=0.01698754246885617, A_REGISTERED=0.015855039637599093, A_ACTIVATED=0.013590033975084938, A_PREACCEPTED=0.013590033975084938, O_CREATED=0.010192525481313703, W_Beoordelen fraude=0.006795016987542469, A_ACCEPTED=0.00622876557191393, O_SENT_BACK=0.004530011325028313, W_Wijzigen contractgegevens=0.0016987542468856172};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;13793;666;311;140;-1.0;{W_Completeren aanvraag=0.17217716781035558, W_Nabellen offertes=0.16344354335620712, O_SELECTED=0.15470991890205865, A_FINALIZED=0.06737367436057393, O_SENT=0.06737367436057393, A_DECLINED=0.059263880224578916, A_CANCELLED=0.044291952588895823, O_CANCELLED=0.03618215845290081, W_Nabellen incomplete dossiers=0.035558328134747345, W_Valideren aanvraag=0.034310667498440424, W_Afhandelen leads=0.032439176543980035, O_DECLINED=0.023081721771678103, A_APPROVED=0.020586400499064253, A_REGISTERED=0.020586400499064253, O_CREATED=0.014971927635683094, A_ACTIVATED=0.014348097317529632, A_PREACCEPTED=0.014348097317529632, O_ACCEPTED=0.013100436681222707, O_SENT_BACK=0.0056144728633811605, A_ACCEPTED=0.004366812227074236, W_Beoordelen fraude=0.0018714909544603868};NONALIGNING_ALL;{}
