delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.2;8735;663;311;0;-1.0;{O_SELECTED=0.24968314321926488, A_FINALIZED=0.13181242078580482, W_Nabellen offertes=0.13181242078580482, O_SENT=0.11787072243346007, A_DECLINED=0.11026615969581749, W_Completeren aanvraag=0.08365019011406843, O_DECLINED=0.05576679340937896, W_Beoordelen fraude=0.034220532319391636, A_PREACCEPTED=0.02788339670468948, A_CANCELLED=0.024081115335868188, O_CANCELLED=0.016476552598225603, W_Afhandelen leads=0.0076045627376425855, W_Wijzigen contractgegevens=0.0038022813688212928, O_SENT_BACK=0.0038022813688212928, O_CREATED=0.0012674271229404308};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;9280;666;315;0;-1.0;{O_SELECTED=0.23694779116465864, A_FINALIZED=0.13386880856760375, W_Nabellen offertes=0.13386880856760375, A_DECLINED=0.11512717536813923, O_SENT=0.10307898259705489, W_Completeren aanvraag=0.09236947791164658, O_DECLINED=0.058902275769745646, W_Beoordelen fraude=0.03480589022757698, A_PREACCEPTED=0.030789825970548863, O_CANCELLED=0.0214190093708166, A_CANCELLED=0.018741633199464525, O_SENT_BACK=0.008032128514056224, W_Afhandelen leads=0.008032128514056224, W_Wijzigen contractgegevens=0.004016064257028112};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;12513;666;314;0;-1.0;{O_SELECTED=0.2723463687150838, O_SENT=0.15223463687150837, A_FINALIZED=0.12011173184357542, W_Nabellen offertes=0.12011173184357542, A_DECLINED=0.09916201117318436, W_Completeren aanvraag=0.08798882681564246, O_DECLINED=0.04888268156424581, A_PREACCEPTED=0.029329608938547486, A_CANCELLED=0.025139664804469275, O_CANCELLED=0.01675977653631285, O_SENT_BACK=0.0111731843575419, W_Afhandelen leads=0.008379888268156424, W_Beoordelen fraude=0.004189944134078212, O_CREATED=0.004189944134078212};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;13288;660;325;0;-1.0;{O_SELECTED=0.26812585499316005, A_FINALIZED=0.13679890560875513, W_Nabellen offertes=0.13679890560875513, O_SENT=0.13132694938440492, A_DECLINED=0.12311901504787962, O_DECLINED=0.06292749658002736, W_Completeren aanvraag=0.0533515731874145, A_CANCELLED=0.03283173734610123, O_CANCELLED=0.017783857729138167, A_PREACCEPTED=0.017783857729138167, O_SENT_BACK=0.01094391244870041, W_Wijzigen contractgegevens=0.004103967168262654, O_CREATED=0.004103967168262654};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;9652;664;303;0;-1.0;{O_SELECTED=0.2757142857142857, O_SENT=0.14142857142857143, A_FINALIZED=0.13428571428571429, W_Nabellen offertes=0.13428571428571429, A_DECLINED=0.08857142857142856, W_Completeren aanvraag=0.08142857142857143, O_DECLINED=0.04, A_CANCELLED=0.02857142857142857, A_PREACCEPTED=0.027142857142857142, W_Beoordelen fraude=0.025714285714285714, O_CANCELLED=0.011428571428571429, O_SENT_BACK=0.01, W_Wijzigen contractgegevens=0.0014285714285714286};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;10065;661;317;0;-1.0;{O_SELECTED=0.26412614980289095, A_FINALIZED=0.1392904073587385, W_Nabellen offertes=0.1392904073587385, O_SENT=0.12483574244415244, A_DECLINED=0.10906701708278581, W_Completeren aanvraag=0.07490144546649145, O_DECLINED=0.05387647831800263, A_PREACCEPTED=0.024967148488830485, W_Beoordelen fraude=0.024967148488830485, A_CANCELLED=0.018396846254927726, O_CANCELLED=0.01576872536136662, O_SENT_BACK=0.009198423127463863, W_Wijzigen contractgegevens=0.001314060446780552};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;7932;660;301;0;-1.0;{O_SELECTED=0.269774011299435, A_FINALIZED=0.14124293785310735, W_Nabellen offertes=0.14124293785310735, O_SENT=0.1285310734463277, A_DECLINED=0.1059322033898305, W_Completeren aanvraag=0.06779661016949153, O_DECLINED=0.05790960451977401, A_CANCELLED=0.03531073446327684, A_PREACCEPTED=0.022598870056497175, O_CANCELLED=0.014124293785310734, O_SENT_BACK=0.012711864406779662, O_CREATED=0.002824858757062147};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;9283;660;331;0;-1.0;{O_SELECTED=0.2659279778393352, O_SENT=0.1371191135734072, A_FINALIZED=0.12880886426592797, W_Nabellen offertes=0.12880886426592797, A_DECLINED=0.12049861495844875, O_DECLINED=0.0664819944598338, W_Completeren aanvraag=0.05817174515235457, A_CANCELLED=0.023545706371191136, A_PREACCEPTED=0.019390581717451522, O_CANCELLED=0.01662049861495845, W_Beoordelen fraude=0.015235457063711912, O_SENT_BACK=0.008310249307479225, O_CREATED=0.006925207756232687, W_Afhandelen leads=0.004155124653739612};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;12417;665;325;0;-1.0;{O_SELECTED=0.2656675749318801, A_FINALIZED=0.14168937329700274, W_Nabellen offertes=0.14168937329700274, O_SENT=0.12397820163487738, W_Completeren aanvraag=0.11035422343324251, A_DECLINED=0.08174386920980926, O_DECLINED=0.03814713896457766, A_PREACCEPTED=0.03678474114441417, A_CANCELLED=0.02861035422343324, O_SENT_BACK=0.013623978201634877, O_CANCELLED=0.01226158038147139, W_Beoordelen fraude=0.004087193460490463, W_Wijzigen contractgegevens=0.0013623978201634877};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;14987;665;311;0;-1.0;{O_SELECTED=0.2837326607818411, O_SENT=0.15384615384615385, A_FINALIZED=0.12988650693568726, W_Nabellen offertes=0.12988650693568726, A_DECLINED=0.09836065573770492, W_Completeren aanvraag=0.06809583858764187, O_DECLINED=0.044136191677175286, A_PREACCEPTED=0.02269861286254729, W_Beoordelen fraude=0.0201765447667087, A_CANCELLED=0.018915510718789406, O_CANCELLED=0.012610340479192938, O_SENT_BACK=0.01008827238335435, W_Afhandelen leads=0.0037831021437578815, W_Wijzigen contractgegevens=0.0025220680958385876, O_CREATED=0.0012610340479192938};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2452;133;81;0;-1.0;{O_SELECTED=0.2887323943661972, O_SENT=0.18309859154929578, A_FINALIZED=0.1056338028169014, W_Nabellen offertes=0.1056338028169014, A_DECLINED=0.09154929577464789, W_Completeren aanvraag=0.08450704225352113, O_DECLINED=0.056338028169014086, A_PREACCEPTED=0.028169014084507043, W_Beoordelen fraude=0.02112676056338028, W_Wijzigen contractgegevens=0.02112676056338028, A_CANCELLED=0.007042253521126761, O_CANCELLED=0.007042253521126761};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2197;136;73;0;-1.0;{O_SELECTED=0.25, W_Completeren aanvraag=0.1569767441860465, A_FINALIZED=0.13372093023255813, W_Nabellen offertes=0.13372093023255813, O_SENT=0.11627906976744186, A_DECLINED=0.09883720930232558, A_PREACCEPTED=0.05232558139534884, O_DECLINED=0.03488372093023256, A_CANCELLED=0.023255813953488372};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2853;136;70;0;-1.0;{O_SELECTED=0.2536231884057971, A_FINALIZED=0.13768115942028986, W_Nabellen offertes=0.13768115942028986, W_Completeren aanvraag=0.13043478260869565, O_SENT=0.11594202898550725, A_DECLINED=0.10869565217391304, A_PREACCEPTED=0.043478260869565216, O_DECLINED=0.036231884057971016, A_CANCELLED=0.021739130434782608, O_CANCELLED=0.007246376811594203, O_CREATED=0.007246376811594203};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2881;133;81;0;-1.0;{O_SELECTED=0.24390243902439024, O_SENT=0.14634146341463414, A_DECLINED=0.13821138211382114, O_DECLINED=0.11382113821138211, A_FINALIZED=0.0975609756097561, W_Nabellen offertes=0.0975609756097561, A_CANCELLED=0.056910569105691054, W_Completeren aanvraag=0.04878048780487805, O_CANCELLED=0.04065040650406504, A_PREACCEPTED=0.016260162601626018};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2117;137;68;0;-1.0;{O_SELECTED=0.21739130434782608, W_Completeren aanvraag=0.1565217391304348, A_FINALIZED=0.11304347826086956, W_Nabellen offertes=0.11304347826086956, O_SENT=0.10434782608695652, W_Beoordelen fraude=0.08695652173913043, A_DECLINED=0.06956521739130435, A_PREACCEPTED=0.05217391304347826, O_DECLINED=0.043478260869565216, A_CANCELLED=0.02608695652173913, O_CANCELLED=0.008695652173913044, W_Wijzigen contractgegevens=0.008695652173913044};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1488;134;76;0;-1.0;{O_SELECTED=0.25, A_FINALIZED=0.17424242424242425, W_Nabellen offertes=0.17424242424242425, A_DECLINED=0.12878787878787878, O_SENT=0.07575757575757576, W_Completeren aanvraag=0.06818181818181818, O_DECLINED=0.06818181818181818, A_CANCELLED=0.030303030303030304, A_PREACCEPTED=0.022727272727272728, O_CANCELLED=0.007575757575757576};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1883;132;73;0;-1.0;{O_SELECTED=0.2706766917293233, O_SENT=0.15789473684210525, A_DECLINED=0.12781954887218044, A_FINALIZED=0.11278195488721804, W_Nabellen offertes=0.11278195488721804, O_DECLINED=0.07518796992481203, W_Completeren aanvraag=0.06766917293233082, A_CANCELLED=0.03007518796992481, A_PREACCEPTED=0.022556390977443608, O_CANCELLED=0.015037593984962405, O_SENT_BACK=0.007518796992481203};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2132;135;81;0;-1.0;{O_SELECTED=0.27586206896551724, A_FINALIZED=0.1724137931034483, W_Nabellen offertes=0.1724137931034483, A_DECLINED=0.15517241379310345, O_SENT=0.10344827586206896, O_DECLINED=0.08620689655172414, A_CANCELLED=0.017241379310344827, O_CANCELLED=0.017241379310344827};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2569;135;83;0;-1.0;{O_SELECTED=0.2222222222222222, W_Completeren aanvraag=0.16666666666666666, A_FINALIZED=0.14583333333333334, W_Nabellen offertes=0.14583333333333334, A_DECLINED=0.0763888888888889, O_SENT=0.0763888888888889, A_PREACCEPTED=0.05555555555555555, O_DECLINED=0.041666666666666664, A_CANCELLED=0.034722222222222224, W_Beoordelen fraude=0.020833333333333332, O_CANCELLED=0.013888888888888888};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;2642;134;82;0;-1.0;{O_SELECTED=0.32167832167832167, O_SENT=0.1958041958041958, A_FINALIZED=0.1258741258741259, W_Nabellen offertes=0.1258741258741259, A_DECLINED=0.06293706293706294, W_Completeren aanvraag=0.06293706293706294, A_CANCELLED=0.03496503496503497, O_DECLINED=0.03496503496503497, A_PREACCEPTED=0.02097902097902098, O_SENT_BACK=0.006993006993006993, O_CANCELLED=0.006993006993006993};NONALIGNING_KNOWN;{}
