delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;13775;665;584;0;0;-1.0;{Mail to Customer=0.0232163080407701, Status Change=0.16081540203850508, External Vendor Reassignment=5.662514156285391E-4, External Vendor Assignment=0.02491506228765572, Callback Request=0.0011325028312570782, Update=0.0022650056625141564, Quality Indicator=0.01925254813137033, Urgency Change=0.010192525481313703, Open=0.0016987542468856172, Assignment=0.46319365798414497, Notify By Change=0.0028312570781426952, Description Update=0.028312570781426953, Vendor Reference=0.0033975084937712344, Incident reproduction=5.662514156285391E-4, Resolved=0.008493771234428085, Operator Update=0.0033975084937712344, Pending vendor=0.02434881087202718, Vendor Reference Change=5.662514156285391E-4, Analysis/Research=0.00622876557191393, Caused By CI=0.0016987542468856172, Problem Workaround=5.662514156285391E-4, Service Change=0.0016987542468856172, Update from customer=0.0362400906002265, Reassignment=0.005096262740656852, Reopen=0.011325028312570781, Impact Change=0.009626274065685165, Communication with customer=0.037938844847112116, Quality Indicator Fixed=0.04699886749716874, External update=0.010758776896942242, Closed=0.03454133635334088, Affected CI Change=0.0016987542468856172, Communication with vendor=0.0056625141562853904, Quality Indicator Set=0.010758776896942242};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11465;664;611;0;0;-1.0;{Mail to Customer=0.01929260450160772, Status Change=0.1742765273311897, External Vendor Assignment=0.024437299035369776, Update=0.0045016077170418, Quality Indicator=0.019935691318327974, Open=0.0019292604501607716, Urgency Change=0.00707395498392283, Assignment=0.4533762057877814, Description Update=0.028938906752411574, Notify By Change=0.0019292604501607716, Vendor Reference=0.00707395498392283, Contact Change=6.430868167202572E-4, Incident reproduction=6.430868167202572E-4, Resolved=0.010289389067524116, Operator Update=0.005787781350482315, Pending vendor=0.03987138263665595, Analysis/Research=0.003215434083601286, Caused By CI=6.430868167202572E-4, Problem Workaround=0.0019292604501607716, Service Change=0.0019292604501607716, Update from customer=0.023794212218649517, Reopen=0.013504823151125401, Reassignment=0.0038585209003215433, Impact Change=0.00707395498392283, Communication with customer=0.04501607717041801, Quality Indicator Fixed=0.04372990353697749, External update=0.0077170418006430866, Closed=0.027009646302250803, Affected CI Change=0.0019292604501607716, Communication with vendor=0.01157556270096463, Quality Indicator Set=0.006430868167202572, OO Response=6.430868167202572E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13151;664;598;0;0;-1.0;{Mail to Customer=0.02186761229314421, Status Change=0.16134751773049646, External Vendor Assignment=0.030732860520094562, Update=0.002955082742316785, Quality Indicator=0.017139479905437353, Open=0.00591016548463357, Urgency Change=0.0065011820330969266, Assignment=0.46867612293144206, Description Update=0.022458628841607566, Notify By Change=5.91016548463357E-4, Vendor Reference=0.00591016548463357, Contact Change=5.91016548463357E-4, Resolved=0.010638297872340425, Operator Update=0.0035460992907801418, Pending vendor=0.02127659574468085, Analysis/Research=0.008865248226950355, Caused By CI=0.002364066193853428, Problem Workaround=0.001182033096926714, Update from customer=0.037825059101654845, Reassignment=0.0035460992907801418, Reopen=0.014775413711583925, Impact Change=0.0065011820330969266, Communication with customer=0.03605200945626478, Quality Indicator Fixed=0.04609929078014184, External update=0.005319148936170213, Closed=0.03546099290780142, Communication with vendor=0.009456264775413711, Referred=0.001182033096926714, Problem Closure=5.91016548463357E-4, Quality Indicator Set=0.010638297872340425};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8445;665;588;0;0;-1.0;{Mail to Customer=0.026720106880427523, Status Change=0.1516366065464262, External Vendor Assignment=0.02738810955243821, Update=0.0013360053440213762, Quality Indicator=0.02338009352037408, Urgency Change=0.009352037408149633, Assignment=0.4622578490313961, Notify By Change=0.0033400133600534404, Description Update=0.03206412825651302, Vendor Reference=0.0033400133600534404, Contact Change=6.680026720106881E-4, Resolved=0.01603206412825651, Operator Update=0.0026720106880427524, Pending vendor=0.024716098864395457, Analysis/Research=0.005344021376085505, Caused By CI=0.0026720106880427524, Problem Workaround=0.002004008016032064, Service Change=0.002004008016032064, Update from customer=0.026720106880427523, Reopen=0.02004008016032064, Reassignment=0.0026720106880427524, Impact Change=0.01002004008016032, Communication with customer=0.03139612558450234, Quality Indicator Fixed=0.04876419505678023, External update=0.006012024048096192, Closed=0.038744154976619906, Affected CI Change=0.0013360053440213762, Communication with vendor=0.006012024048096192, Quality Indicator Set=0.01068804275217101, OO Response=6.680026720106881E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15438;665;590;0;0;-1.0;{Mail to Customer=0.024358130348913758, Status Change=0.1448321263989467, External Vendor Assignment=0.024358130348913758, Callback Request=0.0019749835418038184, Update=0.0019749835418038184, Quality Indicator=0.017774851876234364, Urgency Change=0.012508229098090849, Open=0.0019749835418038184, Assignment=0.44634628044766295, Description Update=0.028966425279789335, Notify By Change=6.583278472679394E-4, Vendor Reference=0.004608294930875576, Resolved=0.013824884792626729, Operator Update=0.004608294930875576, Pending vendor=0.028308097432521395, Analysis/Research=0.0019749835418038184, Caused By CI=0.0032916392363396972, Problem Workaround=0.0026333113890717576, Update from customer=0.027649769585253458, Reassignment=0.004608294930875576, Reopen=0.02369980250164582, Impact Change=0.009874917709019092, Communication with customer=0.044107965766951945, Quality Indicator Fixed=0.05595786701777485, External update=0.0065832784726793945, Closed=0.0467412771560237, Affected CI Change=0.0013166556945358788, Communication with vendor=0.003949967083607637, OO Response=6.583278472679394E-4, Quality Indicator Set=0.009874917709019092};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8729;666;599;0;0;-1.0;{Mail to Customer=0.023312883435582823, Status Change=0.1638036809815951, External Vendor Reassignment=6.134969325153375E-4, External Vendor Assignment=0.027607361963190184, Callback Request=0.001226993865030675, Update=0.001226993865030675, Quality Indicator=0.01901840490797546, Urgency Change=0.0049079754601227, Open=0.001226993865030675, Assignment=0.449079754601227, Description Update=0.02638036809815951, Notify By Change=0.001226993865030675, Vendor Reference=0.003067484662576687, Resolved=0.015337423312883436, Operator Update=0.0018404907975460123, Pending vendor=0.023312883435582823, Analysis/Research=0.003067484662576687, Caused By CI=0.0049079754601227, Problem Workaround=6.134969325153375E-4, Service Change=6.134969325153375E-4, Update from customer=0.03680981595092025, Reassignment=0.00245398773006135, Reopen=0.015337423312883436, Impact Change=0.0036809815950920245, Communication with customer=0.049079754601226995, Quality Indicator Fixed=0.0558282208588957, External update=0.006748466257668712, Closed=0.03251533742331288, Affected CI Change=0.001226993865030675, Communication with vendor=0.011656441717791411, Quality Indicator Set=0.012269938650306749};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14990;665;615;0;0;-1.0;{Mail to Customer=0.023214285714285715, Status Change=0.15595238095238095, External Vendor Assignment=0.02857142857142857, Update=0.005952380952380952, Quality Indicator=0.016666666666666666, Urgency Change=0.008928571428571428, Open=0.005952380952380952, Assignment=0.4238095238095238, Description Update=0.03571428571428571, Notify By Change=0.0011904761904761906, Vendor Reference=0.01011904761904762, Resolved=0.01369047619047619, Operator Update=0.004761904761904762, Pending vendor=0.03571428571428571, Analysis/Research=0.005357142857142857, Caused By CI=0.0035714285714285713, Problem Workaround=0.0017857142857142857, Service Change=0.0017857142857142857, Update from customer=0.02619047619047619, Reassignment=0.008928571428571428, Reopen=0.01488095238095238, Impact Change=0.007142857142857143, Quality Indicator Fixed=0.04583333333333333, Communication with customer=0.04107142857142857, External update=0.011904761904761904, Closed=0.03571428571428571, Affected CI Change=0.0017857142857142857, Communication with vendor=0.01369047619047619, Quality Indicator Set=0.009523809523809525, OO Response=5.952380952380953E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11591;666;603;0;0;-1.0;{Mail to Customer=0.024662360540223135, Status Change=0.1673517322372284, External Vendor Reassignment=5.871990604815032E-4, External Vendor Assignment=0.03288314738696418, Update=0.0011743981209630064, Quality Indicator=0.020551967116852612, Urgency Change=0.007046388725778039, Open=0.002348796241926013, Assignment=0.46506165590135057, Notify By Change=0.0017615971814445098, Description Update=0.030534351145038167, Vendor Reference=0.005871990604815032, Resolved=0.007633587786259542, Operator Update=0.004110393423370522, Pending vendor=0.022900763358778626, Analysis/Research=0.0017615971814445098, Caused By CI=0.0017615971814445098, Problem Workaround=5.871990604815032E-4, Service Change=5.871990604815032E-4, Update from customer=0.028772753963593658, Reopen=0.012918379330593071, Reassignment=0.004110393423370522, Impact Change=0.005284791544333529, Communication with customer=0.0369935408103347, Quality Indicator Fixed=0.04521432765707575, External update=0.005284791544333529, Closed=0.03464474456840869, Affected CI Change=0.0011743981209630064, Communication with vendor=0.010569583088667059, Referred=5.871990604815032E-4, Quality Indicator Set=0.014679976512037582, OO Response=5.871990604815032E-4};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13863;665;589;0;0;-1.0;{Mail to Customer=0.026396562308164517, Status Change=0.17434008594229589, External Vendor Assignment=0.030079803560466543, Update=0.001841620626151013, Quality Indicator=0.01841620626151013, Urgency Change=0.006752608962553714, Open=0.0024554941682013503, Assignment=0.4622467771639042, Notify By Change=6.138735420503376E-4, Description Update=0.02578268876611418, Vendor Reference=0.00798035604665439, Contact Change=6.138735420503376E-4, Resolved=0.011049723756906077, Operator Update=0.003069367710251688, Pending vendor=0.022099447513812154, Vendor Reference Change=0.0012277470841006752, Analysis/Research=0.0055248618784530384, Caused By CI=0.0012277470841006752, Update from customer=0.020871700429711478, Reassignment=0.003069367710251688, Reopen=0.014732965009208104, Impact Change=0.00798035604665439, Quality Indicator Fixed=0.047268262737875995, Communication with customer=0.034990791896869246, External update=0.01289134438305709, Closed=0.034990791896869246, Affected CI Change=6.138735420503376E-4, Communication with vendor=0.007366482504604052, Referred=6.138735420503376E-4, Problem Closure=6.138735420503376E-4, Quality Indicator Set=0.012277470841006752};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8364;666;604;0;0;-1.0;{Mail to Customer=0.024939172749391728, Status Change=0.16362530413625304, External Vendor Assignment=0.02737226277372263, Update=0.0018248175182481751, Quality Indicator=0.014598540145985401, Urgency Change=0.009124087591240875, Open=0.0030413625304136255, Assignment=0.43795620437956206, Description Update=0.030413625304136254, Notify By Change=0.0018248175182481751, Vendor Reference=0.005474452554744526, Incident reproduction=6.082725060827251E-4, Resolved=0.013990267639902677, Operator Update=0.004257907542579075, Pending vendor=0.032846715328467155, Analysis/Research=0.009124087591240875, Caused By CI=0.0030413625304136255, Problem Workaround=6.082725060827251E-4, Service Change=0.0012165450121654502, Update from customer=0.03467153284671533, Reopen=0.0072992700729927005, Reassignment=0.005474452554744526, Impact Change=0.00851581508515815, Quality Indicator Fixed=0.04744525547445255, Communication with customer=0.04075425790754258, External update=0.01338199513381995, Closed=0.026155717761557177, Affected CI Change=0.0018248175182481751, Communication with vendor=0.010948905109489052, Problem Closure=6.082725060827251E-4, Quality Indicator Set=0.015206812652068127, OO Response=0.0018248175182481751};NONALIGNING_KNOWN;{}
