delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;12469;690;604;0;0;0.8102442411427789;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14366;690;634;0;0;0.8212029725228748;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13307;678;611;0;0;0.8172961385424832;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9007;680;600;0;0;0.8211009731630625;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15967;723;638;0;0;0.815425513999215;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10942;728;654;0;0;0.8133773896823802;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12411;679;628;0;0;0.8132206580091305;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12831;691;627;0;0;0.8170901701587704;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13929;694;617;0;0;0.8097136360071384;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8855;679;613;0;0;0.8105971313932301;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5509;412;368;0;0;0.820289273365046;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6228;413;390;0;0;0.8272651151840155;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6530;404;364;0;0;0.8142983744322294;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4081;404;362;0;0;0.8179564729833299;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5529;452;407;0;0;0.8179097459420966;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6166;452;412;0;0;0.8138564948909301;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6877;405;379;0;0;0.8128654818828253;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;7264;418;385;0;0;0.8221221502268136;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;8974;412;376;0;0;0.8139511596378886;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5023;404;375;0;0;0.8129455183223633;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3628;299;268;0;0;0.8212647594973966;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2453;299;283;0;0;0.8211771470935151;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;4345;288;259;0;0;0.8170998703971174;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2843;306;278;0;0;0.8216609187444375;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3367;336;314;0;0;0.8220716149682605;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;4023;340;314;0;0;0.8138544435483819;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;4131;293;275;0;0;0.8170736351987365;{};NONALIGNING_KNOWN;{}
