delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;13204;690;604;23;0;0.8052683096091846;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;18424;688;633;26;0;0.8165181738795705;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13020;682;615;22;0;0.8124336199782066;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8900;681;601;23;0;0.8139893326064392;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15839;688;611;22;0;0.8124300275056919;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11748;730;656;19;0;0.8113336486105731;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14201;680;628;19;0;0.8098186546495606;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13596;693;629;25;0;0.8112847846303068;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12423;690;612;20;0;0.8074456030120123;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9507;682;614;25;0;0.8048326348908541;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5698;412;367;9;0;0.817774851937419;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6139;410;386;9;0;0.8243469997700684;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6161;403;362;10;0;0.8108349561203424;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4204;409;366;10;0;0.8128799354726328;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6539;451;408;11;0;0.8142665525415671;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5388;405;371;8;0;0.8150503667092475;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;7928;407;382;7;0;0.811135258372077;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;8099;414;381;11;0;0.8159954425875597;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;9726;409;373;6;0;0.8114037245127459;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4450;404;376;10;0;0.8085243027200951;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3817;301;269;2;0;0.8187976191852814;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2340;300;283;3;0;0.8191433704463362;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2832;299;267;4;0;0.8153859759677436;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2727;292;266;4;0;0.8175659175918345;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3551;334;311;7;0;0.8213747748981588;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;5268;341;314;4;0;0.8138544435483819;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;4101;294;275;2;0;0.8154510500992365;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;5612;306;283;5;0;0.8124136898216814;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;4349;300;281;4;0;0.8230246750207236;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3690;289;269;4;0;0.8037640079798367;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1417;161;148;1;0;0.8296030005542047;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1073;161;157;0;0;0.8155914413261244;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1150;151;137;1;0;0.821092439818015;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;803;150;139;2;0;0.8223616151350595;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1540;192;182;2;0;0.8272947046732283;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;2662;200;189;1;0;0.8133591155531715;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1030;150;143;1;0;0.8234626013739305;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;2370;159;152;0;0;0.8230360782745145;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;935;158;151;1;0;0.831094907740931;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;689;152;147;1;0;0.809238669512637;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;678;106;97;0;0;0.8624000907182899;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;783;104;102;0;0;0.8029682257226664;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;657;95;87;0;0;0.8262790880677754;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;463;96;91;1;0;0.8200503663653108;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;1053;139;129;0;0;0.8349570985826638;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;1756;138;133;1;0;0.8157029450815065;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;618;97;92;0;0;0.8319905218991376;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;1881;112;108;0;0;0.8275538314751725;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;542;100;97;0;0;0.8369226283459489;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;467;98;95;0;0;0.8172129826844456;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;266;85;80;0;0;0.864199797778399;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;591;83;82;0;0;0.8005843163052985;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;527;72;67;0;0;0.8287611051710593;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;272;76;75;1;0;0.8044953829428199;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;961;118;111;0;0;0.8326341397105022;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;1236;125;122;1;0;0.8185838105390533;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;364;78;73;0;0;0.8312081715988703;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;627;87;84;0;0;0.8248191711653249;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;466;86;84;0;0;0.8420073825855925;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;253;74;74;0;0;0.8070893559013659;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;210;94;87;0;0;0.8679040232213606;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;676;91;89;0;0;0.7937985237174588;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;582;84;77;0;0;0.8215773177616795;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;357;90;86;1;0;0.8170188886976326;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;987;128;118;0;0;0.8297450496721376;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;1166;133;128;1;0;0.8145143928298119;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;435;84;79;0;0;0.8334936246530673;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;684;92;88;0;0;0.8288357932661619;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;398;92;89;0;0;0.8391236972504704;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;353;85;84;0;0;0.80855881299637;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;162;68;64;0;0;0.8744739018044102;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;383;69;68;0;0;0.8108460869019655;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;439;60;56;0;0;0.8275643890263267;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;141;59;57;0;0;0.8231504920200574;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;783;101;94;0;0;0.8356996352386039;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;223;59;58;0;0;0.8493001083883438;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;218;59;55;0;0;0.8422216779608422;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;459;69;69;0;0;0.8315698930698932;{};NONALIGNING_KNOWN;{}
