delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;176;656;21;2;2;-1.0;{Payment=0.004807692307692308, Appeal to Judge=0.004807692307692308, Add penalty=0.040865384615384616, DUMMY=0.9471153846153846, Insert Fine Notification=0.002403846153846154};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;114;656;27;2;3;-1.0;{Payment=0.012315270935960592, Add penalty=0.03201970443349754, DUMMY=0.9532019704433498, Insert Fine Notification=0.0024630541871921183};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;167;647;30;5;6;-1.0;{Payment=0.004464285714285714, Receive Result Appeal from Prefecture=0.004464285714285714, Appeal to Judge=0.002232142857142857, Add penalty=0.04017857142857143, DUMMY=0.9464285714285714, Insert Fine Notification=0.002232142857142857};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;113;660;24;1;3;-1.0;{Payment=0.005076142131979695, Appeal to Judge=0.0025380710659898475, Add penalty=0.02284263959390863, DUMMY=0.9695431472081218};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;170;646;30;3;4;-1.0;{Payment=0.004576659038901602, Appeal to Judge=0.009153318077803204, Add penalty=0.05034324942791762, DUMMY=0.931350114416476, Insert Fine Notification=0.004576659038901602};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;113;656;29;2;5;-1.0;{Payment=0.009592326139088728, Insert Date Appeal to Prefecture=0.002398081534772182, Receive Result Appeal from Prefecture=0.004796163069544364, Send Appeal to Prefecture=0.007194244604316547, Add penalty=0.04316546762589928, DUMMY=0.9328537170263789};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;166;657;25;2;5;-1.0;{Payment=0.01650943396226415, Receive Result Appeal from Prefecture=0.007075471698113208, Appeal to Judge=0.0023584905660377358, Add penalty=0.03773584905660377, DUMMY=0.9363207547169812};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;111;658;33;3;6;-1.0;{Payment=0.004830917874396135, Insert Date Appeal to Prefecture=0.0024154589371980675, Send Appeal to Prefecture=0.004830917874396135, Appeal to Judge=0.007246376811594203, Add penalty=0.026570048309178744, DUMMY=0.9541062801932367};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;176;656;25;2;5;-1.0;{Payment=0.002421307506053269, Send Appeal to Prefecture=0.002421307506053269, Appeal to Judge=0.002421307506053269, Add penalty=0.026634382566585957, DUMMY=0.9661016949152542};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;112;656;30;1;5;-1.0;{Insert Date Appeal to Prefecture=0.004608294930875576, Receive Result Appeal from Prefecture=0.002304147465437788, Send Appeal to Prefecture=0.002304147465437788, Appeal to Judge=0.002304147465437788, Add penalty=0.03456221198156682, DUMMY=0.9539170506912442};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;66;381;19;1;2;-1.0;{Appeal to Judge=0.004032258064516129, Add penalty=0.036290322580645164, DUMMY=0.9556451612903226, Insert Fine Notification=0.004032258064516129};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;71;381;24;1;4;-1.0;{Payment=0.012658227848101266, Add penalty=0.029535864978902954, DUMMY=0.9578059071729957};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;68;382;24;1;5;-1.0;{Receive Result Appeal from Prefecture=0.003952569169960474, Add penalty=0.03162055335968379, DUMMY=0.9644268774703557};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;67;380;22;0;4;-1.0;{Appeal to Judge=0.0045662100456621, Add penalty=0.0182648401826484, DUMMY=0.9771689497716894};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;67;380;22;0;4;-1.0;{Appeal to Judge=0.004098360655737705, Add penalty=0.04918032786885246, DUMMY=0.9467213114754098};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;67;380;22;1;5;-1.0;{Payment=0.00425531914893617, Receive Result Appeal from Prefecture=0.00425531914893617, Send Appeal to Prefecture=0.00851063829787234, Add penalty=0.04680851063829787, DUMMY=0.9361702127659575};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;67;382;21;0;5;-1.0;{Payment=0.00390625, Receive Result Appeal from Prefecture=0.0078125, Add penalty=0.046875, DUMMY=0.94140625};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;67;382;29;0;7;-1.0;{Insert Date Appeal to Prefecture=0.004149377593360996, Send Appeal to Prefecture=0.008298755186721992, Add penalty=0.03734439834024896, DUMMY=0.950207468879668};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;72;374;24;1;6;-1.0;{Send Appeal to Prefecture=0.004, Appeal to Judge=0.004, Add penalty=0.04, DUMMY=0.952};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;67;376;25;0;5;-1.0;{Insert Date Appeal to Prefecture=0.003968253968253968, Receive Result Appeal from Prefecture=0.003968253968253968, Send Appeal to Prefecture=0.003968253968253968, Appeal to Judge=0.003968253968253968, Add penalty=0.031746031746031744, DUMMY=0.9523809523809523};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;49;268;16;0;2;-1.0;{Add penalty=0.023391812865497075, DUMMY=0.9766081871345029};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;53;268;24;0;4;-1.0;{Payment=0.006097560975609756, Add penalty=0.042682926829268296, DUMMY=0.9512195121951219};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;48;268;21;0;6;-1.0;{Add penalty=0.017045454545454544, DUMMY=0.9829545454545454};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;49;267;20;0;4;-1.0;{Appeal to Judge=0.0064516129032258064, Add penalty=0.01935483870967742, DUMMY=0.9741935483870968};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;48;268;22;0;4;-1.0;{Appeal to Judge=0.005714285714285714, Add penalty=0.045714285714285714, DUMMY=0.9485714285714286};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;48;268;19;0;6;-1.0;{Receive Result Appeal from Prefecture=0.0064516129032258064, Add penalty=0.05161290322580645, DUMMY=0.9419354838709677};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;52;268;20;0;5;-1.0;{Payment=0.005714285714285714, Receive Result Appeal from Prefecture=0.005714285714285714, Add penalty=0.05142857142857143, DUMMY=0.9371428571428572};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;97;249;24;0;4;-1.0;{Insert Date Appeal to Prefecture=0.005649717514124294, Send Appeal to Prefecture=0.011299435028248588, Add penalty=0.03389830508474576, DUMMY=0.9491525423728814};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;49;270;25;1;6;-1.0;{Send Appeal to Prefecture=0.005555555555555556, Appeal to Judge=0.005555555555555556, Add penalty=0.027777777777777776, DUMMY=0.9611111111111111};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;95;259;22;0;5;-1.0;{Insert Date Appeal to Prefecture=0.005780346820809248, Send Appeal to Prefecture=0.005780346820809248, Appeal to Judge=0.005780346820809248, Add penalty=0.023121387283236993, DUMMY=0.9595375722543352};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;26;128;14;0;1;-1.0;{Add penalty=0.036585365853658534, DUMMY=0.9634146341463414};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;25;127;20;0;4;-1.0;{Add penalty=0.05, DUMMY=0.95};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;26;127;15;0;1;-1.0;{DUMMY=1.0};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;25;126;19;0;3;-1.0;{Add penalty=0.030303030303030304, DUMMY=0.9696969696969697};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;26;126;20;0;3;-1.0;{Add penalty=0.047619047619047616, DUMMY=0.9523809523809523};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;25;127;17;0;4;-1.0;{Receive Result Appeal from Prefecture=0.013333333333333334, Add penalty=0.06666666666666667, DUMMY=0.92};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;26;126;16;0;5;-1.0;{Receive Result Appeal from Prefecture=0.011627906976744186, Add penalty=0.046511627906976744, DUMMY=0.9418604651162791};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;26;128;23;0;4;-1.0;{Insert Date Appeal to Prefecture=0.011494252873563218, Add penalty=0.022988505747126436, DUMMY=0.9655172413793104};NONALIGNING_ALL;{}
0.05;0.99;0.01;0.1;78;126;18;1;3;-1.0;{Add penalty=0.022727272727272728, DUMMY=0.9772727272727273};NONALIGNING_ALL;{}
