delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;662;637;21;0;0;0.8660974529845251;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;137;655;29;0;0;0.8649505562952813;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;151;674;27;0;0;0.8520850301961408;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;297;672;24;0;0;0.8719985143062065;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;154;664;30;0;0;0.8595966574761214;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;222;673;27;0;0;0.867080778018278;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;122;669;26;0;0;0.8654951177372701;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;145;656;31;0;0;0.8654965432577371;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;128;667;25;0;0;0.8611783760221257;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;118;673;28;0;0;0.8562905442727398;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;77;401;19;0;0;0.8592001237886526;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;122;396;27;0;0;0.8633093197487138;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;199;399;30;0;0;0.8528921664600057;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;90;384;23;0;0;0.8732490917792426;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;81;395;30;0;0;0.862593292783166;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;73;395;24;0;0;0.8705559950483805;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;72;395;23;0;0;0.8572412186969145;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;71;395;28;0;0;0.8671041451498303;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;71;395;24;0;0;0.8592524704550022;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;72;395;24;0;0;0.8604844440071713;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;52;285;17;0;0;0.8597459758551312;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;53;283;27;0;0;0.8655457910758264;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;58;285;21;0;0;0.8505901116427436;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;56;276;18;0;0;0.8770905923344952;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;52;280;21;0;0;0.8615827635262265;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;101;283;19;0;0;0.8754248695944812;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;50;272;21;0;0;0.8548716649780481;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;52;281;26;0;0;0.8603794320758609;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;54;274;21;0;0;0.8566951929051576;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;53;282;22;0;0;0.8613274343027869;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;28;143;14;0;0;0.8573164682539682;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;28;144;25;0;0;0.8598197257288168;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;29;145;18;0;0;0.8491454725829725;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;40;145;19;0;0;0.8880381604696674;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;141;20;0;0;0.8579464861379753;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;27;141;16;0;0;0.878336686787391;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;28;139;17;0;0;0.8532887975334018;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;30;141;23;0;0;0.8562253743104805;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;28;141;17;0;0;0.8549363953619273;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;28;144;20;0;0;0.8509116462241464;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;88;14;0;0;0.8692370129870127;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;20;86;18;0;0;0.874802209284968;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;18;88;15;0;0;0.8542536115569821;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;20;90;16;0;0;0.8844332298136647;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;78;84;19;0;0;0.8608655548996457;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;20;89;17;0;0;0.8737025147137504;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;89;20;0;0;0.8595505617977528;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;20;86;20;0;0;0.861004983388704;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;85;15;0;0;0.8544745484400654;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;19;91;20;0;0;0.8536375661375661;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;18;70;14;0;0;0.8617494824016562;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;14;66;15;0;0;0.8739767807949625;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;77;68;13;0;0;0.8557247899159662;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;14;63;17;0;0;0.8905328798185941;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;16;67;17;0;0;0.8618627641015699;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;71;67;16;0;0;0.877380952380952;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;14;64;15;0;0;0.8599330357142857;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;17;66;18;0;0;0.8573051948051946;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;66;68;15;0;0;0.867494824016563;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;16;66;17;0;0;0.8377754086709309;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;18;78;18;0;0;0.8671245421245419;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;65;76;18;0;0;0.8696998946998944;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;18;78;16;0;0;0.859569597069597;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;20;74;18;0;0;0.886692759295499;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;17;77;18;0;0;0.8649307359307358;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;17;80;18;0;0;0.8729315476190473;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;17;74;16;0;0;0.8566602316602316;{};NONALIGNING_KNOWN;{}
