delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;196;650;24;0;0;-1.0;{Payment=0.36363636363636365, Insert Date Appeal to Prefecture=0.2159090909090909, Receive Result Appeal from Prefecture=0.056818181818181816, Send Appeal to Prefecture=0.2159090909090909, Notify Result Appeal to Offender=0.056818181818181816, Appeal to Judge=0.022727272727272728, Add penalty=0.022727272727272728, Insert Fine Notification=0.011363636363636364, Send Fine=0.03409090909090909};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;115;657;29;0;0;-1.0;{Payment=0.43373493975903615, Insert Date Appeal to Prefecture=0.20481927710843373, Receive Result Appeal from Prefecture=0.060240963855421686, Send Appeal to Prefecture=0.20481927710843373, Notify Result Appeal to Offender=0.060240963855421686, Add penalty=0.012048192771084338, Send Fine=0.024096385542168676};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;214;650;29;0;0;-1.0;{Payment=0.36046511627906974, Insert Date Appeal to Prefecture=0.23255813953488372, Receive Result Appeal from Prefecture=0.05813953488372093, Send Appeal to Prefecture=0.23255813953488372, Notify Result Appeal to Offender=0.03488372093023256, Appeal to Judge=0.011627906976744186, Add penalty=0.023255813953488372, Insert Fine Notification=0.011627906976744186, Send Fine=0.03488372093023256};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;123;653;24;0;0;-1.0;{Payment=0.5384615384615384, Insert Date Appeal to Prefecture=0.18461538461538463, Receive Result Appeal from Prefecture=0.015384615384615385, Send Appeal to Prefecture=0.18461538461538463, Notify Result Appeal to Offender=0.015384615384615385, Appeal to Judge=0.015384615384615385, Add penalty=0.03076923076923077, Send Fine=0.015384615384615385};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;210;655;34;0;0;-1.0;{Payment=0.39823008849557523, Insert Date Appeal to Prefecture=0.21238938053097345, Receive Result Appeal from Prefecture=0.04424778761061947, Send Appeal to Prefecture=0.21238938053097345, Notify Result Appeal to Offender=0.04424778761061947, Appeal to Judge=0.035398230088495575, Add penalty=0.008849557522123894, Insert Fine Notification=0.008849557522123894, Send Fine=0.035398230088495575};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;118;635;27;0;0;-1.0;{Payment=0.358695652173913, Insert Date Appeal to Prefecture=0.1956521739130435, Receive Result Appeal from Prefecture=0.043478260869565216, Send Appeal to Prefecture=0.1956521739130435, Notify Result Appeal to Offender=0.021739130434782608, Add penalty=0.06521739130434782, Insert Fine Notification=0.03260869565217391, Send Fine=0.08695652173913043};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;117;643;28;0;0;-1.0;{Payment=0.4666666666666667, Insert Date Appeal to Prefecture=0.2, Receive Result Appeal from Prefecture=0.044444444444444446, Send Appeal to Prefecture=0.2, Notify Result Appeal to Offender=0.011111111111111112, Appeal to Judge=0.011111111111111112, Add penalty=0.044444444444444446, Send Fine=0.022222222222222223};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;112;655;36;0;0;-1.0;{Payment=0.4146341463414634, Insert Date Appeal to Prefecture=0.1951219512195122, Receive Result Appeal from Prefecture=0.04878048780487805, Send Appeal to Prefecture=0.18292682926829268, Notify Result Appeal to Offender=0.04878048780487805, Appeal to Judge=0.024390243902439025, Add penalty=0.024390243902439025, Insert Fine Notification=0.012195121951219513, Send Fine=0.04878048780487805};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;113;602;26;0;0;-1.0;{Payment=0.4714285714285714, Insert Date Appeal to Prefecture=0.21428571428571427, Receive Result Appeal from Prefecture=0.02857142857142857, Send Appeal to Prefecture=0.2, Notify Result Appeal to Offender=0.02857142857142857, Appeal to Judge=0.02857142857142857, Add penalty=0.02857142857142857};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;209;657;28;0;0;-1.0;{Payment=0.358695652173913, Insert Date Appeal to Prefecture=0.22826086956521738, Receive Result Appeal from Prefecture=0.06521739130434782, Send Appeal to Prefecture=0.21739130434782608, Notify Result Appeal to Offender=0.05434782608695652, Appeal to Judge=0.010869565217391304, Add penalty=0.03260869565217391, Send Fine=0.03260869565217391};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;68;358;22;0;0;-1.0;{Payment=0.4489795918367347, Insert Date Appeal to Prefecture=0.20408163265306123, Receive Result Appeal from Prefecture=0.04081632653061224, Send Appeal to Prefecture=0.20408163265306123, Notify Result Appeal to Offender=0.04081632653061224, Appeal to Judge=0.02040816326530612, Add penalty=0.02040816326530612, Send Fine=0.02040816326530612};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;159;363;25;0;0;-1.0;{Payment=0.4, Insert Date Appeal to Prefecture=0.2, Receive Result Appeal from Prefecture=0.08, Send Appeal to Prefecture=0.2, Notify Result Appeal to Offender=0.08, Add penalty=0.02, Send Fine=0.02};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;71;383;27;0;0;-1.0;{Payment=0.36585365853658536, Insert Date Appeal to Prefecture=0.1951219512195122, Receive Result Appeal from Prefecture=0.04878048780487805, Send Appeal to Prefecture=0.1951219512195122, Notify Result Appeal to Offender=0.04878048780487805, Add penalty=0.04878048780487805, Insert Fine Notification=0.024390243902439025, Send Fine=0.07317073170731707};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;159;382;23;0;0;-1.0;{Payment=0.7333333333333333, Insert Date Appeal to Prefecture=0.1, Send Appeal to Prefecture=0.1, Appeal to Judge=0.03333333333333333, Send Fine=0.03333333333333333};NONALIGNING_KNOWN;{}
