delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;275;654;22;0;5;-1.0;{Payment=0.36363636363636365, Insert Date Appeal to Prefecture=0.2159090909090909, Receive Result Appeal from Prefecture=0.056818181818181816, Send Appeal to Prefecture=0.2159090909090909, Notify Result Appeal to Offender=0.056818181818181816, Appeal to Judge=0.022727272727272728, Add penalty=0.022727272727272728, Insert Fine Notification=0.011363636363636364, Send Fine=0.03409090909090909};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;113;658;31;0;6;-1.0;{Payment=0.43373493975903615, Insert Date Appeal to Prefecture=0.20481927710843373, Receive Result Appeal from Prefecture=0.060240963855421686, Send Appeal to Prefecture=0.20481927710843373, Notify Result Appeal to Offender=0.060240963855421686, Add penalty=0.012048192771084338, Send Fine=0.024096385542168676};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;165;657;32;0;11;-1.0;{Payment=0.36046511627906974, Insert Date Appeal to Prefecture=0.23255813953488372, Receive Result Appeal from Prefecture=0.05813953488372093, Send Appeal to Prefecture=0.23255813953488372, Notify Result Appeal to Offender=0.03488372093023256, Appeal to Judge=0.011627906976744186, Add penalty=0.023255813953488372, Insert Fine Notification=0.011627906976744186, Send Fine=0.03488372093023256};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;111;657;25;0;4;-1.0;{Payment=0.5384615384615384, Insert Date Appeal to Prefecture=0.18461538461538463, Receive Result Appeal from Prefecture=0.015384615384615385, Send Appeal to Prefecture=0.18461538461538463, Notify Result Appeal to Offender=0.015384615384615385, Appeal to Judge=0.015384615384615385, Add penalty=0.03076923076923077, Send Fine=0.015384615384615385};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;176;656;31;6;1;-1.0;{Payment=0.71900826446281, Insert Date Appeal to Prefecture=0.09917355371900827, Receive Result Appeal from Prefecture=0.02066115702479339, Send Appeal to Prefecture=0.09917355371900827, Notify Result Appeal to Offender=0.02066115702479339, Appeal to Judge=0.01652892561983471, Add penalty=0.004132231404958678, Insert Fine Notification=0.004132231404958678, Send Fine=0.01652892561983471};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;113;656;28;1;6;-1.0;{Payment=0.391304347826087, Insert Date Appeal to Prefecture=0.1956521739130435, Receive Result Appeal from Prefecture=0.043478260869565216, Send Appeal to Prefecture=0.1956521739130435, Notify Result Appeal to Offender=0.021739130434782608, Add penalty=0.03260869565217391, Insert Fine Notification=0.03260869565217391, Send Fine=0.08695652173913043};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;167;656;27;2;5;-1.0;{Payment=0.5111111111111111, Insert Date Appeal to Prefecture=0.2, Receive Result Appeal from Prefecture=0.044444444444444446, Send Appeal to Prefecture=0.2, Notify Result Appeal to Offender=0.011111111111111112, Appeal to Judge=0.011111111111111112, Send Fine=0.022222222222222223};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;113;657;31;1;6;-1.0;{Payment=0.4782608695652174, Insert Date Appeal to Prefecture=0.17391304347826086, Receive Result Appeal from Prefecture=0.043478260869565216, Send Appeal to Prefecture=0.16304347826086957, Notify Result Appeal to Offender=0.043478260869565216, Appeal to Judge=0.021739130434782608, Add penalty=0.021739130434782608, Insert Fine Notification=0.010869565217391304, Send Fine=0.043478260869565216};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;172;654;25;1;6;-1.0;{Payment=0.4714285714285714, Insert Date Appeal to Prefecture=0.21428571428571427, Receive Result Appeal from Prefecture=0.02857142857142857, Send Appeal to Prefecture=0.2, Notify Result Appeal to Offender=0.02857142857142857, Appeal to Judge=0.02857142857142857, Add penalty=0.02857142857142857};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;123;657;27;2;4;-1.0;{Payment=0.6647727272727273, Insert Date Appeal to Prefecture=0.11931818181818182, Receive Result Appeal from Prefecture=0.03409090909090909, Send Appeal to Prefecture=0.11363636363636363, Notify Result Appeal to Offender=0.028409090909090908, Appeal to Judge=0.005681818181818182, Add penalty=0.017045454545454544, Send Fine=0.017045454545454544};NONALIGNING_ALL;{}
