delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;119;654;24;0;0;0.98225635889815;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;245;651;29;0;0;0.9828329376716471;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;123;657;30;0;0;0.9821645679548414;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;113;653;24;0;0;0.9858988276161527;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;113;658;31;0;0;0.9762266608771166;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;117;666;28;0;0;0.9812701976998384;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;177;670;25;0;0;0.9810963041933192;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;183;658;31;0;0;0.9832510954091499;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;111;635;26;0;0;0.9854449901535107;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;113;659;27;0;0;0.9808058977499218;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;69;394;20;0;0;0.9813915075336394;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;150;382;25;0;0;0.9826768054516742;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;71;382;25;0;0;0.9857329842931938;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;69;396;23;0;0;0.9877215189873416;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;143;390;26;0;0;0.9782426013883814;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;70;391;24;0;0;0.9797031514871316;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;69;391;22;0;0;0.9816770186335401;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;71;389;28;0;0;0.9815158124318429;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;159;398;25;0;0;0.9816363563851003;{};NONALIGNING_KNOWN;{}
