delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;1870;161;159;0;0;0.9136523853504984;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;870;134;133;0;0;0.9572410195936141;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1159;137;135;0;0;0.9411171081277214;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1185;137;134;0;0;0.9278505986937591;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1502;163;159;0;0;0.9199715378960666;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1346;165;164;0;0;0.9452802277548287;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;921;137;136;0;0;0.944025535195936;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1421;161;156;0;0;0.9284128745837958;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1227;164;162;0;0;0.9364463548062969;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1428;163;161;0;0;0.9290049573068441;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;5332;693;632;0;0;0.9187978944428691;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4611;667;625;0;0;0.9325042681124573;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4762;660;615;0;0;0.9241169308411378;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4690;661;611;0;0;0.9241169308411374;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4627;690;635;0;0;0.9281948317373805;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4870;694;642;0;0;0.9287651871898394;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4998;663;610;0;0;0.9178934273273888;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4715;693;637;0;0;0.9236278113843186;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4574;693;641;0;0;0.9288317351265359;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4924;692;641;0;0;0.9247818178361139;{};NONALIGNING_KNOWN;{}
