delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;133;129;131;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;132;133;132;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;133;130;131;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;132;133;137;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;179;132;135;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;140;133;134;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;156;133;135;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;135;134;133;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;128;134;132;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;134;135;134;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;662;660;631;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;710;662;636;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;710;663;635;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;693;660;640;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;673;663;628;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;681;663;632;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;663;662;626;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;678;661;637;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;636;666;631;0;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;740;663;637;0;0;1.0;{};NONALIGNING_KNOWN;{}
