delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;79715;137;138;0;0;0.9523472124910749;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;75685;136;137;0;0;0.9512836447666457;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;42556;135;137;0;0;0.9524454050424053;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;42190;136;137;0;0;0.953798088867791;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;34055;137;136;0;0;0.9543623582180981;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;52225;136;137;0;0;0.9517386603542513;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;44133;135;137;0;0;0.953204979053581;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;40579;136;137;0;0;0.9535226698508885;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;49259;136;137;0;0;0.9521949462327961;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;45638;133;137;0;0;0.9520174726370862;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;236645;665;667;0;0;0.9517763649355203;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;231044;666;667;0;0;0.9518871016443429;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;233977;666;667;0;0;0.9516221182050548;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;234887;667;667;0;0;0.9519726435768129;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;235112;663;667;0;0;0.9517103474130865;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;248163;663;667;0;0;0.9513330345296207;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;242526;664;667;0;0;0.9516301722536632;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;229793;662;667;0;0;0.9517068929207039;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;252175;663;667;0;0;0.9512495745915582;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;230817;665;666;0;0;0.9516844409283206;{};NONALIGNING_KNOWN;{}
