delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;16216;134;137;0;0;0.9651955421116334;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16372;134;136;0;0;0.9638044123707904;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16233;132;137;0;0;0.9641793774230106;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;12770;135;137;0;0;0.9679571309974806;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15278;135;137;0;0;0.9655860559718902;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16213;133;137;0;0;0.9648343274662353;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;13476;137;137;0;0;0.9668925632459817;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;17017;135;137;0;0;0.9642840304094393;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14660;135;137;0;0;0.966812720647637;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16705;137;137;0;0;0.9649647958018672;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;87202;664;667;0;0;0.9625622979815536;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;87068;665;667;0;0;0.9626482271479928;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;85285;663;667;0;0;0.9633075706095342;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;81274;664;667;0;0;0.9640252384022757;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;88325;665;667;0;0;0.9625813844478143;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;86957;663;667;0;0;0.9631928451835607;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;84583;664;667;0;0;0.9633084072961259;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;85069;664;667;0;0;0.9632997060855623;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;85032;667;667;0;0;0.9632069710963796;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;88189;665;667;0;0;0.962464279444137;{};NONALIGNING_KNOWN;{}
