log; delta; alpha; epsilon; quality checker; dfDistrib; dep measure; attrib; sample size; times triggered; fitness; time; distToOriginal; original; df repr.; dep measure repr.; attribute repr.;traces avg;traces max;triggers avg;triggers max;time avg;time max;error avg;error max;df rep;dm rep;attr rep
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;673;0;0,945825468;6362;0,0038522;0,949677667;9,27E-05;0,175268858;9,63E-04;684,6;698;0;0;7049,8;9227;0,0024;0,0043;0,0001;0,1862;0,0010
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;684;0;0,947295714;7739;0,002381954;0,949677667;6,23E-05;0,161117236;5,19E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;690;0;0,952543975;8353;0,002866308;0,949677667;1,18E-04;0,188554244;0,001324804;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;687;0;0,95297715;7897;0,003299482;0,949677667;2,92E-04;0,2101021;0,001076682;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;698;0;0,95272638;5773;0,003048713;0,949677667;4,68E-05;0,186261629;0,001293656;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;692;0;0,948418811;6356;0,001258856;0,949677667;7,56E-05;0,176834402;6,86E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;678;0;0,951837991;6077;0,002160323;0,949677667;1,62E-04;0,220997749;0,00154718;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;668;0;0,953970876;5752;0,004293209;0,949677667;3,53E-05;0,168196407;6,76E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;686;0;0,949242268;9227;4,35E-04;0,949677667;1,63E-04;0,19469757;0,001093846;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;FALSE;690;0;0,948838716;6962;8,39E-04;0,949677667;7,72E-05;0,180343424;6,36E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;745;25;0,946158767;7105;0,0035189;0,949677667;6,49E-05;0,174348194;8,81E-04;755,1;793;25,3;34;8050,2;10501;0,0021;0,0040;0,0001;0,1797;0,0009
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;793;31;0,9479582;8198;0,001719468;0,949677667;9,22E-05;0,15923141;4,84E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;772;23;0,952684927;9944;0,00300726;0,949677667;1,02E-04;0,186414692;0,001082346;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;733;23;0,952968836;7270;0,003291168;0,949677667;2,49E-04;0,190936434;0,001042958;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;777;26;0,951864819;7063;0,002187151;0,949677667;4,21E-05;0,178440973;0,001106731;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;740;26;0,949436618;7087;2,41E-04;0,949677667;1,03E-04;0,176456204;6,65E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;710;17;0,951812478;6251;0,00213481;0,949677667;1,29E-04;0,215540704;0,001473123;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;749;34;0,953690746;7258;0,004013079;0,949677667;6,03E-05;0,167000466;6,77E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;760;26;0,949006251;10501;6,71E-04;0,949677667;2,04E-04;0,190584744;0,001110739;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;TRUE;FALSE;FALSE;772;22;0,949684133;9825;6,47E-06;0,949677667;5,42E-05;0,157641557;4,97E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1022;24;0,948208048;9828;0,00146962;0,949677667;4,78E-05;0,155612178;8,41E-04;1071,7;1355;15,7;24;12060,1;18433;0,0012;0,0029;0,0001;0,1566;0,0006
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1052;13;0,948928883;12833;7,49E-04;0,949677667;1,68E-04;0,152483982;4,56E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1320;18;0,948782474;16049;8,95E-04;0,949677667;1,39E-04;0,164058948;3,21E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1174;15;0,950565835;12651;8,88E-04;0,949677667;1,00E-04;0,173732806;4,20E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;765;14;0,952564143;6493;0,002886475;0,949677667;5,23E-05;0,183152904;0,001192601;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1130;20;0,950196289;9807;5,19E-04;0,949677667;3,39E-05;0,135694065;3,74E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;713;9;0,951710615;6450;0,002032947;0,949677667;1,32E-04;0,215540666;0,001473123;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1108;14;0,9494677;12013;2,10E-04;0,949677667;5,37E-05;0,111050547;4,26E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1355;18;0,951677338;18433;0,00199967;0,949677667;4,09E-05;0,146943523;5,21E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;TRUE;FALSE;1078;12;0,948919411;16044;7,58E-04;0,949677667;7,35E-05;0,127924749;3,63E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;TRUE;867;51;0,946707141;8691;0,002970526;0,949677667;4,24E-05;0,171598368;7,09E-04;940,7;1055;50,3;59;10288;13765;0,0014;0,0039;0,0001;0,1644;0,0007
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;TRUE;936;53;0,948995833;11201;6,82E-04;0,949677667;1,82E-04;0,153450297;4,08E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;TRUE;895;44;0,953570641;10788;0,003892974;0,949677667;5,65E-05;0,185471694;8,38E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;TRUE;943;50;0,949824389;10474;1,47E-04;0,949677667;2,18E-04;0,174626672;6,47E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;TRUE;958;51;0,950603195;9187;9,26E-04;0,949677667;5,39E-05;0,167771589;7,83E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;TRUE;1000;51;0,950041956;8597;3,64E-04;0,949677667;5,12E-05;0,158064984;4,31E-04;;;;;;;;;;;
BPI_Challenge_2012;0,01;0,99;0,01;internal;FALSE;FALSE;TRUE;940;59;0,951364741;8851;0,001687073;0,949677667;8,47E-05;0,168268965;0,001057271;;;;;;;;;;;
