delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;4746;659;307;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.2180248246087426, W_Beoordelen fraude+START=0.0017988846914912754, A_PREACCEPTED+COMPLETE=0.007735204173412484, W_Completeren aanvraag+START=0.012592192840438927, O_SENT_BACK+COMPLETE=0.02788271271811477, O_SENT+COMPLETE=0.016369850692570607, W_Nabellen incomplete dossiers+START=1.7988846914912754E-4, O_CANCELLED+COMPLETE=0.002338550098938658, W_Afhandelen leads+SCHEDULE=0.03993524015110631, O_SELECTED+COMPLETE=0.03148048210109732, W_Nabellen offertes+SCHEDULE=0.0581039755351682, W_Nabellen offertes+COMPLETE=0.20003597769382983, A_DECLINED+COMPLETE=0.012232415902140673, W_Nabellen incomplete dossiers+SCHEDULE=0.015830185285123224, W_Beoordelen fraude+COMPLETE=0.004137434790429933, W_Wijzigen contractgegevens+SCHEDULE=5.396654074473826E-4, O_CREATED+COMPLETE=1.7988846914912754E-4, W_Valideren aanvraag+SCHEDULE=0.040115128620255444, W_Afhandelen leads+COMPLETE=0.05018888289260658, A_CANCELLED+COMPLETE=0.008274869580859866, W_Afhandelen leads+START=3.597769382982551E-4, W_Valideren aanvraag+COMPLETE=0.06062241410325598, W_Nabellen offertes+START=0.01529051987767584, A_FINALIZED+COMPLETE=0.015110631408526714, W_Completeren aanvraag+SCHEDULE=0.06673862205432632, W_Nabellen incomplete dossiers+COMPLETE=0.08346824968519517, W_Beoordelen fraude+SCHEDULE=0.002338550098938658, O_DECLINED+COMPLETE=0.008094981111710739};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4592;664;313;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.2089472749866856, W_Beoordelen fraude+START=0.0017752529735487307, A_PREACCEPTED+COMPLETE=0.008166163678324161, W_Completeren aanvraag+START=0.014379549085744719, O_SENT_BACK+COMPLETE=0.030889401739747913, O_SENT+COMPLETE=0.0138469731936801, W_Nabellen incomplete dossiers+START=3.550505947097461E-4, O_CANCELLED+COMPLETE=0.002485354162968223, W_Afhandelen leads+SCHEDULE=0.04242854606781466, O_SELECTED+COMPLETE=0.027516421090005325, W_Nabellen offertes+SCHEDULE=0.054855316882655776, W_Nabellen offertes+COMPLETE=0.1997159595242322, A_DECLINED+COMPLETE=0.011184093733357003, W_Nabellen incomplete dossiers+SCHEDULE=0.018995206816971418, W_Beoordelen fraude+COMPLETE=0.003195455352387715, W_Wijzigen contractgegevens+SCHEDULE=5.325758920646192E-4, W_Valideren aanvraag+SCHEDULE=0.042606071365169536, W_Afhandelen leads+COMPLETE=0.0507722350434937, A_CANCELLED+COMPLETE=0.005858334812710812, W_Afhandelen leads+START=3.550505947097461E-4, W_Valideren aanvraag+COMPLETE=0.07385052369962719, W_Nabellen offertes+START=0.013669447896325227, A_FINALIZED+COMPLETE=0.013669447896325227, W_Completeren aanvraag+SCHEDULE=0.06568436002130304, W_Nabellen incomplete dossiers+COMPLETE=0.08467956683827445, W_Beoordelen fraude+SCHEDULE=0.0017752529735487307, O_DECLINED+COMPLETE=0.0078111130836144155};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4665;664;313;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.2204682511528911, W_Beoordelen fraude+START=0.001418942887548776, A_PREACCEPTED+COMPLETE=0.0072720822986874776, W_Completeren aanvraag+START=0.011883646683221, O_SENT_BACK+COMPLETE=0.02908832919474991, O_SENT+COMPLETE=0.01897836112096488, O_CANCELLED+COMPLETE=0.002128414331323164, W_Afhandelen leads+SCHEDULE=0.040617240156083714, O_SELECTED+COMPLETE=0.030684639943242286, W_Nabellen offertes+SCHEDULE=0.05924086555516141, W_Nabellen offertes+COMPLETE=0.21018091521816246, A_DECLINED+COMPLETE=0.009045760908123448, W_Nabellen incomplete dossiers+SCHEDULE=0.019687832564739268, W_Beoordelen fraude+COMPLETE=0.0035473572188719402, O_CREATED+COMPLETE=5.32103582830791E-4, W_Valideren aanvraag+SCHEDULE=0.04203618304363249, W_Afhandelen leads+COMPLETE=0.05161404753458673, A_CANCELLED+COMPLETE=0.0070947144377438804, A_ACCEPTED+COMPLETE=1.77367860943597E-4, W_Afhandelen leads+START=3.54735721887194E-4, W_Valideren aanvraag+COMPLETE=0.06438453352252572, W_Nabellen offertes+START=0.011883646683221, A_FINALIZED+COMPLETE=0.011706278822277403, W_Completeren aanvraag+SCHEDULE=0.06314295849592054, W_Nabellen incomplete dossiers+COMPLETE=0.07520397304008514, W_Beoordelen fraude+SCHEDULE=0.001418942887548776, O_DECLINED+COMPLETE=0.006207875133025896};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4642;662;324;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.20489604292421193, W_Beoordelen fraude+START=3.3534540576794097E-4, A_PREACCEPTED+COMPLETE=0.005030181086519115, W_Completeren aanvraag+START=0.008383635144198525, O_SENT_BACK+COMPLETE=0.030013413816230718, O_SENT+COMPLETE=0.01659959758551308, W_Nabellen incomplete dossiers+START=5.030181086519115E-4, O_CANCELLED+COMPLETE=0.0013413816230717639, W_Afhandelen leads+SCHEDULE=0.03655264922870557, O_SELECTED+COMPLETE=0.03034875922199866, W_Nabellen offertes+SCHEDULE=0.05617035546613011, W_Nabellen offertes+COMPLETE=0.1936619718309859, A_DECLINED+COMPLETE=0.012240107310529845, W_Nabellen incomplete dossiers+SCHEDULE=0.02062374245472837, W_Beoordelen fraude+COMPLETE=0.0015090543259557343, W_Wijzigen contractgegevens+SCHEDULE=5.030181086519115E-4, O_CREATED+COMPLETE=6.706908115358819E-4, W_Valideren aanvraag+SCHEDULE=0.04393024815560027, W_Afhandelen leads+COMPLETE=0.04443326626425218, A_CANCELLED+COMPLETE=0.0077129443326626424, A_ACCEPTED+COMPLETE=1.6767270288397049E-4, W_Valideren aanvraag+COMPLETE=0.06723675385647217, W_Nabellen offertes+START=0.01374916163648558, A_FINALIZED+COMPLETE=0.01374916163648558, W_Completeren aanvraag+SCHEDULE=0.0613682092555332, W_Nabellen incomplete dossiers+COMPLETE=0.12005365526492287, W_Beoordelen fraude+SCHEDULE=5.030181086519115E-4, O_DECLINED+COMPLETE=0.0077129443326626424};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4434;661;303;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.21109682160573212, W_Beoordelen fraude+START=0.0012860554841080288, A_PREACCEPTED+COMPLETE=0.005879110784493846, W_Completeren aanvraag+START=0.009186110600771633, O_SENT_BACK+COMPLETE=0.029946720558515525, O_SENT+COMPLETE=0.018739665625574133, W_Nabellen incomplete dossiers+START=1.8372221201543268E-4, O_CANCELLED+COMPLETE=0.001653499908138894, W_Afhandelen leads+SCHEDULE=0.042990997611611244, O_SELECTED+COMPLETE=0.033621164798824175, W_Nabellen offertes+SCHEDULE=0.06026088554106192, W_Nabellen offertes+COMPLETE=0.20264559985302222, A_DECLINED+COMPLETE=0.009002388388756201, W_Nabellen incomplete dossiers+SCHEDULE=0.018739665625574133, W_Beoordelen fraude+COMPLETE=0.0020209443321697594, W_Wijzigen contractgegevens+SCHEDULE=1.8372221201543268E-4, O_CREATED+COMPLETE=1.8372221201543268E-4, W_Valideren aanvraag+SCHEDULE=0.04390960867168841, W_Afhandelen leads+COMPLETE=0.05107477494029028, A_CANCELLED+COMPLETE=0.007716332904648172, W_Valideren aanvraag+COMPLETE=0.06595627411354033, W_Nabellen offertes+START=0.014881499173250046, A_FINALIZED+COMPLETE=0.014881499173250046, W_Completeren aanvraag+SCHEDULE=0.06430277420540144, W_Beoordelen fraude+SCHEDULE=0.001102333272092596, W_Nabellen incomplete dossiers+COMPLETE=0.08340988425500644, O_DECLINED+COMPLETE=0.005144221936432115};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4242;663;319;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.2164856685063201, W_Nabellen incomplete dossiers+SCHEDULE=0.018871283603346983, W_Beoordelen fraude+COMPLETE=0.0035606195478013174, W_Beoordelen fraude+START=0.001424247819120527, A_PREACCEPTED+COMPLETE=0.006943208118212569, W_Valideren aanvraag+SCHEDULE=0.04272743457361581, W_Completeren aanvraag+START=0.01121595157557415, W_Afhandelen leads+COMPLETE=0.05679188178743101, A_CANCELLED+COMPLETE=0.0060530532312622395, O_SENT_BACK+COMPLETE=0.029553142246750933, O_SENT+COMPLETE=0.016556880897276124, O_CANCELLED+COMPLETE=0.0023144027060708564, W_Afhandelen leads+SCHEDULE=0.04361758946056614, O_SELECTED+COMPLETE=0.03204557593021186, W_Valideren aanvraag+COMPLETE=0.06907601922734556, W_Nabellen offertes+START=0.01548869503293573, W_Nabellen offertes+SCHEDULE=0.057147943742211146, A_FINALIZED+COMPLETE=0.01548869503293573, W_Completeren aanvraag+SCHEDULE=0.06569343065693431, W_Nabellen incomplete dossiers+COMPLETE=0.08171621862204023, W_Beoordelen fraude+SCHEDULE=0.0010681858643403952, W_Nabellen offertes+COMPLETE=0.18711055723695924, O_DECLINED+COMPLETE=0.0072992700729927005, A_DECLINED+COMPLETE=0.011750044507744348};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4450;662;300;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.21861430998678497, A_PREACCEPTED+COMPLETE=0.00585236926562205, W_Completeren aanvraag+START=0.009628091372474987, O_SENT_BACK+COMPLETE=0.02982820464413819, O_SENT+COMPLETE=0.01812346611289409, W_Nabellen incomplete dossiers+START=1.8878610534264677E-4, O_CANCELLED+COMPLETE=0.001699074948083821, O_SELECTED+COMPLETE=0.034170285067019066, W_Afhandelen leads+SCHEDULE=0.0439871625448367, W_Nabellen offertes+SCHEDULE=0.05795733434019256, W_Nabellen offertes+COMPLETE=0.19463847460826883, A_DECLINED+COMPLETE=0.011327166320558807, W_Nabellen incomplete dossiers+SCHEDULE=0.01868982442892203, W_Beoordelen fraude+COMPLETE=0.0011327166320558807, O_CREATED+COMPLETE=3.7757221068529355E-4, W_Valideren aanvraag+SCHEDULE=0.03926750991127053, W_Afhandelen leads+COMPLETE=0.05720218991882198, A_CANCELLED+COMPLETE=0.007929016424391165, W_Valideren aanvraag+COMPLETE=0.06003398149896168, W_Nabellen offertes+START=0.016235605059467622, A_FINALIZED+COMPLETE=0.016046818954124978, W_Completeren aanvraag+SCHEDULE=0.06569756465924108, W_Nabellen incomplete dossiers+COMPLETE=0.08306588635076459, W_Beoordelen fraude+SCHEDULE=5.663583160279403E-4, O_DECLINED+COMPLETE=0.007740230319048518};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4803;662;332;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.20667808219178083, W_Beoordelen fraude+START=0.0015410958904109589, A_PREACCEPTED+COMPLETE=0.005479452054794521, W_Completeren aanvraag+START=0.010102739726027397, O_SENT_BACK+COMPLETE=0.030308219178082192, O_SENT+COMPLETE=0.016952054794520548, W_Nabellen incomplete dossiers+START=6.849315068493151E-4, O_CANCELLED+COMPLETE=0.0015410958904109589, W_Afhandelen leads+SCHEDULE=0.0410958904109589, O_SELECTED+COMPLETE=0.029623287671232876, W_Nabellen offertes+SCHEDULE=0.05787671232876712, W_Nabellen offertes+COMPLETE=0.2035958904109589, A_DECLINED+COMPLETE=0.011643835616438357, W_Nabellen incomplete dossiers+SCHEDULE=0.01934931506849315, W_Beoordelen fraude+COMPLETE=0.003424657534246575, O_CREATED+COMPLETE=6.849315068493151E-4, W_Valideren aanvraag+SCHEDULE=0.04246575342465753, W_Afhandelen leads+COMPLETE=0.05136986301369863, A_CANCELLED+COMPLETE=0.006335616438356164, W_Valideren aanvraag+COMPLETE=0.06455479452054795, W_Nabellen offertes+START=0.012842465753424657, A_FINALIZED+COMPLETE=0.012671232876712329, W_Completeren aanvraag+SCHEDULE=0.062157534246575344, W_Nabellen incomplete dossiers+COMPLETE=0.09726027397260274, W_Beoordelen fraude+SCHEDULE=0.0015410958904109589, O_DECLINED+COMPLETE=0.00821917808219178};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5354;661;321;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.22696629213483147, W_Beoordelen fraude+START=0.001382886776145203, A_PREACCEPTED+COMPLETE=0.0076058772687986175, W_Completeren aanvraag+START=0.011754537597234226, O_SENT_BACK+COMPLETE=0.025756266205704408, O_SENT+COMPLETE=0.016421780466724288, W_Nabellen incomplete dossiers+START=3.4572169403630077E-4, O_CANCELLED+COMPLETE=0.0012100259291270526, W_Afhandelen leads+SCHEDULE=0.04338807260155575, O_SELECTED+COMPLETE=0.03128781331028522, W_Nabellen offertes+SCHEDULE=0.05445116681071737, W_Nabellen offertes+COMPLETE=0.20777873811581676, A_DECLINED+COMPLETE=0.007260155574762317, W_Nabellen incomplete dossiers+SCHEDULE=0.01884183232497839, W_Beoordelen fraude+COMPLETE=0.0024200518582541053, W_Wijzigen contractgegevens+SCHEDULE=1.7286084701815038E-4, O_CREATED+COMPLETE=1.7286084701815038E-4, W_Valideren aanvraag+SCHEDULE=0.038202247191011236, W_Afhandelen leads+COMPLETE=0.05393258426966292, A_CANCELLED+COMPLETE=0.00881590319792567, A_ACCEPTED+COMPLETE=3.4572169403630077E-4, W_Valideren aanvraag+COMPLETE=0.05687121866897148, W_Nabellen offertes+START=0.014866032843560934, A_FINALIZED+COMPLETE=0.014866032843560934, W_Completeren aanvraag+SCHEDULE=0.0637856525496975, W_Nabellen incomplete dossiers+COMPLETE=0.0853932584269663, W_Beoordelen fraude+SCHEDULE=8.64304235090752E-4, O_DECLINED+COMPLETE=0.0048401037165082105};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5301;665;310;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.21110312612288898, W_Beoordelen fraude+START=0.0016169601149838304, A_PREACCEPTED+COMPLETE=0.006827164929931728, W_Completeren aanvraag+START=0.01167804527488322, O_SENT_BACK+COMPLETE=0.02982393100970176, O_SENT+COMPLETE=0.021918792669780814, W_Nabellen incomplete dossiers+START=3.5932446999640676E-4, O_CANCELLED+COMPLETE=0.0017966223499820337, W_Afhandelen leads+SCHEDULE=0.03916636722960833, O_SELECTED+COMPLETE=0.03683075817463169, W_Nabellen offertes+SCHEDULE=0.06126482213438735, W_Nabellen offertes+COMPLETE=0.1965504850880345, A_DECLINED+COMPLETE=0.010240747394897592, W_Nabellen incomplete dossiers+SCHEDULE=0.019223859144807762, W_Beoordelen fraude+COMPLETE=0.002335609054976644, W_Wijzigen contractgegevens+SCHEDULE=3.5932446999640676E-4, O_CREATED+COMPLETE=3.5932446999640676E-4, W_Valideren aanvraag+SCHEDULE=0.04078332734459217, W_Afhandelen leads+COMPLETE=0.051563061444484366, A_CANCELLED+COMPLETE=0.005928853754940711, W_Valideren aanvraag+COMPLETE=0.06198347107438017, W_Nabellen offertes+START=0.01491196550485088, A_FINALIZED+COMPLETE=0.01491196550485088, W_Completeren aanvraag+SCHEDULE=0.06539705353934602, W_Nabellen incomplete dossiers+COMPLETE=0.08587854832914121, W_Beoordelen fraude+SCHEDULE=8.983111749910168E-4, O_DECLINED+COMPLETE=0.006288178224937119};NONALIGNING_KNOWN;{}
