delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;4222;659;308;102;-1.0;{W_Completeren aanvraag+COMPLETE=0.20013375689684, W_Beoordelen fraude+START=0.0016719612104999163, A_PREACCEPTED+COMPLETE=0.007022237084099649, W_Completeren aanvraag+START=0.032268851362648385, O_SENT_BACK+COMPLETE=0.026082594883798695, O_SENT+COMPLETE=0.016385219862899182, O_DECLINED=6.687844841999665E-4, A_ACTIVATED+COMPLETE=0.0016719612104999163, W_Nabellen incomplete dossiers+START=8.359806052499582E-4, O_CANCELLED+COMPLETE=0.006855040963049657, W_Afhandelen leads+SCHEDULE=0.03678314663099816, O_SELECTED+COMPLETE=0.03327202808894834, A_REGISTERED+COMPLETE=0.0030095301788998496, W_Nabellen offertes+SCHEDULE=0.054673131583347266, W_Nabellen offertes+COMPLETE=0.1860892827286407, A_DECLINED+COMPLETE=0.013542885805049323, W_Nabellen incomplete dossiers+SCHEDULE=0.014211670289249289, W_Beoordelen fraude+COMPLETE=0.003845510784149808, W_Wijzigen contractgegevens+SCHEDULE=5.015883631499749E-4, O_CREATED+COMPLETE=6.687844841999665E-4, W_Valideren aanvraag+SCHEDULE=0.03728473499414814, O_ACCEPTED+COMPLETE=0.0020063534525998996, W_Afhandelen leads+COMPLETE=0.04614612940979769, A_CANCELLED+COMPLETE=0.01220531683664939, A_ACCEPTED+COMPLETE=0.0025079418157498744, A_APPROVED+COMPLETE=0.0010031767262999498, W_Valideren aanvraag+START=0.0020063534525998996, W_Afhandelen leads+START=0.007356629326199632, W_Valideren aanvraag+COMPLETE=0.056846681156997154, W_Nabellen offertes+START=0.02624979100484869, A_FINALIZED+COMPLETE=0.016552415983949173, W_Completeren aanvraag+SCHEDULE=0.0620297609095469, W_Nabellen incomplete dossiers+COMPLETE=0.07791339240929611, W_Beoordelen fraude+SCHEDULE=0.0021735495736498914, O_DECLINED+COMPLETE=0.007523825447249624};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;4242;662;315;97;-1.0;{W_Completeren aanvraag+COMPLETE=0.19508114438681612, W_Beoordelen fraude+START=0.0011711560983771122, A_PREACCEPTED+COMPLETE=0.007026936590262674, W_Completeren aanvraag+START=0.02877697841726619, O_SENT_BACK+COMPLETE=0.029111594445373933, O_SENT+COMPLETE=0.013719257152417601, O_DECLINED=3.3461602810774636E-4, A_ACTIVATED+COMPLETE=6.692320562154927E-4, W_Nabellen incomplete dossiers+START=0.001003848084323239, O_CANCELLED+COMPLETE=0.004851932407562322, W_Afhandelen leads+SCHEDULE=0.039819307344821815, O_SELECTED+COMPLETE=0.03045005855780492, A_REGISTERED+COMPLETE=0.0016730801405387319, W_Nabellen offertes+SCHEDULE=0.05169817634264681, W_Nabellen offertes+COMPLETE=0.1878868997824996, A_DECLINED+COMPLETE=0.013217333110255981, W_Nabellen incomplete dossiers+SCHEDULE=0.01773464948971056, W_Beoordelen fraude+COMPLETE=0.0030115442529697173, W_Wijzigen contractgegevens+SCHEDULE=5.019240421616195E-4, O_CREATED+COMPLETE=5.019240421616195E-4, W_Valideren aanvraag+SCHEDULE=0.039819307344821815, O_ACCEPTED+COMPLETE=0.002007696168646478, W_Afhandelen leads+COMPLETE=0.04734816797724611, A_CANCELLED+COMPLETE=0.010707712899447884, A_APPROVED+COMPLETE=0.002676928224861971, A_ACCEPTED+COMPLETE=0.0016730801405387319, W_Valideren aanvraag+START=0.0016730801405387319, W_Afhandelen leads+START=0.008198092688639786, W_Valideren aanvraag+COMPLETE=0.06943282583235737, W_Nabellen offertes+START=0.025096202108080976, A_FINALIZED+COMPLETE=0.015057721264848587, W_Completeren aanvraag+SCHEDULE=0.06207127321398695, W_Nabellen incomplete dossiers+COMPLETE=0.07696168646478166, W_Beoordelen fraude+SCHEDULE=0.0016730801405387319, O_DECLINED+COMPLETE=0.00736155261837042};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;4427;665;311;97;-1.0;{W_Completeren aanvraag+COMPLETE=0.20486916197416363, W_Beoordelen fraude+START=0.001324942033786022, A_PREACCEPTED+COMPLETE=0.00728718118582312, W_Completeren aanvraag+START=0.03030804902285525, O_SENT_BACK+COMPLETE=0.026995693938390197, O_SENT+COMPLETE=0.017555481947664788, O_DECLINED=3.312355084465055E-4, A_ACTIVATED+COMPLETE=9.937065253395165E-4, W_Nabellen incomplete dossiers+START=0.001987413050679033, O_CANCELLED+COMPLETE=0.004802914872474329, W_Afhandelen leads+SCHEDULE=0.0364359059291156, O_SELECTED+COMPLETE=0.03196422656508778, A_REGISTERED+COMPLETE=9.937065253395165E-4, W_Nabellen offertes+SCHEDULE=0.054488241139450146, W_Nabellen offertes+COMPLETE=0.19609142100033122, A_DECLINED+COMPLETE=0.011262007287181186, W_Nabellen incomplete dossiers+SCHEDULE=0.0182179529645578, W_Beoordelen fraude+COMPLETE=0.0033123550844650546, O_CREATED+COMPLETE=0.001324942033786022, W_Valideren aanvraag+SCHEDULE=0.0392514077509109, O_ACCEPTED+COMPLETE=0.0016561775422325273, W_Afhandelen leads+COMPLETE=0.04686982444518052, A_CANCELLED+COMPLETE=0.012255713812520701, A_ACCEPTED+COMPLETE=9.937065253395165E-4, A_APPROVED+COMPLETE=9.937065253395165E-4, W_Valideren aanvraag+START=0.0023186485591255384, W_Afhandelen leads+START=0.006459092414706857, W_Valideren aanvraag+COMPLETE=0.06028486253726399, W_Nabellen offertes+START=0.02865187148062272, A_FINALIZED+COMPLETE=0.012421331566743955, W_Completeren aanvraag+SCHEDULE=0.058959920503477974, W_Nabellen incomplete dossiers+COMPLETE=0.07121563431599867, W_Beoordelen fraude+SCHEDULE=0.001324942033786022, O_DECLINED+COMPLETE=0.005796621397813845};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;4414;662;323;103;-1.0;{W_Completeren aanvraag+COMPLETE=0.19026336791699922, W_Beoordelen fraude+START=6.384676775738228E-4, A_PREACCEPTED+COMPLETE=0.004948124501197127, W_Completeren aanvraag+START=0.02857142857142857, O_SENT_BACK+COMPLETE=0.02825219473264166, O_SENT+COMPLETE=0.01596169193934557, O_DECLINED=6.384676775738228E-4, A_ACTIVATED+COMPLETE=6.384676775738228E-4, W_Nabellen incomplete dossiers+START=0.0015961691939345571, O_CANCELLED+COMPLETE=0.003830806065442937, W_Afhandelen leads+SCHEDULE=0.035913806863527534, O_SELECTED+COMPLETE=0.03256185155626497, A_REGISTERED+COMPLETE=0.0022346368715083797, W_Nabellen offertes+SCHEDULE=0.052992817238627296, W_Nabellen offertes+COMPLETE=0.1833998403830806, A_DECLINED+COMPLETE=0.012609736632083, W_Nabellen incomplete dossiers+SCHEDULE=0.018675179569034316, W_Beoordelen fraude+COMPLETE=0.0015961691939345571, W_Wijzigen contractgegevens+SCHEDULE=4.7885075818036713E-4, O_CREATED+COMPLETE=0.0011173184357541898, W_Valideren aanvraag+SCHEDULE=0.040702314445331206, O_ACCEPTED+COMPLETE=0.0012769353551476455, W_Afhandelen leads+COMPLETE=0.04261771747805267, A_CANCELLED+COMPLETE=0.01005586592178771, A_ACCEPTED+COMPLETE=0.0019154030327214685, A_APPROVED+COMPLETE=0.0019154030327214685, W_Valideren aanvraag+START=0.004948124501197127, W_Afhandelen leads+START=0.0067039106145251395, W_Valideren aanvraag+COMPLETE=0.06272944932162809, W_Nabellen offertes+START=0.025538707102952914, A_FINALIZED+COMPLETE=0.013727055067837191, W_Completeren aanvraag+SCHEDULE=0.05826017557861133, W_Nabellen incomplete dossiers+COMPLETE=0.10502793296089385, W_Beoordelen fraude+SCHEDULE=4.7885075818036713E-4, O_DECLINED+COMPLETE=0.007182761372705506};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;4822;662;302;95;-1.0;{W_Completeren aanvraag+COMPLETE=0.1963766877456845, W_Beoordelen fraude+START=0.0011963766877456845, A_PREACCEPTED+COMPLETE=0.007007349171081866, W_Completeren aanvraag+START=0.038625875918646385, O_SENT_BACK+COMPLETE=0.028200307639719705, O_SENT+COMPLETE=0.018116561271577507, O_DECLINED=1.7091095539224064E-4, A_ACTIVATED+COMPLETE=0.0017091095539224065, W_Nabellen incomplete dossiers+START=0.0011963766877456845, O_CANCELLED+COMPLETE=0.0035891300632370535, W_Afhandelen leads+SCHEDULE=0.03913860878482311, O_SELECTED+COMPLETE=0.03247308152452572, A_REGISTERED+COMPLETE=0.002392753375491369, W_Nabellen offertes+SCHEDULE=0.05605879336865493, W_Nabellen offertes+COMPLETE=0.1888566057084259, A_DECLINED+COMPLETE=0.009912835412749958, W_Nabellen incomplete dossiers+SCHEDULE=0.018287472226969748, W_Beoordelen fraude+COMPLETE=0.0018800205093146471, W_Wijzigen contractgegevens+SCHEDULE=1.7091095539224064E-4, O_CREATED+COMPLETE=0.0010254657323534439, W_Valideren aanvraag+SCHEDULE=0.04170227311570672, O_ACCEPTED+COMPLETE=6.836438215689625E-4, W_Afhandelen leads+COMPLETE=0.046145957955904975, A_CANCELLED+COMPLETE=0.0109383011451034, A_APPROVED+COMPLETE=0.001367287643137925, A_ACCEPTED+COMPLETE=0.0015381985985301657, W_Valideren aanvraag+START=0.0017091095539224065, W_Afhandelen leads+START=0.004272773884806016, W_Valideren aanvraag+COMPLETE=0.06289523158434455, W_Nabellen offertes+START=0.02170569133481456, A_FINALIZED+COMPLETE=0.014014698342163732, W_Completeren aanvraag+SCHEDULE=0.05998974534267647, W_Beoordelen fraude+SCHEDULE=0.0010254657323534439, W_Nabellen incomplete dossiers+COMPLETE=0.08101179285592207, O_DECLINED+COMPLETE=0.004614595795590497};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;3753;665;320;107;-1.0;{W_Completeren aanvraag+COMPLETE=0.19940029985007496, W_Beoordelen fraude+START=0.0013326669998334167, A_PREACCEPTED+COMPLETE=0.006330168249208729, W_Completeren aanvraag+START=0.03248375812093953, O_SENT_BACK+COMPLETE=0.027652840246543395, O_SENT+COMPLETE=0.016325170747959354, O_DECLINED=3.331667499583542E-4, A_ACTIVATED+COMPLETE=9.995002498750624E-4, W_Nabellen incomplete dossiers+START=0.002332167249708479, O_CANCELLED+COMPLETE=0.005497251374312844, W_Afhandelen leads+SCHEDULE=0.04014659336998168, O_SELECTED+COMPLETE=0.03464934199566883, A_REGISTERED+COMPLETE=0.0013326669998334167, W_Nabellen offertes+SCHEDULE=0.05363984674329502, W_Nabellen offertes+COMPLETE=0.17524571047809429, A_DECLINED+COMPLETE=0.011494252873563218, W_Nabellen incomplete dossiers+SCHEDULE=0.017324670997834416, W_Beoordelen fraude+COMPLETE=0.0033316674995835416, W_Wijzigen contractgegevens+SCHEDULE=1.665833749791771E-4, O_CREATED+COMPLETE=3.331667499583542E-4, W_Valideren aanvraag+SCHEDULE=0.03948025987006497, O_ACCEPTED+COMPLETE=0.0016658337497917708, W_Afhandelen leads+COMPLETE=0.052640346493419955, A_CANCELLED+COMPLETE=0.008995502248875561, A_ACCEPTED+COMPLETE=0.0011660836248542396, A_APPROVED+COMPLETE=0.0029985007496251873, W_Valideren aanvraag+START=0.0033316674995835416, W_Afhandelen leads+START=0.009495252373813094, W_Valideren aanvraag+COMPLETE=0.06330168249208729, W_Nabellen offertes+START=0.0261535898717308, A_FINALIZED+COMPLETE=0.01665833749791771, W_Completeren aanvraag+SCHEDULE=0.06130268199233716, W_Nabellen incomplete dossiers+COMPLETE=0.07462935199067133, W_Beoordelen fraude+SCHEDULE=9.995002498750624E-4, O_DECLINED+COMPLETE=0.00682991837414626};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;4013;664;301;104;-1.0;{W_Completeren aanvraag+COMPLETE=0.20371669004207574, A_PREACCEPTED+COMPLETE=0.006136044880785414, W_Completeren aanvraag+START=0.04014726507713885, O_SENT_BACK+COMPLETE=0.02699859747545582, O_SENT+COMPLETE=0.016830294530154277, O_DECLINED=0.0010518934081346423, A_ACTIVATED+COMPLETE=7.012622720897616E-4, W_Nabellen incomplete dossiers+START=7.012622720897616E-4, O_CANCELLED+COMPLETE=0.004032258064516129, O_SELECTED+COMPLETE=0.032433380084151475, W_Afhandelen leads+SCHEDULE=0.04067321178120617, A_REGISTERED+COMPLETE=7.012622720897616E-4, W_Nabellen offertes+SCHEDULE=0.05364656381486676, W_Nabellen offertes+COMPLETE=0.1796984572230014, A_DECLINED+COMPLETE=0.014200561009817671, W_Nabellen incomplete dossiers+SCHEDULE=0.015953716690042075, W_Beoordelen fraude+COMPLETE=0.0010518934081346423, O_CREATED+COMPLETE=5.259467040673212E-4, W_Valideren aanvraag+SCHEDULE=0.03506311360448808, O_ACCEPTED+COMPLETE=0.001402524544179523, W_Afhandelen leads+COMPLETE=0.05434782608695652, A_CANCELLED+COMPLETE=0.014200561009817671, A_APPROVED+COMPLETE=0.0017531556802244039, A_ACCEPTED+COMPLETE=5.259467040673212E-4, W_Valideren aanvraag+START=0.00438288920056101, W_Afhandelen leads+START=0.0091164095371669, W_Valideren aanvraag+COMPLETE=0.05399719495091164, W_Nabellen offertes+START=0.025946704067321177, A_FINALIZED+COMPLETE=0.01805750350631136, W_Completeren aanvraag+SCHEDULE=0.060659186535764374, W_Nabellen incomplete dossiers+COMPLETE=0.07345722300140252, W_Beoordelen fraude+SCHEDULE=5.259467040673212E-4, O_DECLINED+COMPLETE=0.007363253856942496};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;4902;662;333;106;-1.0;{W_Completeren aanvraag+COMPLETE=0.1933428889950629, W_Beoordelen fraude+START=0.001433349259436216, A_PREACCEPTED+COMPLETE=0.0033444816053511705, W_Completeren aanvraag+START=0.027392896958114348, O_SENT_BACK+COMPLETE=0.027870680044593088, O_SENT+COMPLETE=0.015448319796145884, O_DECLINED=3.1852205765249244E-4, A_ACTIVATED+COMPLETE=0.0031852205765249245, W_Nabellen incomplete dossiers+START=0.0025481764612199395, O_CANCELLED+COMPLETE=0.003981525720656155, W_Afhandelen leads+SCHEDULE=0.038381907947125336, O_SELECTED+COMPLETE=0.031692944736423, A_REGISTERED+COMPLETE=0.0015926102882624622, W_Nabellen offertes+SCHEDULE=0.05335244465679248, W_Nabellen offertes+COMPLETE=0.1915910176779742, A_DECLINED+COMPLETE=0.014811275680840898, W_Nabellen incomplete dossiers+SCHEDULE=0.017359452142060836, W_Beoordelen fraude+COMPLETE=0.0031852205765249245, O_CREATED+COMPLETE=9.555661729574773E-4, W_Valideren aanvraag+SCHEDULE=0.03901895206243032, O_ACCEPTED+COMPLETE=0.0019111323459149545, W_Afhandelen leads+COMPLETE=0.047459786590221376, A_CANCELLED+COMPLETE=0.01178531613314222, A_APPROVED+COMPLETE=0.0012740882306099697, A_ACCEPTED+COMPLETE=7.963051441312311E-4, W_Valideren aanvraag+START=0.0015926102882624622, W_Afhandelen leads+START=0.004459308807134894, W_Valideren aanvraag+COMPLETE=0.05860805860805861, W_Nabellen offertes+START=0.030100334448160536, A_FINALIZED+COMPLETE=0.016563146997929608, W_Completeren aanvraag+SCHEDULE=0.057811753463927376, W_Beoordelen fraude+SCHEDULE=0.001433349259436216, W_Nabellen incomplete dossiers+COMPLETE=0.08775282688326166, O_DECLINED+COMPLETE=0.007644529383659818};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;5336;663;321;119;-1.0;{W_Completeren aanvraag+COMPLETE=0.20654752490906214, W_Beoordelen fraude+START=0.0012652222046496916, A_PREACCEPTED+COMPLETE=0.007116874901154515, W_Completeren aanvraag+START=0.03384469397437925, O_SENT_BACK+COMPLETE=0.023722916337181717, O_SENT+COMPLETE=0.015657124782539934, A_ACTIVATED+COMPLETE=0.0012652222046496916, W_Nabellen incomplete dossiers+START=0.0022141388581369604, O_CANCELLED+COMPLETE=0.005535347145342401, W_Afhandelen leads+SCHEDULE=0.04127787442669619, O_SELECTED+COMPLETE=0.03257947176972956, A_REGISTERED+COMPLETE=0.0022141388581369604, W_Nabellen offertes+SCHEDULE=0.04981812430808161, W_Nabellen offertes+COMPLETE=0.18851810849280404, A_DECLINED+COMPLETE=0.009014708208129052, W_Nabellen incomplete dossiers+SCHEDULE=0.017238652538352047, W_Beoordelen fraude+COMPLETE=0.0022141388581369604, W_Wijzigen contractgegevens+SCHEDULE=1.5815277558121145E-4, O_CREATED+COMPLETE=6.326111023248458E-4, W_Valideren aanvraag+SCHEDULE=0.03479361062786652, O_ACCEPTED+COMPLETE=0.0012652222046496916, W_Afhandelen leads+COMPLETE=0.05029258263482524, A_CANCELLED+COMPLETE=0.017238652538352047, A_APPROVED+COMPLETE=0.0015815277558121146, A_ACCEPTED+COMPLETE=0.0012652222046496916, W_Valideren aanvraag+START=0.003479361062786652, W_Afhandelen leads+START=0.011861458168590858, W_Valideren aanvraag+COMPLETE=0.0525067214929622, W_Nabellen offertes+START=0.025620749644156254, A_FINALIZED+COMPLETE=0.015024513680215087, W_Completeren aanvraag+SCHEDULE=0.05835837418946702, W_Nabellen incomplete dossiers+COMPLETE=0.08065791554641784, W_Beoordelen fraude+SCHEDULE=7.907638779060573E-4, O_DECLINED+COMPLETE=0.004428277716273921};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;5250;665;310;94;-1.0;{W_Completeren aanvraag+COMPLETE=0.19948979591836735, W_Beoordelen fraude+START=0.001530612244897959, A_PREACCEPTED+COMPLETE=0.006462585034013605, W_Completeren aanvraag+START=0.031292517006802724, O_SENT_BACK+COMPLETE=0.02806122448979592, O_SENT+COMPLETE=0.02074829931972789, O_DECLINED=1.7006802721088434E-4, A_ACTIVATED+COMPLETE=0.0010204081632653062, W_Nabellen incomplete dossiers+START=0.0013605442176870747, O_CANCELLED+COMPLETE=0.0037414965986394557, W_Afhandelen leads+SCHEDULE=0.03758503401360544, O_SELECTED+COMPLETE=0.036224489795918365, A_REGISTERED+COMPLETE=0.0020408163265306124, W_Nabellen offertes+SCHEDULE=0.05765306122448979, W_Nabellen offertes+COMPLETE=0.18571428571428572, A_DECLINED+COMPLETE=0.010374149659863946, W_Nabellen incomplete dossiers+SCHEDULE=0.017687074829931974, W_Beoordelen fraude+COMPLETE=0.002210884353741497, W_Wijzigen contractgegevens+SCHEDULE=3.401360544217687E-4, O_CREATED+COMPLETE=8.503401360544217E-4, W_Valideren aanvraag+SCHEDULE=0.03792517006802721, O_ACCEPTED+COMPLETE=0.0013605442176870747, W_Afhandelen leads+COMPLETE=0.04863945578231293, A_CANCELLED+COMPLETE=0.00935374149659864, A_ACCEPTED+COMPLETE=6.802721088435374E-4, A_APPROVED+COMPLETE=6.802721088435374E-4, W_Valideren aanvraag+START=0.003401360544217687, W_Afhandelen leads+START=0.00510204081632653, W_Valideren aanvraag+COMPLETE=0.05714285714285714, W_Nabellen offertes+START=0.02738095238095238, A_FINALIZED+COMPLETE=0.01683673469387755, W_Completeren aanvraag+SCHEDULE=0.06190476190476191, W_Nabellen incomplete dossiers+COMPLETE=0.07840136054421769, W_Beoordelen fraude+SCHEDULE=8.503401360544217E-4, O_DECLINED+COMPLETE=0.005782312925170068};NONALIGNING_ALL;{}
