delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;5035;682;318;0;0.7175905994042748;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6017;687;327;0;0.7177863025630057;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5146;686;323;0;0.726179892802618;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4818;693;337;0;0.7257530860683591;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4819;693;314;0;0.7302159806117847;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4406;690;329;0;0.7144210919931816;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4683;694;314;0;0.7313403257197463;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5251;690;343;0;0.719499986531782;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5743;695;331;0;0.716035774279464;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;6249;691;318;0;0.7252058957935842;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2806;410;208;0;0.724935829612889;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2798;421;208;0;0.7182781774734712;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2929;420;211;0;0.72071973169205;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3310;417;216;0;0.7256259581335912;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2769;419;190;0;0.7401630974968619;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2635;415;215;0;0.7121317916953998;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2467;417;200;0;0.7286540343806476;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2907;413;223;0;0.7213212529993294;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3117;417;218;0;0.7125760086538974;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3381;410;210;0;0.7157143508544039;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1930;293;154;0;0.7220836093626404;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2260;307;158;0;0.7150178699981701;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2210;307;150;0;0.7285738120636008;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2253;301;157;0;0.7322743113962399;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1792;301;136;0;0.7493973323977766;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1596;300;162;0;0.717104038195097;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1956;306;156;0;0.7266877520614123;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1772;299;162;0;0.7302734177951583;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2329;302;164;0;0.7161418722222979;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1966;298;157;0;0.7246621726524622;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;812;156;92;0;0.7230540568931968;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1012;157;84;0;0.7091405501096378;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;922;158;85;0;0.7202117319033222;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1171;161;93;0;0.7268929844680535;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;851;157;76;0;0.7562147599476126;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;769;160;96;0;0.7247925616828754;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;876;164;88;0;0.7409713076844289;{};NONALIGNING_KNOWN;{}
