delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;4118;683;321;111;0.694044999965116;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5510;691;327;104;0.6991437748407884;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5330;689;322;101;0.7076603924784785;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5078;690;335;111;0.7040994997230142;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4449;692;315;103;0.7112211367321953;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;3919;687;329;112;0.6863133286309046;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5192;692;314;110;0.700564741237166;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;4609;687;342;115;0.6897688302333024;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5300;695;330;125;0.6890978153063693;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;5262;687;317;98;0.7073316803054334;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2705;400;203;55;0.7054487059764625;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2708;415;205;54;0.7022800603143186;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2998;422;209;57;0.7035232743727518;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2966;414;213;47;0.7097826963427684;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2423;415;190;52;0.7246886586359893;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2465;414;215;58;0.6883762420528013;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2597;418;200;54;0.704465814628348;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2558;409;221;63;0.6955575909260214;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2676;413;216;70;0.6891940795259269;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;2789;411;210;53;0.6999979708793451;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2007;294;158;39;0.7040719016580945;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2240;306;156;35;0.700695324715561;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2248;303;150;26;0.718031720672909;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2286;301;156;25;0.7236385369456262;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1606;301;139;32;0.7380523980041949;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1636;301;159;37;0.6962845201018976;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1830;303;155;39;0.7018227372803165;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1667;301;164;40;0.7116844219481255;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2546;304;164;45;0.6985930570455641;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;1842;295;156;33;0.7097846102832446;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;991;153;89;15;0.7070708381770165;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1068;158;83;16;0.6952892792682305;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;982;166;87;11;0.7152941802638737;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1013;158;91;7;0.7228778406094136;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;940;159;75;7;0.7508303636363437;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;715;158;95;18;0.70673897952067;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;839;160;85;13;0.7289872930265259;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;989;158;93;14;0.7224985757234192;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;842;163;96;19;0.6917869846261001;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;940;160;95;14;0.7166271902188726;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;535;99;66;8;0.7069062857948316;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;577;111;59;10;0.7026487688289411;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;594;103;52;3;0.7225925114638884;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;725;105;70;5;0.6918266625445526;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;559;110;54;3;0.7687822049318134;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;436;105;62;10;0.707583376392923;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;533;110;60;8;0.7480070941910235;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;568;105;64;6;0.7288263714083006;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;500;110;72;13;0.6796112151561946;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;685;107;66;8;0.726474717324829;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;422;81;54;6;0.7165658907583246;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;464;88;51;5;0.7250289204111238;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;549;89;45;3;0.7245989595840628;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;554;85;57;3;0.7041257685356337;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;359;82;42;2;0.7706259681149326;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;365;80;51;6;0.693358639789508;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;385;87;47;5;0.7584772450104402;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;363;86;51;3;0.7502280613608544;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;422;84;60;6;0.6819480286483637;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;462;84;53;4;0.7335498350739833;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;434;87;60;6;0.7100992214106323;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;505;94;53;7;0.7149348985960745;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;577;99;49;3;0.7246795508260007;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;620;94;63;3;0.7045777590492172;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;531;92;46;3;0.7634653285437716;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;350;88;51;7;0.7042193480672949;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;431;96;53;6;0.752348531745443;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;448;91;55;4;0.7365878705059067;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;449;93;64;9;0.681088782191228;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;550;87;54;4;0.7302728038557241;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;366;58;40;3;0.7216686356809094;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;294;72;42;4;0.7335173117023301;{};NONALIGNING_KNOWN;{}
0.1;0.95;0.01;0.1;447;75;40;1;0.7457985566241112;{};NONALIGNING_KNOWN;{}
