delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.01;5338;662;332;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.19860046651116295, W_Beoordelen fraude+START=4.998333888703765E-4, A_PREACCEPTED+COMPLETE=0.007497500833055648, W_Completeren aanvraag+START=0.012829056981006332, O_SENT_BACK+COMPLETE=0.03032322559146951, O_SENT+COMPLETE=0.015494835054981672, W_Nabellen incomplete dossiers+START=3.332222592469177E-4, O_CANCELLED+COMPLETE=0.001999333555481506, W_Afhandelen leads+SCHEDULE=0.04131956014661779, O_SELECTED+COMPLETE=0.027657447517494167, W_Nabellen offertes+SCHEDULE=0.056481172942352546, W_Nabellen offertes+COMPLETE=0.20359880039986672, A_DECLINED+COMPLETE=0.00866377874041986, W_Nabellen incomplete dossiers+SCHEDULE=0.020493168943685438, W_Beoordelen fraude+COMPLETE=4.998333888703765E-4, O_CREATED+COMPLETE=4.998333888703765E-4, W_Valideren aanvraag+SCHEDULE=0.045318227257580806, W_Afhandelen leads+COMPLETE=0.050983005664778404, A_CANCELLED+COMPLETE=0.006997667444185272, A_ACCEPTED+COMPLETE=3.332222592469177E-4, W_Valideren aanvraag+COMPLETE=0.07214261912695769, W_Nabellen offertes+START=0.012162612462512495, A_FINALIZED+COMPLETE=0.012162612462512495, W_Completeren aanvraag+SCHEDULE=0.06347884038653782, W_Nabellen incomplete dossiers+COMPLETE=0.10296567810729756, W_Beoordelen fraude+SCHEDULE=3.332222592469177E-4, O_DECLINED+COMPLETE=0.006331222925691436};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;4446;664;312;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.21521095484826055, W_Beoordelen fraude+START=0.0024056254626202813, A_PREACCEPTED+COMPLETE=0.007401924500370096, W_Completeren aanvraag+START=0.01221317542561066, O_SENT_BACK+COMPLETE=0.030347890451517395, O_SENT+COMPLETE=0.01683937823834197, O_CANCELLED+COMPLETE=0.0020355292376017763, W_Afhandelen leads+SCHEDULE=0.04311621021465581, O_SELECTED+COMPLETE=0.032198371576609916, W_Nabellen offertes+SCHEDULE=0.05773501110288675, W_Nabellen offertes+COMPLETE=0.20151739452257586, A_DECLINED+COMPLETE=0.010917838638045891, W_Nabellen incomplete dossiers+SCHEDULE=0.017949666913397482, W_Beoordelen fraude+COMPLETE=0.0029607698001480384, O_CREATED+COMPLETE=3.700962250185048E-4, W_Valideren aanvraag+SCHEDULE=0.041820873427091045, W_Afhandelen leads+COMPLETE=0.054404145077720206, A_CANCELLED+COMPLETE=0.006291635825314582, A_ACCEPTED+COMPLETE=1.850481125092524E-4, W_Valideren aanvraag+COMPLETE=0.061991117690599555, W_Nabellen offertes+START=0.015544041450777202, A_FINALIZED+COMPLETE=0.01535899333826795, W_Completeren aanvraag+SCHEDULE=0.06698741672834937, W_Nabellen incomplete dossiers+COMPLETE=0.07531458179126573, W_Beoordelen fraude+SCHEDULE=0.0012953367875647669, O_DECLINED+COMPLETE=0.007586972612879349};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;5237;663;323;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.20483157536577068, W_Beoordelen fraude+START=6.805035726437564E-4, A_PREACCEPTED+COMPLETE=0.007995916978564138, W_Completeren aanvraag+START=0.012929567880231372, O_SENT_BACK+COMPLETE=0.02807077237155495, O_SENT+COMPLETE=0.019734603606668934, W_Nabellen incomplete dossiers+START=1.701258931609391E-4, O_CANCELLED+COMPLETE=0.0027220142905750254, W_Afhandelen leads+SCHEDULE=0.04559373936713168, O_SELECTED+COMPLETE=0.03232391970057843, W_Nabellen offertes+SCHEDULE=0.05988431439265056, W_Nabellen offertes+COMPLETE=0.2058523307247363, A_DECLINED+COMPLETE=0.00918679823069071, W_Nabellen incomplete dossiers+SCHEDULE=0.0187138482477033, W_Beoordelen fraude+COMPLETE=0.0010207553589656345, W_Valideren aanvraag+SCHEDULE=0.0421912215039129, W_Afhandelen leads+COMPLETE=0.055631167063627085, A_CANCELLED+COMPLETE=0.005954406260632868, W_Valideren aanvraag+COMPLETE=0.06430758761483497, W_Nabellen offertes+START=0.012589316093909493, A_FINALIZED+COMPLETE=0.012589316093909493, W_Completeren aanvraag+SCHEDULE=0.0631167063627084, W_Nabellen incomplete dossiers+COMPLETE=0.08693433140523987, W_Beoordelen fraude+SCHEDULE=6.805035726437564E-4, O_DECLINED+COMPLETE=0.006294658046954746};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;6002;663;315;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.20444897266089318, W_Beoordelen fraude+START=6.792324673119375E-4, A_PREACCEPTED+COMPLETE=0.007131940906775344, W_Completeren aanvraag+START=0.011886568177958906, O_SENT_BACK+COMPLETE=0.028527763627101375, O_SENT+COMPLETE=0.015792154865002548, W_Nabellen incomplete dossiers+START=5.094243504839531E-4, O_CANCELLED+COMPLETE=0.0018678892851078282, O_SELECTED+COMPLETE=0.03141450161317711, W_Afhandelen leads+SCHEDULE=0.04194260485651214, W_Nabellen offertes+SCHEDULE=0.05281032433350314, W_Nabellen offertes+COMPLETE=0.18458142299201902, A_DECLINED+COMPLETE=0.010528103243335031, W_Nabellen incomplete dossiers+SCHEDULE=0.020886398369842078, W_Beoordelen fraude+COMPLETE=0.0010188487009679063, O_CREATED+COMPLETE=3.3961623365596876E-4, W_Valideren aanvraag+SCHEDULE=0.04262183732382408, W_Afhandelen leads+COMPLETE=0.052131091866191206, A_CANCELLED+COMPLETE=0.006792324673119375, A_ACCEPTED+COMPLETE=1.6980811682798438E-4, W_Valideren aanvraag+COMPLETE=0.0674138223807098, W_Nabellen offertes+START=0.015622346748174563, A_FINALIZED+COMPLETE=0.015622346748174563, W_Completeren aanvraag+SCHEDULE=0.06214977075904228, W_Nabellen incomplete dossiers+COMPLETE=0.11512990320937341, W_Beoordelen fraude+SCHEDULE=5.094243504839531E-4, O_DECLINED+COMPLETE=0.007471557140431313};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.01;5768;666;321;0;-1.0;{W_Completeren aanvraag+COMPLETE=0.19529775184486015, W_Beoordelen fraude+START=0.0012013042732109147, A_PREACCEPTED+COMPLETE=0.007207825639265488, W_Completeren aanvraag+START=0.010125278874206282, O_SENT_BACK+COMPLETE=0.031233911103483784, O_SENT+COMPLETE=0.018362793890509696, W_Nabellen incomplete dossiers+START=1.7161489617298782E-4, O_CANCELLED+COMPLETE=0.002574223442594817, O_SELECTED+COMPLETE=0.031233911103483784, W_Afhandelen leads+SCHEDULE=0.03552428350780848, W_Nabellen offertes+SCHEDULE=0.05817744980264287, W_Nabellen offertes+COMPLETE=0.18997769006349752, A_DECLINED+COMPLETE=0.012184657628282134, W_Nabellen incomplete dossiers+SCHEDULE=0.022996396087180366, W_Beoordelen fraude+COMPLETE=0.004633602196670671, O_CREATED+COMPLETE=3.4322979234597563E-4, W_Valideren aanvraag+SCHEDULE=0.04633602196670671, W_Afhandelen leads+COMPLETE=0.04616440707053372, A_CANCELLED+COMPLETE=0.006864595846919512, A_ACCEPTED+COMPLETE=3.4322979234597563E-4, W_Valideren aanvraag+COMPLETE=0.07139179680796293, W_Nabellen offertes+START=0.012871117212974086, A_FINALIZED+COMPLETE=0.012871117212974086, W_Completeren aanvraag+SCHEDULE=0.0633258966878325, W_Nabellen incomplete dossiers+COMPLETE=0.10863222927750128, W_Beoordelen fraude+SCHEDULE=0.001716148961729878, O_DECLINED+COMPLETE=0.008237515016303414};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;5609;666;301;1;-1.0;{W_Completeren aanvraag+COMPLETE=0.2090374026960319, W_Beoordelen fraude+START=1.8986140117714068E-4, A_PREACCEPTED+COMPLETE=0.0068350104423770645, W_Completeren aanvraag+START=0.011581545471805581, O_SENT_BACK+COMPLETE=0.03113726979305107, O_SENT+COMPLETE=0.015188912094171255, O_CANCELLED+COMPLETE=0.0018986140117714068, W_Afhandelen leads+SCHEDULE=0.043857983671919495, O_SELECTED+COMPLETE=0.0275299031706854, W_Nabellen offertes+SCHEDULE=0.05619897474843364, W_Nabellen offertes+COMPLETE=0.2006835010442377, A_DECLINED+COMPLETE=0.009113347256502752, W_Nabellen incomplete dossiers+SCHEDULE=0.02164419973419404, W_Beoordelen fraude+COMPLETE=5.69584203531422E-4, A_CANCELLED=1.8986140117714068E-4, O_CREATED+COMPLETE=1.8986140117714068E-4, W_Valideren aanvraag+SCHEDULE=0.04518701348015949, W_Afhandelen leads+COMPLETE=0.05449022213783938, A_CANCELLED+COMPLETE=0.007214733244731346, W_Valideren aanvraag+COMPLETE=0.07290677805202202, W_Nabellen offertes+START=0.012530852477691286, A_FINALIZED+COMPLETE=0.012340991076514145, W_Completeren aanvraag+SCHEDULE=0.0639832921966964, W_Nabellen incomplete dossiers+COMPLETE=0.08790582874501614, W_Beoordelen fraude+SCHEDULE=3.7972280235428136E-4, O_DECLINED+COMPLETE=0.007214733244731346};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;5091;666;317;2;-1.0;{W_Completeren aanvraag+COMPLETE=0.1996187835730376, W_Beoordelen fraude+START=8.664009703690869E-4, A_PREACCEPTED+COMPLETE=0.006238086986657425, W_Completeren aanvraag+START=0.010050251256281407, O_SENT_BACK+COMPLETE=0.030324033962918037, O_SENT+COMPLETE=0.01836770057182464, W_Nabellen incomplete dossiers+START=3.4656038814763474E-4, O_CANCELLED+COMPLETE=0.0015595217466643563, W_Afhandelen leads+SCHEDULE=0.03968116444290418, O_SELECTED+COMPLETE=0.033096517068099116, W_Nabellen offertes+SCHEDULE=0.05752902443250736, W_Nabellen offertes+COMPLETE=0.20100502512562815, A_DECLINED+COMPLETE=0.010743372032576677, W_Nabellen incomplete dossiers+SCHEDULE=0.018540980765898458, W_Beoordelen fraude+COMPLETE=0.002772483105181078, A_CANCELLED=6.931207762952695E-4, W_Wijzigen contractgegevens+SCHEDULE=5.198405822214521E-4, O_CREATED+COMPLETE=3.4656038814763474E-4, W_Valideren aanvraag+SCHEDULE=0.041760526771789985, W_Afhandelen leads+COMPLETE=0.049038294922890316, A_CANCELLED+COMPLETE=0.007797608733321781, A_ACCEPTED+COMPLETE=1.7328019407381737E-4, W_Valideren aanvraag+COMPLETE=0.061341188702131344, W_Nabellen offertes+START=0.014728816496274475, A_FINALIZED+COMPLETE=0.014728816496274475, W_Completeren aanvraag+SCHEDULE=0.06342055103101715, W_Nabellen incomplete dossiers+COMPLETE=0.10587419857910241, W_Beoordelen fraude+SCHEDULE=0.0015595217466643563, O_DECLINED+COMPLETE=0.007277768151100329};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;5842;662;311;1;-1.0;{W_Completeren aanvraag+COMPLETE=0.1896280775275013, W_Beoordelen fraude+START=6.984459577440195E-4, A_PREACCEPTED+COMPLETE=0.00820674000349223, W_Completeren aanvraag+START=0.012397415749956347, O_SENT_BACK+COMPLETE=0.03073162214073686, O_SENT+COMPLETE=0.017635760433036492, W_Nabellen incomplete dossiers+START=3.4922297887200976E-4, O_CANCELLED+COMPLETE=0.001571503404924044, W_Afhandelen leads+SCHEDULE=0.044525929806181246, O_SELECTED+COMPLETE=0.030557010651300856, W_Nabellen offertes+SCHEDULE=0.05570106513008556, W_Nabellen offertes+COMPLETE=0.18735812816483324, A_DECLINED+COMPLETE=0.009603631918980268, W_Nabellen incomplete dossiers+SCHEDULE=0.02427099703160468, W_Beoordelen fraude+COMPLETE=0.002793783830976078, A_CANCELLED=1.7461148943600488E-4, O_CREATED+COMPLETE=1.7461148943600488E-4, W_Valideren aanvraag+SCHEDULE=0.04574821023223328, O_ACCEPTED+COMPLETE=1.7461148943600488E-4, W_Afhandelen leads+COMPLETE=0.0534311157674175, A_CANCELLED+COMPLETE=0.009254408940108259, A_ACCEPTED+COMPLETE=3.4922297887200976E-4, W_Valideren aanvraag+COMPLETE=0.07036843024270997, W_Nabellen offertes+START=0.012921250218264362, A_FINALIZED+COMPLETE=0.012921250218264362, W_Completeren aanvraag+SCHEDULE=0.06373319364414179, W_Beoordelen fraude+SCHEDULE=0.0012222804260520342, W_Nabellen incomplete dossiers+COMPLETE=0.10756067749257901, O_DECLINED+COMPLETE=0.005936790640824166};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;4958;659;311;4;-1.0;{W_Completeren aanvraag+COMPLETE=0.1944495161584809, W_Beoordelen fraude+START=0.0010954902318787657, A_PREACCEPTED+COMPLETE=0.007851013328464489, W_Completeren aanvraag+START=0.010407157202848275, O_SENT_BACK+COMPLETE=0.030491144787292312, O_SENT+COMPLETE=0.0191710790578784, O_CANCELLED+COMPLETE=0.002008398758444404, W_Afhandelen leads+SCHEDULE=0.04272411904327186, O_SELECTED+COMPLETE=0.031221471608544823, W_Nabellen offertes+SCHEDULE=0.06262552492240278, A_ACCEPTED=1.8258170531312764E-4, W_Nabellen offertes+COMPLETE=0.21727222932262188, A_DECLINED+COMPLETE=0.01223297425597955, W_Nabellen incomplete dossiers+SCHEDULE=0.017345262004747123, W_Beoordelen fraude+COMPLETE=0.0018258170531312763, A_CANCELLED=5.477451159393829E-4, A_DECLINED=1.8258170531312764E-4, W_Wijzigen contractgegevens+SCHEDULE=1.8258170531312764E-4, O_CREATED+COMPLETE=1.8258170531312764E-4, W_Valideren aanvraag+SCHEDULE=0.04181121051670623, W_Afhandelen leads+COMPLETE=0.05733065546832208, A_CANCELLED+COMPLETE=0.005842614570020084, A_ACCEPTED+COMPLETE=1.8258170531312764E-4, W_Valideren aanvraag+COMPLETE=0.06299068833302902, W_Nabellen offertes+START=0.012050392550666424, O_SENT=1.8258170531312764E-4, A_FINALIZED+COMPLETE=0.012050392550666424, W_Completeren aanvraag+SCHEDULE=0.06664232243929158, W_Beoordelen fraude+SCHEDULE=9.129085265656381E-4, W_Nabellen incomplete dossiers+COMPLETE=0.07832755157933174, O_DECLINED+COMPLETE=0.009676830381595765};PREFIXSUFFIX;{}
0.01;0.99;0.01;0.05;5405;662;314;3;-1.0;{W_Completeren aanvraag+COMPLETE=0.2153548159887304, W_Beoordelen fraude+START=0.001584786053882726, A_PREACCEPTED+COMPLETE=0.00792393026941363, W_Completeren aanvraag+START=0.013030463109702413, O_SENT_BACK+COMPLETE=0.026589188237365734, O_SENT+COMPLETE=0.016728297235428773, W_Nabellen incomplete dossiers+START=1.7608733932030288E-4, O_CANCELLED+COMPLETE=0.0024652227504842403, W_Afhandelen leads+SCHEDULE=0.04331748547279451, O_SELECTED+COMPLETE=0.030815284381053003, W_Nabellen offertes+SCHEDULE=0.05634794858249692, W_Nabellen offertes+COMPLETE=0.20478957562951225, A_DECLINED+COMPLETE=0.010917415037858778, W_Nabellen incomplete dossiers+SCHEDULE=0.018665257967952105, W_Beoordelen fraude+COMPLETE=0.002993484768445149, A_CANCELLED=7.043493572812115E-4, W_Valideren aanvraag+SCHEDULE=0.03873921465046663, W_Afhandelen leads+COMPLETE=0.05317837647473147, A_CANCELLED+COMPLETE=0.008100017608733932, W_Valideren aanvraag+COMPLETE=0.05986969536890298, W_Nabellen offertes+START=0.01408698714562423, A_FINALIZED+COMPLETE=0.01408698714562423, W_Completeren aanvraag+SCHEDULE=0.06462405353055116, W_Nabellen incomplete dossiers+COMPLETE=0.0861067089276281, W_Beoordelen fraude+SCHEDULE=0.0010565240359218173, O_DECLINED+COMPLETE=0.007747842930093327};PREFIXSUFFIX;{}
