delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;11563;666;585;0;-1.0;{Communication with customer+complete=0.03778905809362662, Resolved+complete=0.008460236886632826, Description Update+complete=0.02820078962210942, Operator Update+complete=0.00338409475465313, Callback Request+complete=0.0011280315848843769, Open+complete=0.001692047377326565, Urgency Change+complete=0.01015228426395939, Closed+complete=0.03440496333897349, Reassignment+complete=0.005076142131979695, Analysis/Research+complete=0.006204173716864072, Problem Workaround+complete=5.640157924421884E-4, Communication with vendor+complete=0.0056401579244218835, Caused By CI+complete=0.001692047377326565, Service Change+complete=0.001692047377326565, External Vendor Assignment+complete=0.025380710659898477, External Vendor Reassignment+complete=5.640157924421884E-4, Impact Change+complete=0.009588268471517203, Notify By Change+complete=0.0028200789622109417, Quality Indicator+complete=0.019176536943034405, Incident reproduction+complete=5.640157924421884E-4, Quality Indicator Fixed+complete=0.046813310772701636, Update+complete=0.0022560631697687537, Assignment+complete=0.4647490129723632, Vendor Reference Change+complete=5.640157924421884E-4, Quality Indicator Set+complete=0.01071630005640158, Vendor Reference+complete=0.00338409475465313, Mail to Customer+complete=0.023124647490129723, Status Change+complete=0.15961646926113932, Affected CI Change+complete=0.001692047377326565, Reopen+complete=0.011280315848843767, External update+complete=0.01071630005640158, Update from customer+complete=0.03666102650874224, Pending vendor+complete=0.024252679075014102};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;18074;665;612;0;-1.0;{Communication with customer+complete=0.04258064516129032, Contact Change+complete=6.451612903225806E-4, Resolved+complete=0.00967741935483871, Description Update+complete=0.02838709677419355, Operator Update+complete=0.005806451612903226, OO Response+complete=6.451612903225806E-4, Open+complete=0.001935483870967742, Urgency Change+complete=0.007741935483870968, Closed+complete=0.027096774193548386, Reassignment+complete=0.003870967741935484, Analysis/Research+complete=0.0032258064516129032, Problem Workaround+complete=0.001935483870967742, Communication with vendor+complete=0.012258064516129033, Caused By CI+complete=6.451612903225806E-4, Service Change+complete=0.001935483870967742, External Vendor Assignment+complete=0.025161290322580646, Notify By Change+complete=0.001935483870967742, Impact Change+complete=0.007741935483870968, Quality Indicator+complete=0.02, Incident reproduction+complete=6.451612903225806E-4, Quality Indicator Fixed+complete=0.04387096774193548, Update+complete=0.004516129032258065, Assignment+complete=0.4541935483870968, Quality Indicator Set+complete=0.0064516129032258064, Vendor Reference+complete=0.007741935483870968, Mail to Customer+complete=0.01935483870967742, Status Change+complete=0.17225806451612904, Affected CI Change+complete=0.001935483870967742, Reopen+complete=0.014193548387096775, External update+complete=0.007741935483870968, Pending vendor+complete=0.04, Update from customer+complete=0.023870967741935485};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14192;666;599;0;-1.0;{Communication with customer+complete=0.033475349969567865, Contact Change+complete=6.086427267194157E-4, Resolved+complete=0.010955569080949483, Description Update+complete=0.021911138161898967, Operator Update+complete=0.0036518563603164943, Open+complete=0.006086427267194157, Urgency Change+complete=0.006695069993913573, Closed+complete=0.03408399269628728, Analysis/Research+complete=0.009129640900791236, Reassignment+complete=0.0036518563603164943, Problem Workaround+complete=0.0012172854534388314, Communication with vendor+complete=0.009738283627510651, Caused By CI+complete=0.002434570906877663, Problem Closure+complete=6.086427267194157E-4, Referred+complete=0.0012172854534388314, External Vendor Assignment+complete=0.032866707242848445, Impact Change+complete=0.006695069993913573, Notify By Change+complete=6.086427267194157E-4, Quality Indicator+complete=0.017650639074863056, Quality Indicator Fixed+complete=0.04625684723067559, Update+complete=0.0030432136335970784, Assignment+complete=0.4625684723067559, Vendor Reference Change+complete=6.086427267194157E-4, Quality Indicator Set+complete=0.010955569080949483, Vendor Reference+complete=0.006695069993913573, Status Change+complete=0.1631162507608034, Mail to Customer+complete=0.02251978088861838, External update+complete=0.005477784540474742, Reopen+complete=0.01399878271454656, Update from customer+complete=0.03834449178332319, Pending vendor+complete=0.023128423615337797};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7248;666;588;0;-1.0;{Communication with customer+complete=0.031522468142186455, Contact Change+complete=6.706908115358819E-4, Resolved+complete=0.01609657947686117, Description Update+complete=0.03286384976525822, Operator Update+complete=0.0026827632461435278, OO Response+complete=6.706908115358819E-4, Urgency Change+complete=0.01006036217303823, Closed+complete=0.038900067069081154, Reassignment+complete=0.0026827632461435278, Analysis/Research+complete=0.004024144869215292, Problem Workaround+complete=0.002012072434607646, Communication with vendor+complete=0.006036217303822937, Caused By CI+complete=0.0026827632461435278, Service Change+complete=0.002012072434607646, External Vendor Assignment+complete=0.02749832327297116, Notify By Change+complete=0.00335345405767941, Impact Change+complete=0.010731052984574111, Quality Indicator+complete=0.023474178403755867, Quality Indicator Fixed+complete=0.04896042924211938, Update+complete=0.0013413816230717639, Assignment+complete=0.4641180415828303, Quality Indicator Set+complete=0.010731052984574111, Vendor Reference+complete=0.00335345405767941, Status Change+complete=0.15090543259557343, Mail to Customer+complete=0.02682763246143528, Affected CI Change+complete=0.0013413816230717639, Reopen+complete=0.02012072434607646, External update+complete=0.006036217303822937, Update from customer+complete=0.023474178403755867, Pending vendor+complete=0.02481556002682763};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16761;666;591;0;-1.0;{Communication with customer+complete=0.04339378238341969, Resolved+complete=0.013601036269430052, Description Update+complete=0.02849740932642487, Operator Update+complete=0.0045336787564766836, Callback Request+complete=0.0019430051813471502, OO Response+complete=6.476683937823834E-4, Open+complete=0.0019430051813471502, Urgency Change+complete=0.013601036269430052, Closed+complete=0.04404145077720207, Reassignment+complete=0.0045336787564766836, Analysis/Research+complete=0.0019430051813471502, Problem Workaround+complete=0.0025906735751295338, Caused By CI+complete=0.003238341968911917, Communication with vendor+complete=0.009715025906735751, External Vendor Assignment+complete=0.025259067357512953, Impact Change+complete=0.010362694300518135, Notify By Change+complete=6.476683937823834E-4, Quality Indicator+complete=0.017487046632124352, Quality Indicator Fixed+complete=0.05375647668393782, Update+complete=0.0019430051813471502, Assignment+complete=0.44559585492227977, Vendor Reference Change+complete=0.0012953367875647669, Quality Indicator Set+complete=0.009715025906735751, Vendor Reference+complete=0.0045336787564766836, Mail to Customer+complete=0.023316062176165803, Status Change+complete=0.14572538860103626, Affected CI Change+complete=0.0012953367875647669, Reopen+complete=0.021373056994818652, External update+complete=0.006476683937823834, Pending vendor+complete=0.027849740932642485, Update from customer+complete=0.029145077720207253};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;9649;665;599;0;-1.0;{Communication with customer+complete=0.04697156983930779, Resolved+complete=0.015451174289245983, Description Update+complete=0.02657601977750309, Operator Update+complete=0.001854140914709518, Callback Request+complete=0.0012360939431396785, Open+complete=0.0012360939431396785, Urgency Change+complete=0.004944375772558714, Closed+complete=0.033992583436341164, Reassignment+complete=0.002472187886279357, Analysis/Research+complete=0.002472187886279357, Problem Workaround+complete=6.180469715698393E-4, Communication with vendor+complete=0.011742892459826947, Caused By CI+complete=0.004944375772558714, Service Change+complete=6.180469715698393E-4, External Vendor Assignment+complete=0.02781211372064277, External Vendor Reassignment+complete=6.180469715698393E-4, Notify By Change+complete=0.0012360939431396785, Impact Change+complete=0.003708281829419036, Quality Indicator+complete=0.019159456118665017, Quality Indicator Fixed+complete=0.05686032138442522, Update+complete=0.0012360939431396785, Assignment+complete=0.44746600741656367, Quality Indicator Set+complete=0.012360939431396786, Vendor Reference+complete=0.0030902348578491965, Status Change+complete=0.16378244746600742, Mail to Customer+complete=0.022867737948084055, Affected CI Change+complete=0.0012360939431396785, External update+complete=0.006798516687268232, Reopen+complete=0.016069221260815822, Update from customer+complete=0.037082818294190356, Pending vendor+complete=0.023485784919653894};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12011;667;615;0;-1.0;{Communication with customer+complete=0.04002354326074161, Resolved+complete=0.01353737492642731, Description Update+complete=0.034726309593878756, Operator Update+complete=0.004708652148322542, OO Response+complete=5.885815185403178E-4, Open+complete=0.005885815185403178, Urgency Change+complete=0.00824014125956445, Closed+complete=0.03708063566804003, Analysis/Research+complete=0.00529723366686286, Reassignment+complete=0.00824014125956445, Problem Workaround+complete=0.0017657445556209534, Caused By CI+complete=0.003531489111241907, Communication with vendor+complete=0.01353737492642731, Service Change+complete=0.0017657445556209534, External Vendor Assignment+complete=0.028251912889935255, Impact Change+complete=0.007062978222483814, Notify By Change+complete=0.0011771630370806356, Quality Indicator+complete=0.0164802825191289, Quality Indicator Fixed+complete=0.047675103001765744, Update+complete=0.005885815185403178, Assignment+complete=0.4255444379046498, Quality Indicator Set+complete=0.009417304296645085, Vendor Reference+complete=0.009417304296645085, Mail to Customer+complete=0.022954679223072396, Status Change+complete=0.1553855208946439, Affected CI Change+complete=0.0017657445556209534, External update+complete=0.011771630370806356, Reopen+complete=0.0164802825191289, Update from customer+complete=0.026486168334314303, Pending vendor+complete=0.03531489111241907};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13792;665;603;0;-1.0;{Communication with customer+complete=0.039574719432959246, Resolved+complete=0.00767867690490254, Description Update+complete=0.029533372711163616, Operator Update+complete=0.004725339633786178, OO Response+complete=5.906674542232723E-4, Open+complete=0.002362669816893089, Urgency Change+complete=0.006497341996455995, Closed+complete=0.03484937979917307, Reassignment+complete=0.004134672179562906, Analysis/Research+complete=0.0017720023626698169, Problem Workaround+complete=5.906674542232723E-4, Communication with vendor+complete=0.011813349084465446, Caused By CI+complete=0.0017720023626698169, Referred+complete=5.906674542232723E-4, External Vendor Assignment+complete=0.03307737743650325, External Vendor Reassignment+complete=5.906674542232723E-4, Impact Change+complete=0.004725339633786178, Notify By Change+complete=0.0017720023626698169, Quality Indicator+complete=0.02067336089781453, Quality Indicator Fixed+complete=0.04607206142941524, Update+complete=0.0011813349084465446, Assignment+complete=0.4630832841110455, Quality Indicator Set+complete=0.014766686355581808, Vendor Reference+complete=0.005906674542232723, Status Change+complete=0.16715888954518607, Mail to Customer+complete=0.024808033077377438, Reopen+complete=0.01299468399291199, External update+complete=0.005316007088009451, Update from customer+complete=0.028942705256940343, Pending vendor+complete=0.02244536326048435};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13648;665;590;0;-1.0;{Communication with customer+complete=0.0340632603406326, Contact Change+complete=6.082725060827251E-4, Resolved+complete=0.010948905109489052, Description Update+complete=0.026155717761557177, Operator Update+complete=0.0030413625304136255, Open+complete=0.0024330900243309003, Urgency Change+complete=0.0072992700729927005, Closed+complete=0.03467153284671533, Analysis/Research+complete=0.005474452554744526, Reassignment+complete=0.0036496350364963502, Caused By CI+complete=0.0012165450121654502, Communication with vendor+complete=0.0072992700729927005, Problem Closure+complete=6.082725060827251E-4, Service Change+complete=6.082725060827251E-4, Referred+complete=6.082725060827251E-4, External Vendor Assignment+complete=0.029805352798053526, Notify By Change+complete=6.082725060827251E-4, Impact Change+complete=0.00851581508515815, Quality Indicator+complete=0.01824817518248175, Quality Indicator Fixed+complete=0.04683698296836983, Update+complete=0.0018248175182481751, Assignment+complete=0.4628953771289538, Vendor Reference Change+complete=0.0012165450121654502, Quality Indicator Set+complete=0.012165450121654502, Vendor Reference+complete=0.007907542579075427, Status Change+complete=0.17396593673965938, Mail to Customer+complete=0.026155717761557177, Affected CI Change+complete=0.0012165450121654502, Reopen+complete=0.014598540145985401, External update+complete=0.012773722627737226, Update from customer+complete=0.02068126520681265, Pending vendor+complete=0.021897810218978103};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8462;665;603;0;-1.0;{Communication with customer+complete=0.04164152082076041, Resolved+complete=0.01388050694025347, Description Update+complete=0.03138201569100785, Operator Update+complete=0.004224502112251056, OO Response+complete=0.0018105009052504525, Open+complete=0.0030175015087507543, Urgency Change+complete=0.009656004828002414, Closed+complete=0.025347012673506336, Reassignment+complete=0.005431502715751358, Analysis/Research+complete=0.009052504526252263, Problem Workaround+complete=6.035003017501509E-4, Communication with vendor+complete=0.010863005431502716, Caused By CI+complete=0.0030175015087507543, Problem Closure+complete=6.035003017501509E-4, Service Change+complete=0.0012070006035003018, External Vendor Assignment+complete=0.026554013277006638, Impact Change+complete=0.009052504526252263, Notify By Change+complete=0.0018105009052504525, Quality Indicator+complete=0.01448400724200362, Incident reproduction+complete=6.035003017501509E-4, Quality Indicator Fixed+complete=0.04646952323476162, Update+complete=0.0018105009052504525, Assignment+complete=0.4375377187688594, Quality Indicator Set+complete=0.015087507543753771, Vendor Reference+complete=0.005431502715751358, Mail to Customer+complete=0.024743512371756187, Status Change+complete=0.16415208207604104, Affected CI Change+complete=0.0018105009052504525, External update+complete=0.012673506336753168, Reopen+complete=0.007845503922751962, Update from customer+complete=0.0356065178032589, Pending vendor+complete=0.032589016294508145};NONALIGNING_KNOWN;{}
