delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;12340;664;585;19;-1.0;{Communication with customer+complete=0.03593839132915003, Resolved+complete=0.008556759840273816, Description Update+complete=0.027952082144894468, Operator Update+complete=0.00513405590416429, Callback Request+complete=0.0011409013120365088, Open+complete=0.0017113519680547634, Urgency Change+complete=0.01026811180832858, Closed+complete=0.03365658870507701, Reassignment+complete=0.004563605248146035, Analysis/Research+complete=0.007415858528237307, Problem Workaround+complete=5.704506560182544E-4, Communication with vendor+complete=0.005704506560182544, Caused By CI+complete=0.002852253280091272, Service Change+complete=0.0017113519680547634, External Vendor Assignment+complete=0.025099828864803195, External Vendor Reassignment+complete=5.704506560182544E-4, Impact Change+complete=0.009697661152310326, Notify By Change+complete=0.002852253280091272, Quality Indicator+complete=0.02053622361665716, Incident reproduction+complete=5.704506560182544E-4, Quality Indicator Fixed+complete=0.05019965772960639, Update+complete=0.0034227039361095267, Assignment+complete=0.4580718767826583, Vendor Reference Change+complete=5.704506560182544E-4, Quality Indicator Set+complete=0.011409013120365089, Vendor Reference+complete=0.0034227039361095267, Status Change+complete=0.15801483171705646, Mail to Customer+complete=0.023958927552766685, Affected CI Change+complete=0.0017113519680547634, Reopen+complete=0.011409013120365089, External update+complete=0.010838562464346835, Update from customer+complete=0.03593839132915003, Pending vendor+complete=0.02452937820878494};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;13102;666;612;26;-1.0;{Communication with customer+complete=0.042011457670273714, Contact Change+complete=6.365372374283895E-4, Resolved+complete=0.009548058561425843, Description Update+complete=0.028007638446849142, Operator Update+complete=0.0076384468491406746, OO Response+complete=6.365372374283895E-4, Open+complete=0.0019096117122851686, Urgency Change+complete=0.007001909611712286, Closed+complete=0.02864417568427753, Reassignment+complete=0.004455760661998727, Analysis/Research+complete=0.003182686187141948, Problem Workaround+complete=0.0019096117122851686, Communication with vendor+complete=0.011457670273711012, Caused By CI+complete=6.365372374283895E-4, Service Change+complete=0.0019096117122851686, External Vendor Assignment+complete=0.024824952259707194, Impact Change+complete=0.007001909611712286, Notify By Change+complete=0.0019096117122851686, Quality Indicator+complete=0.020369191597708464, Incident reproduction+complete=6.365372374283895E-4, Quality Indicator Fixed+complete=0.04455760661998727, Update+complete=0.005728835136855506, Assignment+complete=0.4468491406747295, Quality Indicator Set+complete=0.006365372374283896, Vendor Reference+complete=0.0076384468491406746, Mail to Customer+complete=0.020369191597708464, Status Change+complete=0.1769573520050923, Affected CI Change+complete=0.0019096117122851686, Reopen+complete=0.015913430935709738, External update+complete=0.0076384468491406746, Pending vendor+complete=0.03946530872056015, Update from customer+complete=0.022278803309993635};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;12880;665;599;23;-1.0;{Communication with customer+complete=0.03325554259043174, Contact Change+complete=5.834305717619603E-4, Resolved+complete=0.010501750291715286, Description Update+complete=0.021586931155192533, Operator Update+complete=0.006417736289381563, Open+complete=0.005834305717619603, Urgency Change+complete=0.006417736289381563, Closed+complete=0.03442240373395566, Analysis/Research+complete=0.008751458576429404, Reassignment+complete=0.004084014002333722, Problem Workaround+complete=0.0011668611435239206, Communication with vendor+complete=0.009918319719953326, Caused By CI+complete=0.002333722287047841, Problem Closure+complete=5.834305717619603E-4, Referred+complete=0.0011668611435239206, External Vendor Assignment+complete=0.03208868144690782, Impact Change+complete=0.006417736289381563, Notify By Change+complete=5.834305717619603E-4, Quality Indicator+complete=0.020420070011668612, Quality Indicator Fixed+complete=0.047841306884480746, Update+complete=0.004084014002333722, Assignment+complete=0.4579929988331389, Vendor Reference Change+complete=5.834305717619603E-4, Quality Indicator Set+complete=0.010501750291715286, Vendor Reference+complete=0.006417736289381563, Status Change+complete=0.16219369894982497, Mail to Customer+complete=0.021586931155192533, External update+complete=0.005250875145857643, Reopen+complete=0.014585764294049008, Update from customer+complete=0.037922987164527425, Pending vendor+complete=0.024504084014002333};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;8271;666;588;23;-1.0;{Communication with customer+complete=0.029734970911441498, Contact Change+complete=6.464124111182935E-4, Resolved+complete=0.015513897866839044, Description Update+complete=0.03232062055591468, Operator Update+complete=0.005817711700064641, OO Response+complete=6.464124111182935E-4, Urgency Change+complete=0.01098901098901099, Closed+complete=0.03684550743374273, Reassignment+complete=0.002585649644473174, Analysis/Research+complete=0.005171299288946348, Problem Workaround+complete=0.0019392372333548805, Communication with vendor+complete=0.004524886877828055, Caused By CI+complete=0.003878474466709761, Service Change+complete=0.0019392372333548805, External Vendor Assignment+complete=0.025210084033613446, Notify By Change+complete=0.003232062055591467, Impact Change+complete=0.010342598577892695, Quality Indicator+complete=0.02197802197802198, Quality Indicator Fixed+complete=0.054945054945054944, Update+complete=0.005171299288946348, Assignment+complete=0.464770523594053, Quality Indicator Set+complete=0.010342598577892695, Vendor Reference+complete=0.003232062055591467, Status Change+complete=0.14608920491273433, Mail to Customer+complete=0.025210084033613446, Affected CI Change+complete=0.001292824822236587, Reopen+complete=0.019392372333548805, External update+complete=0.005817711700064641, Update from customer+complete=0.025856496444731737, Pending vendor+complete=0.02456367162249515};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;17879;665;591;21;-1.0;{Communication with customer+complete=0.04471808165910564, Resolved+complete=0.013609850939727802, Description Update+complete=0.028515878159429683, Operator Update+complete=0.005184705119896306, Callback Request+complete=0.0019442644199611147, OO Response+complete=6.480881399870382E-4, Open+complete=0.0019442644199611147, Urgency Change+complete=0.013609850939727802, Closed+complete=0.04536616979909268, Reassignment+complete=0.004536616979909268, Analysis/Research+complete=0.0019442644199611147, Problem Workaround+complete=0.002592352559948153, Caused By CI+complete=0.005184705119896306, Communication with vendor+complete=0.0038885288399222295, External Vendor Assignment+complete=0.023979261179520414, Impact Change+complete=0.010369410239792612, Notify By Change+complete=6.480881399870382E-4, Quality Indicator+complete=0.017498379779650033, Quality Indicator Fixed+complete=0.05832793259883344, Update+complete=0.0038885288399222295, Assignment+complete=0.44329228775113416, Quality Indicator Set+complete=0.009721322099805573, Vendor Reference+complete=0.004536616979909268, Mail to Customer+complete=0.02592352559948153, Status Change+complete=0.1425793907971484, Affected CI Change+complete=0.0012961762799740765, Reopen+complete=0.02268308489954634, External update+complete=0.0064808813998703824, Pending vendor+complete=0.027867790019442645, Update from customer+complete=0.027219701879455604};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;9880;665;600;16;-1.0;{Communication with customer+complete=0.04503392967304133, Resolved+complete=0.015422578655151141, Description Update+complete=0.025909932140653916, Operator Update+complete=0.0024676125848241827, Callback Request+complete=0.0012338062924120913, Open+complete=0.0012338062924120913, Urgency Change+complete=0.00431832202344232, Closed+complete=0.03392967304133251, Reassignment+complete=0.0024676125848241827, Analysis/Research+complete=0.0024676125848241827, Problem Workaround+complete=6.169031462060457E-4, Caused By CI+complete=0.004935225169648365, Communication with vendor+complete=0.011104256631708822, Service Change+complete=6.169031462060457E-4, External Vendor Assignment+complete=0.027143738433066007, External Vendor Reassignment+complete=6.169031462060457E-4, Notify By Change+complete=0.0012338062924120913, Impact Change+complete=0.0030845157310302285, Quality Indicator+complete=0.020974706971005553, Quality Indicator Fixed+complete=0.0567550894509562, Update+complete=0.001850709438618137, Assignment+complete=0.4497223935842073, Quality Indicator Set+complete=0.011721159777914868, Vendor Reference+complete=0.0030845157310302285, Mail to Customer+complete=0.023442319555829736, Status Change+complete=0.16471314003701418, Affected CI Change+complete=0.0012338062924120913, External update+complete=0.006785934608266502, Reopen+complete=0.015422578655151141, Update from customer+complete=0.03701418877236274, Pending vendor+complete=0.023442319555829736};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;14264;666;615;19;-1.0;{Communication with customer+complete=0.040516735173223725, Resolved+complete=0.013505578391074574, Description Update+complete=0.03464474456840869, Operator Update+complete=0.005284791544333529, OO Response+complete=5.871990604815032E-4, Open+complete=0.005871990604815032, Urgency Change+complete=0.008220786846741044, Closed+complete=0.0364063417498532, Analysis/Research+complete=0.005284791544333529, Reassignment+complete=0.008807985907222548, Problem Workaround+complete=0.0017615971814445098, Caused By CI+complete=0.004697592483852026, Communication with vendor+complete=0.013505578391074574, Service Change+complete=0.0017615971814445098, External Vendor Assignment+complete=0.02759835584263065, Impact Change+complete=0.007046388725778039, Notify By Change+complete=0.0011743981209630064, Quality Indicator+complete=0.017615971814445096, Quality Indicator Fixed+complete=0.046975924838520255, Update+complete=0.0064591896652965355, Assignment+complete=0.4210217263652378, Quality Indicator Set+complete=0.009395184967704051, Vendor Reference+complete=0.009395184967704051, Mail to Customer+complete=0.026423957721667644, Status Change+complete=0.15560775102759836, Affected CI Change+complete=0.0017615971814445098, External update+complete=0.011743981209630064, Reopen+complete=0.015854374633000587, Update from customer+complete=0.025836758661186142, Pending vendor+complete=0.03523194362889019};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;13389;664;603;24;-1.0;{Communication with customer+complete=0.03705882352941176, Resolved+complete=0.007647058823529412, Description Update+complete=0.03058823529411765, Operator Update+complete=0.005294117647058823, OO Response+complete=5.88235294117647E-4, Open+complete=0.002352941176470588, Urgency Change+complete=0.007058823529411765, Closed+complete=0.03411764705882353, Reassignment+complete=0.004705882352941176, Analysis/Research+complete=0.0017647058823529412, Problem Workaround+complete=5.88235294117647E-4, Communication with vendor+complete=0.010588235294117647, Caused By CI+complete=0.005294117647058823, Service Change+complete=5.88235294117647E-4, Referred+complete=5.88235294117647E-4, External Vendor Assignment+complete=0.03294117647058824, External Vendor Reassignment+complete=5.88235294117647E-4, Impact Change+complete=0.005294117647058823, Notify By Change+complete=0.0017647058823529412, Quality Indicator+complete=0.022941176470588236, Quality Indicator Fixed+complete=0.045294117647058825, Update+complete=0.0017647058823529412, Assignment+complete=0.46, Quality Indicator Set+complete=0.014705882352941176, Vendor Reference+complete=0.0058823529411764705, Status Change+complete=0.16411764705882353, Mail to Customer+complete=0.024705882352941175, Affected CI Change+complete=0.001176470588235294, Reopen+complete=0.012352941176470587, External update+complete=0.005294117647058823, Update from customer+complete=0.028823529411764706, Pending vendor+complete=0.023529411764705882};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;13087;666;590;19;-1.0;{Communication with customer+complete=0.03423848878394333, Contact Change+complete=5.903187721369539E-4, Resolved+complete=0.011216056670602124, Description Update+complete=0.02538370720188902, Operator Update+complete=0.0059031877213695395, Open+complete=0.0023612750885478157, Urgency Change+complete=0.0070838252656434475, Closed+complete=0.03423848878394333, Analysis/Research+complete=0.004722550177095631, Reassignment+complete=0.004132231404958678, Caused By CI+complete=0.0029515938606847697, Communication with vendor+complete=0.007674144037780401, Problem Closure+complete=5.903187721369539E-4, Service Change+complete=5.903187721369539E-4, Referred+complete=5.903187721369539E-4, External Vendor Assignment+complete=0.030696576151121605, Notify By Change+complete=5.903187721369539E-4, Impact Change+complete=0.008264462809917356, Quality Indicator+complete=0.01829988193624557, Quality Indicator Fixed+complete=0.045454545454545456, Update+complete=0.0029515938606847697, Assignment+complete=0.461038961038961, Vendor Reference Change+complete=5.903187721369539E-4, Quality Indicator Set+complete=0.011806375442739079, Vendor Reference+complete=0.008264462809917356, Status Change+complete=0.17355371900826447, Mail to Customer+complete=0.02538370720188902, Affected CI Change+complete=0.0011806375442739079, Reopen+complete=0.01475796930342385, External update+complete=0.012396694214876033, Update from customer+complete=0.020070838252656435, Pending vendor+complete=0.02243211334120425};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;11054;663;604;25;-1.0;{Communication with customer+complete=0.04081632653061224, Resolved+complete=0.013805522208883553, Description Update+complete=0.033013205282112844, Operator Update+complete=0.006602641056422569, OO Response+complete=0.001800720288115246, Open+complete=0.003001200480192077, Urgency Change+complete=0.01020408163265306, Closed+complete=0.02581032412965186, Reassignment+complete=0.005402160864345739, Analysis/Research+complete=0.0078031212484993995, Problem Workaround+complete=6.002400960384153E-4, Communication with vendor+complete=0.010804321728691477, Caused By CI+complete=0.004801920768307323, Problem Closure+complete=6.002400960384153E-4, Service Change+complete=0.0012004801920768306, External Vendor Assignment+complete=0.026410564225690276, Impact Change+complete=0.009603841536614645, Notify By Change+complete=0.0012004801920768306, Quality Indicator+complete=0.017406962785114045, Incident reproduction+complete=6.002400960384153E-4, Quality Indicator Fixed+complete=0.04801920768307323, Update+complete=0.0024009603841536613, Assignment+complete=0.43037214885954383, Quality Indicator Set+complete=0.015006002400960384, Vendor Reference+complete=0.005402160864345739, Status Change+complete=0.1638655462184874, Mail to Customer+complete=0.025210084033613446, Affected CI Change+complete=0.001800720288115246, External update+complete=0.013205282112845138, Reopen+complete=0.007202881152460984, Update from customer+complete=0.035414165666266505, Pending vendor+complete=0.030612244897959183};NONALIGNING_ALL;{}
