delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;15168;690;605;0;0.8100903364082005;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14386;690;635;0;0.8212320453331681;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13339;676;610;0;0.8180837639049929;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;7528;680;600;0;0.8211476356484649;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15501;725;641;0;0.815662298178531;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11324;726;655;0;0.8130317386014354;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;17336;680;628;0;0.8133414277128926;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13147;695;630;0;0.8165645415797496;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;13600;688;611;0;0.810627662471414;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;8224;682;616;0;0.8100514021696209;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5326;413;369;0;0.8195710357519678;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3938;413;389;0;0.8266939489589826;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5924;401;360;0;0.8132367923670794;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4625;404;363;0;0.8179573261948997;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4823;445;402;0;0.818840628100517;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6217;448;407;0;0.8137451476486899;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;7334;406;382;0;0.8138547406657806;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;7286;408;375;0;0.8208974469634464;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;9841;419;382;0;0.8144734610312372;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4336;406;378;0;0.8122187491607108;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3101;301;269;0;0.8216870922215731;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2669;298;282;0;0.8218084640210952;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3564;287;258;0;0.8166419497248378;{};NONALIGNING_KNOWN;{}
