delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;15345;690;604;23;0.8053359123041698;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15138;689;633;26;0.8167761911761278;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15862;676;609;22;0.8132516173124572;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;10495;694;613;25;0.8134705824380228;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;16482;728;644;26;0.8111864610913606;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;12149;720;646;19;0.8106026019465666;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;14925;679;628;19;0.8097296387944265;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15270;691;627;25;0.8126392935671308;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;15503;690;613;20;0.8070554695220619;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;11053;682;615;25;0.8049735376935392;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5375;412;368;9;0.8182633790465718;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;4759;413;389;9;0.8237030710534577;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;7026;401;360;9;0.8122644619787646;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;3963;405;363;10;0.8136273197815598;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5693;447;403;11;0.8155709652418136;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5247;405;371;8;0.8150654360281141;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;6856;405;381;7;0.8112120427293861;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;7048;414;381;11;0.816275033144928;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;8990;412;376;6;0.8131357108260412;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;5040;403;374;10;0.8088449449460958;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3778;301;269;2;0.8193742952445108;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2694;300;283;3;0.8194207515226865;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3106;290;260;5;0.8139888921654962;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2623;290;264;4;0.8166769894788916;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3429;337;314;7;0.8194220795443349;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;3487;291;268;3;0.8158460394724666;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;4506;291;272;2;0.818371280312345;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;5997;300;277;5;0.8112513558284629;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;6015;303;284;4;0.823000766837373;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;2783;293;274;4;0.8057994065098046;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;2070;162;149;1;0.8290995473456141;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1302;158;154;0;0.8171917164311248;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1226;147;134;1;0.8253116194335245;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;808;150;140;2;0.8223215098641553;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1630;194;183;2;0.8274506761360073;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1572;150;142;1;0.8143320239964161;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;1075;151;143;1;0.8239371268484561;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;2092;165;156;0;0.8245157924328941;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;983;160;153;1;0.8296716157660358;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;942;152;147;1;0.8129652581198619;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;543;104;95;0;0.858983859941168;{};NONALIGNING_KNOWN;{}
