delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;97;666;23;0;-1.0;{Payment+complete=0.36363636363636365, Insert Date Appeal to Prefecture+complete=0.2159090909090909, Add penalty+complete=0.022727272727272728, Insert Fine Notification+complete=0.011363636363636364, Send Appeal to Prefecture+complete=0.2159090909090909, Notify Result Appeal to Offender+complete=0.056818181818181816, Appeal to Judge+complete=0.022727272727272728, Receive Result Appeal from Prefecture+complete=0.056818181818181816, Send Fine+complete=0.03409090909090909};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;153;656;31;0;-1.0;{Payment+complete=0.43373493975903615, Insert Date Appeal to Prefecture+complete=0.20481927710843373, Add penalty+complete=0.012048192771084338, Send Appeal to Prefecture+complete=0.20481927710843373, Notify Result Appeal to Offender+complete=0.060240963855421686, Receive Result Appeal from Prefecture+complete=0.060240963855421686, Send Fine+complete=0.024096385542168676};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;86;656;30;0;-1.0;{Payment+complete=0.36046511627906974, Insert Date Appeal to Prefecture+complete=0.23255813953488372, Add penalty+complete=0.023255813953488372, Insert Fine Notification+complete=0.011627906976744186, Send Appeal to Prefecture+complete=0.23255813953488372, Notify Result Appeal to Offender+complete=0.03488372093023256, Receive Result Appeal from Prefecture+complete=0.05813953488372093, Appeal to Judge+complete=0.011627906976744186, Send Fine+complete=0.03488372093023256};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;153;642;22;0;-1.0;{Payment+complete=0.5384615384615384, Insert Date Appeal to Prefecture+complete=0.18461538461538463, Add penalty+complete=0.03076923076923077, Send Appeal to Prefecture+complete=0.18461538461538463, Notify Result Appeal to Offender+complete=0.015384615384615385, Appeal to Judge+complete=0.015384615384615385, Receive Result Appeal from Prefecture+complete=0.015384615384615385, Send Fine+complete=0.015384615384615385};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;87;657;33;0;-1.0;{Payment+complete=0.39823008849557523, Insert Date Appeal to Prefecture+complete=0.21238938053097345, Add penalty+complete=0.008849557522123894, Insert Fine Notification+complete=0.008849557522123894, Send Appeal to Prefecture+complete=0.21238938053097345, Notify Result Appeal to Offender+complete=0.04424778761061947, Receive Result Appeal from Prefecture+complete=0.04424778761061947, Appeal to Judge+complete=0.035398230088495575, Send Fine+complete=0.035398230088495575};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;155;655;29;0;-1.0;{Payment+complete=0.358695652173913, Insert Date Appeal to Prefecture+complete=0.1956521739130435, Add penalty+complete=0.06521739130434782, Insert Fine Notification+complete=0.03260869565217391, Send Appeal to Prefecture+complete=0.1956521739130435, Notify Result Appeal to Offender+complete=0.021739130434782608, Receive Result Appeal from Prefecture+complete=0.043478260869565216, Send Fine+complete=0.08695652173913043};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;93;656;26;0;-1.0;{Payment+complete=0.4666666666666667, Insert Date Appeal to Prefecture+complete=0.2, Add penalty+complete=0.044444444444444446, Send Appeal to Prefecture+complete=0.2, Notify Result Appeal to Offender+complete=0.011111111111111112, Receive Result Appeal from Prefecture+complete=0.044444444444444446, Appeal to Judge+complete=0.011111111111111112, Send Fine+complete=0.022222222222222223};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;151;657;34;0;-1.0;{Payment+complete=0.4146341463414634, Insert Date Appeal to Prefecture+complete=0.1951219512195122, Add penalty+complete=0.024390243902439025, Insert Fine Notification+complete=0.012195121951219513, Send Appeal to Prefecture+complete=0.18292682926829268, Notify Result Appeal to Offender+complete=0.04878048780487805, Receive Result Appeal from Prefecture+complete=0.04878048780487805, Appeal to Judge+complete=0.024390243902439025, Send Fine+complete=0.04878048780487805};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;92;657;27;0;-1.0;{Payment+complete=0.4714285714285714, Insert Date Appeal to Prefecture+complete=0.21428571428571427, Add penalty+complete=0.02857142857142857, Send Appeal to Prefecture+complete=0.2, Notify Result Appeal to Offender+complete=0.02857142857142857, Receive Result Appeal from Prefecture+complete=0.02857142857142857, Appeal to Judge+complete=0.02857142857142857};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;148;656;26;0;-1.0;{Payment+complete=0.358695652173913, Insert Date Appeal to Prefecture+complete=0.22826086956521738, Add penalty+complete=0.03260869565217391, Send Appeal to Prefecture+complete=0.21739130434782608, Notify Result Appeal to Offender+complete=0.05434782608695652, Receive Result Appeal from Prefecture+complete=0.06521739130434782, Appeal to Judge+complete=0.010869565217391304, Send Fine+complete=0.03260869565217391};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;55;382;22;0;-1.0;{Payment+complete=0.4489795918367347, Insert Date Appeal to Prefecture+complete=0.20408163265306123, Add penalty+complete=0.02040816326530612, Send Appeal to Prefecture+complete=0.20408163265306123, Notify Result Appeal to Offender+complete=0.04081632653061224, Appeal to Judge+complete=0.02040816326530612, Receive Result Appeal from Prefecture+complete=0.04081632653061224, Send Fine+complete=0.02040816326530612};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;116;381;26;0;-1.0;{Payment+complete=0.4, Insert Date Appeal to Prefecture+complete=0.2, Add penalty+complete=0.02, Send Appeal to Prefecture+complete=0.2, Notify Result Appeal to Offender+complete=0.08, Receive Result Appeal from Prefecture+complete=0.08, Send Fine+complete=0.02};NONALIGNING_KNOWN;{}
