delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;148;657;24;0;-1.0;{Payment+complete=0.36363636363636365, Insert Date Appeal to Prefecture+complete=0.2159090909090909, Add penalty+complete=0.022727272727272728, Insert Fine Notification+complete=0.011363636363636364, Send Appeal to Prefecture+complete=0.2159090909090909, Notify Result Appeal to Offender+complete=0.056818181818181816, Appeal to Judge+complete=0.022727272727272728, Receive Result Appeal from Prefecture+complete=0.056818181818181816, Send Fine+complete=0.03409090909090909};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;86;657;29;0;-1.0;{Payment+complete=0.43373493975903615, Insert Date Appeal to Prefecture+complete=0.20481927710843373, Add penalty+complete=0.012048192771084338, Send Appeal to Prefecture+complete=0.20481927710843373, Notify Result Appeal to Offender+complete=0.060240963855421686, Receive Result Appeal from Prefecture+complete=0.060240963855421686, Send Fine+complete=0.024096385542168676};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;148;654;31;0;-1.0;{Payment+complete=0.36046511627906974, Insert Date Appeal to Prefecture+complete=0.23255813953488372, Add penalty+complete=0.023255813953488372, Insert Fine Notification+complete=0.011627906976744186, Send Appeal to Prefecture+complete=0.23255813953488372, Notify Result Appeal to Offender+complete=0.03488372093023256, Receive Result Appeal from Prefecture+complete=0.05813953488372093, Appeal to Judge+complete=0.011627906976744186, Send Fine+complete=0.03488372093023256};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;85;658;24;1;-1.0;{Payment+complete=0.5384615384615384, Insert Date Appeal to Prefecture+complete=0.18461538461538463, Add penalty+complete=0.03076923076923077, Send Appeal to Prefecture+complete=0.18461538461538463, Notify Result Appeal to Offender+complete=0.015384615384615385, Appeal to Judge+complete=0.015384615384615385, Receive Result Appeal from Prefecture+complete=0.015384615384615385, Send Fine+complete=0.015384615384615385};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;153;657;30;6;-1.0;{Payment+complete=0.71900826446281, Insert Date Appeal to Prefecture+complete=0.09917355371900827, Add penalty+complete=0.004132231404958678, Insert Fine Notification+complete=0.004132231404958678, Send Appeal to Prefecture+complete=0.09917355371900827, Notify Result Appeal to Offender+complete=0.02066115702479339, Receive Result Appeal from Prefecture+complete=0.02066115702479339, Appeal to Judge+complete=0.01652892561983471, Send Fine+complete=0.01652892561983471};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;86;657;28;0;-1.0;{Payment+complete=0.358695652173913, Insert Date Appeal to Prefecture+complete=0.1956521739130435, Add penalty+complete=0.06521739130434782, Insert Fine Notification+complete=0.03260869565217391, Send Appeal to Prefecture+complete=0.1956521739130435, Notify Result Appeal to Offender+complete=0.021739130434782608, Receive Result Appeal from Prefecture+complete=0.043478260869565216, Send Fine+complete=0.08695652173913043};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;146;658;26;2;-1.0;{Payment+complete=0.5111111111111111, Insert Date Appeal to Prefecture+complete=0.2, Send Appeal to Prefecture+complete=0.2, Notify Result Appeal to Offender+complete=0.011111111111111112, Receive Result Appeal from Prefecture+complete=0.044444444444444446, Appeal to Judge+complete=0.011111111111111112, Send Fine+complete=0.022222222222222223};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;91;656;33;5;-1.0;{Payment+complete=0.75, Insert Date Appeal to Prefecture+complete=0.0851063829787234, Add penalty+complete=0.005319148936170213, Insert Fine Notification+complete=0.005319148936170213, Send Appeal to Prefecture+complete=0.0797872340425532, Notify Result Appeal to Offender+complete=0.02127659574468085, Receive Result Appeal from Prefecture+complete=0.02127659574468085, Appeal to Judge+complete=0.010638297872340425, Send Fine+complete=0.02127659574468085};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;157;657;24;1;-1.0;{Payment+complete=0.4714285714285714, Insert Date Appeal to Prefecture+complete=0.21428571428571427, Add penalty+complete=0.02857142857142857, Send Appeal to Prefecture+complete=0.2, Notify Result Appeal to Offender+complete=0.02857142857142857, Receive Result Appeal from Prefecture+complete=0.02857142857142857, Appeal to Judge+complete=0.02857142857142857};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.1;86;657;27;2;-1.0;{Payment+complete=0.6647727272727273, Insert Date Appeal to Prefecture+complete=0.11931818181818182, Add penalty+complete=0.017045454545454544, Send Appeal to Prefecture+complete=0.11363636363636363, Notify Result Appeal to Offender+complete=0.028409090909090908, Receive Result Appeal from Prefecture+complete=0.03409090909090909, Appeal to Judge+complete=0.005681818181818182, Send Fine+complete=0.017045454545454544};NONALIGNING_ALL;{}
