delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;232;654;23;0;0.9828845924334646;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;119;653;31;0;0.9826409996622757;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;95;634;30;0;0.9822186147186146;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;283;653;24;0;0.9859202254498155;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;113;651;32;0;0.9764769065520944;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;169;667;28;0;0.9809848109625225;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;91;676;28;0;0.981052761341223;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;93;661;33;0;0.9833522972495781;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;91;667;26;0;0.9854013469455752;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;92;663;27;0;0.9806483277071512;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;54;394;20;0;0.9824303530936183;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;58;379;26;0;0.9826768054516742;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;55;383;24;0;0.9857702349869452;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;59;382;23;0;0.9883507853403138;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;57;389;26;0;0.9781868131868131;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;59;395;24;0;0.9804981468052532;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;55;389;24;0;0.9815828130738153;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;59;385;29;0;0.9811317254174396;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;55;397;26;0;0.9815901003558436;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;126;369;24;0;0.9806266749123891;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;41;280;16;0;0.9843112244897958;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;41;269;25;0;0.9795155484746564;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;42;270;21;0;0.9901486988847584;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;40;268;22;0;0.9873871481678175;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;44;269;24;0;0.9752788104089221;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;45;302;20;0;0.982090470951857;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;103;286;21;0;0.980689223057644;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;46;248;26;0;0.9809948979591837;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;115;277;22;0;0.981763222737952;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;47;279;25;0;0.9816763383967687;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;25;142;15;0;0.9812687312687314;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;23;130;24;0;0.9827242524916945;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;21;129;15;0;0.9946986607142858;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;88;123;20;0;0.983791208791209;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;25;130;22;0;0.9775210084033614;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;28;162;17;0;0.983579219008667;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;22;139;17;0;0.9834109730848861;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;23;133;22;0;0.9821428571428573;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;25;137;21;0;0.9835766423357665;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;24;130;19;0;0.9754240882103479;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;18;84;16;0;0.9749149659863947;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;91;74;19;0;0.9942084942084943;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;15;73;15;0;0.9946911196911198;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;15;75;19;0;0.9845559845559846;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;17;83;21;0;0.982716049382716;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;18;107;16;0;0.9789905058596647;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;16;87;15;0;0.9783637873754153;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;18;80;22;0;0.9925788497217071;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;81;85;16;0;0.9837662337662337;{};NONALIGNING_KNOWN;{}
0.05;0.95;0.01;0.1;15;84;19;0;0.9832317073170732;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;12;61;13;0;0.9742388758782202;{};NONALIGNING_KNOWN;{}
