delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;160;675;23;4;0.981181444070333;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;91;658;31;6;0.9815554590630574;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;89;660;30;9;0.9809199134199132;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;89;658;25;3;0.984379070777247;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;97;669;33;6;0.974771130508835;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;93;670;27;6;0.9791939113954038;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;92;669;29;8;0.9791462025766958;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;91;661;31;6;0.9811658840403166;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;143;668;26;7;0.9844006159677805;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.1;91;663;27;5;0.9789245612775024;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;120;392;22;3;0.9805677032717848;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;53;385;28;6;0.9809069113756609;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;54;382;23;5;0.9832554225878832;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;57;383;23;2;0.9868548990276736;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;56;391;23;3;0.9764157837047861;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;56;389;25;6;0.9793332923177881;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;54;392;24;5;0.9805809280233828;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;57;386;27;3;0.9789600296076979;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;58;399;25;6;0.9806082666984922;{};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;57;388;25;4;0.9796719031255112;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;40;280;17;3;0.9837429595494112;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;40;268;23;4;0.977391278692394;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;43;293;18;4;0.9871086105675148;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;39;269;20;3;0.9863250132766865;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;43;278;24;3;0.9740236382322714;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;42;281;18;4;0.9819592724396995;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;41;274;22;4;0.9799139728884254;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;105;268;24;3;0.9783350840336136;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;40;283;22;6;0.9816450726344721;{};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;116;278;24;5;0.9793092086413386;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;23;142;16;2;0.9801307847082497;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;22;130;23;4;0.9792410714285716;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;22;129;17;2;0.9913504464285715;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;21;128;19;1;0.9813058035714288;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;24;136;21;2;0.9762962962962962;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;26;161;17;3;0.9807132998126789;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.1;21;139;18;5;0.982502569373073;{};NONALIGNING_KNOWN;{}
